starttime	seconds	ctime	dtime	ttime	wait
Thu Apr 23 11:37:05 2026	1776924425	0	15	15	0
Thu Apr 23 11:37:05 2026	1776924425	0	15	15	0
Thu Apr 23 11:37:06 2026	1776924426	0	15	15	0
Thu Apr 23 11:37:05 2026	1776924425	0	15	15	0
Thu Apr 23 11:37:06 2026	1776924426	0	15	15	0
Thu Apr 23 11:37:06 2026	1776924426	0	16	16	0
Thu Apr 23 11:37:06 2026	1776924426	0	16	16	0
Thu Apr 23 11:37:05 2026	1776924425	0	16	16	0
Thu Apr 23 11:37:06 2026	1776924426	0	17	17	0
Thu Apr 23 11:37:06 2026	1776924426	4	15	19	0
Thu Apr 23 11:37:06 2026	1776924426	4	15	19	0
Thu Apr 23 11:37:05 2026	1776924425	0	19	19	0
Thu Apr 23 11:37:06 2026	1776924426	4	15	19	0
Thu Apr 23 11:37:05 2026	1776924425	0	20	20	0
Thu Apr 23 11:37:06 2026	1776924426	7	13	20	0
Thu Apr 23 11:37:05 2026	1776924425	0	20	20	0
Thu Apr 23 11:37:06 2026	1776924426	9	12	20	0
Thu Apr 23 11:37:06 2026	1776924426	9	12	20	0
Thu Apr 23 11:37:06 2026	1776924426	9	12	20	0
Thu Apr 23 11:37:06 2026	1776924426	9	12	20	0
Thu Apr 23 11:37:06 2026	1776924426	4	16	20	0
Thu Apr 23 11:37:06 2026	1776924426	9	12	20	0
Thu Apr 23 11:37:06 2026	1776924426	9	12	20	0
Thu Apr 23 11:37:06 2026	1776924426	4	16	20	0
Thu Apr 23 11:37:06 2026	1776924426	10	10	20	0
Thu Apr 23 11:37:06 2026	1776924426	10	10	20	0
Thu Apr 23 11:37:06 2026	1776924426	10	10	20	0
Thu Apr 23 11:37:06 2026	1776924426	10	10	21	0
Thu Apr 23 11:37:05 2026	1776924425	0	21	21	0
Thu Apr 23 11:37:06 2026	1776924426	8	13	21	0
Thu Apr 23 11:37:06 2026	1776924426	8	13	21	0
Thu Apr 23 11:37:06 2026	1776924426	8	13	21	0
Thu Apr 23 11:37:06 2026	1776924426	4	17	21	0
Thu Apr 23 11:37:06 2026	1776924426	4	17	21	0
Thu Apr 23 11:37:06 2026	1776924426	4	17	21	0
Thu Apr 23 11:37:06 2026	1776924426	5	16	21	0
Thu Apr 23 11:37:06 2026	1776924426	10	11	21	0
Thu Apr 23 11:37:06 2026	1776924426	10	11	21	0
Thu Apr 23 11:37:06 2026	1776924426	10	11	22	0
Thu Apr 23 11:37:06 2026	1776924426	10	11	22	0
Thu Apr 23 11:37:06 2026	1776924426	10	11	22	0
Thu Apr 23 11:37:06 2026	1776924426	10	11	22	0
Thu Apr 23 11:37:06 2026	1776924426	10	12	22	0
Thu Apr 23 11:37:06 2026	1776924426	4	18	22	0
Thu Apr 23 11:37:06 2026	1776924426	4	18	22	0
Thu Apr 23 11:37:06 2026	1776924426	4	18	22	0
Thu Apr 23 11:37:06 2026	1776924426	4	18	22	0
Thu Apr 23 11:37:06 2026	1776924426	4	18	22	0
Thu Apr 23 11:37:05 2026	1776924425	0	22	22	0
Thu Apr 23 11:37:06 2026	1776924426	8	14	22	0
Thu Apr 23 11:37:06 2026	1776924426	8	14	22	0
Thu Apr 23 11:37:06 2026	1776924426	8	15	22	0
Thu Apr 23 11:37:06 2026	1776924426	8	15	22	0
Thu Apr 23 11:37:06 2026	1776924426	11	12	22	0
Thu Apr 23 11:37:06 2026	1776924426	8	15	23	0
