Percentage served,Time in ms
0,4.201
1,12.508
2,13.726
3,14.955
4,15.241
5,15.596
6,15.703
7,15.858
8,16.137
9,16.434
10,16.679
11,16.921
12,17.194
13,17.485
14,17.743
15,17.897
16,18.175
17,18.335
18,18.493
19,18.571
20,18.937
21,19.172
22,19.300
23,19.528
24,19.703
25,19.889
26,20.063
27,20.201
28,20.517
29,20.745
30,21.136
31,21.597
32,21.859
33,22.230
34,22.455
35,22.649
36,22.858
37,23.293
38,23.629
39,23.776
40,24.025
41,24.287
42,24.679
43,25.201
44,25.697
45,26.032
46,26.859
47,27.854
48,29.024
49,29.904
50,30.356
51,31.297
52,32.505
53,33.383
54,34.318
55,34.902
56,35.543
57,36.178
58,36.853
59,37.621
60,38.275
61,39.172
62,40.293
63,41.545
64,42.960
65,44.321
66,45.017
67,46.036
68,47.251
69,48.074
70,49.016
71,49.536
72,50.239
73,50.795
74,51.342
75,52.069
76,52.375
77,52.800
78,53.633
79,54.211
80,54.623
81,55.089
82,55.469
83,56.594
84,57.124
85,58.262
86,59.107
87,59.773
88,60.442
89,61.261
90,62.355
91,63.399
92,65.078
93,66.255
94,68.373
95,72.663
96,78.579
97,90.065
98,119.114
99,123.382
100,2566.221
