starttime	seconds	ctime	dtime	ttime	wait
Thu Apr 23 11:40:31 2026	1776924631	0	6	6	0
Thu Apr 23 11:40:31 2026	1776924631	3	4	7	0
Thu Apr 23 11:40:31 2026	1776924631	3	5	8	0
Thu Apr 23 11:40:31 2026	1776924631	4	7	10	0
Thu Apr 23 11:40:31 2026	1776924631	5	8	13	0
Thu Apr 23 11:40:31 2026	1776924631	5	8	13	0
Thu Apr 23 11:40:31 2026	1776924631	5	8	13	0
Thu Apr 23 11:40:31 2026	1776924631	5	8	13	0
Thu Apr 23 11:40:31 2026	1776924631	6	8	14	0
Thu Apr 23 11:40:31 2026	1776924631	9	5	14	0
Thu Apr 23 11:40:31 2026	1776924631	9	5	14	0
Thu Apr 23 11:40:31 2026	1776924631	4	11	15	0
Thu Apr 23 11:40:31 2026	1776924631	4	11	15	0
Thu Apr 23 11:40:31 2026	1776924631	4	11	15	0
Thu Apr 23 11:40:31 2026	1776924631	4	11	15	0
Thu Apr 23 11:40:31 2026	1776924631	4	11	15	0
Thu Apr 23 11:40:31 2026	1776924631	4	11	15	0
Thu Apr 23 11:40:31 2026	1776924631	10	8	18	0
Thu Apr 23 11:40:31 2026	1776924631	8	13	20	0
Thu Apr 23 11:39:09 2026	1776924549	5	82279	82283	82276
