Percentage served,Time in ms
0,4.691
1,4.691
2,4.691
3,6.100
4,6.100
5,6.100
6,6.100
7,6.100
8,7.370
9,7.370
10,7.370
11,7.370
12,7.370
13,7.922
14,7.922
15,7.922
16,7.922
17,7.922
18,7.933
19,7.933
20,7.933
21,7.933
22,7.933
23,8.005
24,8.005
25,8.005
26,8.005
27,8.005
28,8.409
29,8.409
30,8.409
31,8.409
32,8.409
33,8.528
34,8.528
35,8.528
36,8.528
37,8.528
38,8.711
39,8.711
40,8.711
41,8.711
42,8.711
43,8.779
44,8.779
45,8.779
46,8.779
47,8.779
48,8.862
49,8.862
50,8.862
51,8.862
52,8.862
53,8.863
54,8.863
55,8.863
56,8.863
57,8.863
58,8.876
59,8.876
60,8.876
61,8.876
62,8.876
63,8.924
64,8.924
65,8.924
66,8.924
67,8.924
68,9.016
69,9.016
70,9.016
71,9.016
72,9.016
73,9.026
74,9.026
75,9.026
76,9.026
77,9.026
78,9.476
79,9.476
80,9.476
81,9.476
82,9.476
83,10.472
84,10.472
85,10.472
86,10.472
87,10.472
88,10.866
89,10.866
90,10.866
91,10.866
92,10.866
93,80359.912
94,80359.912
95,80359.912
96,80359.912
97,80359.912
98,0.257
99,0.257
100,80359.912
