Percentage served,Time in ms
0,9.642
1,19.323
2,22.732
3,23.483
4,24.208
5,24.665
6,24.835
7,25.218
8,25.854
9,26.072
10,26.254
11,26.359
12,26.596
13,26.722
14,26.980
15,27.208
16,27.706
17,28.306
18,28.533
19,28.682
20,29.097
21,29.324
22,29.572
23,29.658
24,29.843
25,29.956
26,30.052
27,30.102
28,30.294
29,30.374
30,30.466
31,30.544
32,30.691
33,30.762
34,30.897
35,31.110
36,31.316
37,31.519
38,31.758
39,32.050
40,32.156
41,32.520
42,32.838
43,32.996
44,33.232
45,33.550
46,33.905
47,34.108
48,34.420
49,34.683
50,34.834
51,35.053
52,35.194
53,35.405
54,35.722
55,36.496
56,37.002
57,38.174
58,38.662
59,40.400
60,42.568
61,47.296
62,49.682
63,59.435
64,61.204
65,61.984
66,63.654
67,66.833
68,68.301
69,69.768
70,71.095
71,71.689
72,72.300
73,72.977
74,73.807
75,74.106
76,74.787
77,75.390
78,76.009
79,76.402
80,76.815
81,77.208
82,77.412
83,78.444
84,79.386
85,80.679
86,81.208
87,83.750
88,88.689
89,103.089
90,107.106
91,168.191
92,226.547
93,280.408
94,289.804
95,408.630
96,415.618
97,432.011
98,469.102
99,23854.767
100,57249.800
