starttime	seconds	ctime	dtime	ttime	wait
Thu Apr 23 13:22:11 2026	1776930731	0	8	8	0
Thu Apr 23 13:22:11 2026	1776930731	0	14	14	0
Thu Apr 23 13:22:11 2026	1776930731	0	16	16	0
Thu Apr 23 13:22:11 2026	1776930731	0	16	16	0
Thu Apr 23 13:22:11 2026	1776930731	0	16	16	0
Thu Apr 23 13:22:11 2026	1776930731	0	17	17	0
Thu Apr 23 13:22:11 2026	1776930731	0	17	17	0
Thu Apr 23 13:22:11 2026	1776930731	0	22	22	0
Thu Apr 23 13:22:11 2026	1776930731	0	24	24	0
Thu Apr 23 13:22:11 2026	1776930731	0	24	24	0
Thu Apr 23 13:22:11 2026	1776930731	0	25	25	0
Thu Apr 23 13:22:11 2026	1776930731	0	25	25	0
Thu Apr 23 13:22:11 2026	1776930731	0	26	26	0
Thu Apr 23 13:22:10 2026	1776930730	0	28	28	0
Thu Apr 23 13:22:11 2026	1776930731	0	28	28	0
Thu Apr 23 13:22:10 2026	1776930730	0	30	30	0
Thu Apr 23 13:22:11 2026	1776930731	0	31	31	0
Thu Apr 23 13:22:11 2026	1776930731	0	31	31	0
Thu Apr 23 13:22:11 2026	1776930731	0	35	35	0
Thu Apr 23 13:22:10 2026	1776930730	0	37	37	0
Thu Apr 23 13:22:10 2026	1776930730	0	37	37	0
Thu Apr 23 13:22:10 2026	1776930730	0	37	37	0
Thu Apr 23 13:22:10 2026	1776930730	0	37	37	0
Thu Apr 23 13:22:10 2026	1776930730	0	42	42	0
Thu Apr 23 13:22:10 2026	1776930730	0	43	43	0
Thu Apr 23 13:22:10 2026	1776930730	0	45	45	0
Thu Apr 23 13:22:10 2026	1776930730	16	38	53	7
Thu Apr 23 13:22:10 2026	1776930730	0	57	57	0
Thu Apr 23 13:22:10 2026	1776930730	0	57	57	0
Thu Apr 23 13:22:10 2026	1776930730	0	57	57	0
Thu Apr 23 13:22:10 2026	1776930730	0	57	57	0
Thu Apr 23 13:22:10 2026	1776930730	0	64	64	0
Thu Apr 23 13:22:10 2026	1776930730	0	64	64	0
Thu Apr 23 13:22:10 2026	1776930730	0	65	65	0
Thu Apr 23 13:22:10 2026	1776930730	0	65	65	0
Thu Apr 23 13:22:10 2026	1776930730	0	69	69	0
Thu Apr 23 13:22:10 2026	1776930730	0	70	70	0
Thu Apr 23 13:22:10 2026	1776930730	0	73	73	0
Thu Apr 23 13:22:10 2026	1776930730	0	73	73	0
Thu Apr 23 13:22:10 2026	1776930730	0	73	73	0
Thu Apr 23 13:22:10 2026	1776930730	0	73	73	0
Thu Apr 23 13:22:10 2026	1776930730	0	73	73	0
Thu Apr 23 13:22:10 2026	1776930730	0	77	77	0
Thu Apr 23 13:22:10 2026	1776930730	0	77	77	0
