starttime	seconds	ctime	dtime	ttime	wait
Thu Apr 23 13:34:05 2026	1776931445	0	527	527	526
Thu Apr 23 13:34:06 2026	1776931446	0	527	527	527
Thu Apr 23 13:34:06 2026	1776931446	0	531	531	531
Thu Apr 23 13:34:06 2026	1776931446	0	535	535	535
Thu Apr 23 13:34:06 2026	1776931446	0	536	536	535
Thu Apr 23 13:34:06 2026	1776931446	0	536	536	536
Thu Apr 23 13:34:06 2026	1776931446	0	537	537	537
Thu Apr 23 13:34:06 2026	1776931446	0	537	537	537
Thu Apr 23 13:34:06 2026	1776931446	0	538	538	538
Thu Apr 23 13:34:06 2026	1776931446	0	655	655	655
Thu Apr 23 13:34:05 2026	1776931445	5	830	835	830
Thu Apr 23 13:34:05 2026	1776931445	6	829	835	829
Thu Apr 23 13:34:05 2026	1776931445	6	830	836	830
Thu Apr 23 13:34:05 2026	1776931445	6	831	837	831
Thu Apr 23 13:34:05 2026	1776931445	6	834	840	834
Thu Apr 23 13:34:05 2026	1776931445	6	836	841	836
Thu Apr 23 13:34:05 2026	1776931445	6	837	843	837
Thu Apr 23 13:34:05 2026	1776931445	6	847	853	847
Thu Apr 23 13:34:05 2026	1776931445	6	849	855	849
Thu Apr 23 13:34:04 2026	1776931444	9	1162	1171	1159
