Percentage served,Time in ms
0,32.170
1,32.170
2,32.170
3,32.265
4,32.265
5,32.265
6,32.265
7,32.265
8,32.434
9,32.434
10,32.434
11,32.434
12,32.434
13,32.552
14,32.552
15,32.552
16,32.552
17,32.552
18,32.629
19,32.629
20,32.629
21,32.629
22,32.629
23,32.703
24,32.703
25,32.703
26,32.703
27,32.703
28,32.796
29,32.796
30,32.796
31,32.796
32,32.796
33,33.536
34,33.536
35,33.536
36,33.536
37,33.536
38,203.714
39,203.714
40,203.714
41,203.714
42,203.714
43,267.991
44,267.991
45,267.991
46,267.991
47,267.991
48,449.755
49,449.755
50,449.755
51,449.755
52,449.755
53,450.729
54,450.729
55,450.729
56,450.729
57,450.729
58,450.970
59,450.970
60,450.970
61,450.970
62,450.970
63,451.051
64,451.051
65,451.051
66,451.051
67,451.051
68,451.131
69,451.131
70,451.131
71,451.131
72,451.131
73,451.215
74,451.215
75,451.215
76,451.215
77,451.215
78,451.327
79,451.327
80,451.327
81,451.327
82,451.327
83,451.441
84,451.441
85,451.441
86,451.441
87,451.441
88,451.519
89,451.519
90,451.519
91,451.519
92,451.519
93,110315.739
94,110315.739
95,110315.739
96,110315.739
97,110315.739
98,0.257
99,0.257
100,110315.739
