Percentage served,Time in ms
0,161.707
1,162.808
2,166.445
3,168.045
4,169.468
5,170.742
6,171.207
7,173.934
8,174.486
9,177.496
10,178.377
11,179.893
12,180.120
13,180.780
14,181.013
15,182.384
16,183.058
17,184.223
18,184.635
19,185.267
20,186.324
21,186.740
22,187.370
23,188.321
24,189.453
25,189.918
26,190.425
27,190.805
28,191.498
29,192.412
30,192.714
31,192.898
32,193.571
33,194.394
34,195.146
35,195.627
36,196.489
37,196.875
38,197.154
39,198.262
40,200.106
41,201.542
42,203.645
43,205.701
44,208.281
45,210.122
46,210.684
47,220.716
48,224.124
49,228.064
50,233.562
51,239.280
52,252.075
53,276.213
54,286.578
55,318.122
56,335.759
57,348.507
58,355.814
59,365.768
60,380.868
61,385.095
62,385.237
63,385.340
64,386.269
65,399.285
66,401.782
67,403.876
68,404.729
69,405.139
70,412.816
71,423.454
72,447.132
73,475.151
74,483.421
75,508.795
76,524.541
77,528.301
78,537.642
79,798.895
80,816.966
81,841.357
82,881.942
83,924.586
84,945.041
85,962.281
86,989.196
87,1008.004
88,1035.494
89,1056.495
90,1074.911
91,1104.789
92,1150.737
93,1163.727
94,1178.561
95,1190.528
96,1218.565
97,1245.231
98,47509.949
99,51706.241
100,54985.923
