starttime	seconds	ctime	dtime	ttime	wait
Thu Apr 23 16:01:07 2026	1776940267	9	153	162	0
Thu Apr 23 16:01:07 2026	1776940267	9	152	162	0
Thu Apr 23 16:01:07 2026	1776940267	9	152	162	0
Thu Apr 23 16:01:07 2026	1776940267	9	152	162	0
Thu Apr 23 16:01:07 2026	1776940267	9	153	162	0
Thu Apr 23 16:01:07 2026	1776940267	9	153	162	0
Thu Apr 23 16:01:07 2026	1776940267	9	153	163	0
Thu Apr 23 16:01:07 2026	1776940267	12	150	163	0
Thu Apr 23 16:01:07 2026	1776940267	12	150	163	0
Thu Apr 23 16:01:07 2026	1776940267	12	150	163	0
Thu Apr 23 16:01:07 2026	1776940267	12	150	163	0
Thu Apr 23 16:01:07 2026	1776940267	12	150	163	0
Thu Apr 23 16:01:07 2026	1776940267	12	150	163	0
Thu Apr 23 16:01:07 2026	1776940267	9	153	163	0
Thu Apr 23 16:01:07 2026	1776940267	9	154	163	0
Thu Apr 23 16:01:07 2026	1776940267	12	150	163	0
Thu Apr 23 16:01:07 2026	1776940267	9	153	163	0
Thu Apr 23 16:01:07 2026	1776940267	9	153	163	0
Thu Apr 23 16:01:07 2026	1776940267	10	153	163	0
Thu Apr 23 16:01:07 2026	1776940267	10	153	163	0
Thu Apr 23 16:01:07 2026	1776940267	12	151	163	0
Thu Apr 23 16:01:07 2026	1776940267	12	151	163	0
Thu Apr 23 16:01:07 2026	1776940267	12	151	163	0
Thu Apr 23 16:01:07 2026	1776940267	12	151	163	0
Thu Apr 23 16:01:07 2026	1776940267	12	151	163	0
Thu Apr 23 16:01:07 2026	1776940267	12	151	163	0
Thu Apr 23 16:01:07 2026	1776940267	12	151	163	0
Thu Apr 23 16:01:07 2026	1776940267	10	154	164	0
Thu Apr 23 16:01:07 2026	1776940267	10	155	164	0
Thu Apr 23 16:01:07 2026	1776940267	12	154	166	0
Thu Apr 23 16:01:07 2026	1776940267	12	154	166	0
Thu Apr 23 16:01:07 2026	1776940267	12	154	166	0
Thu Apr 23 16:01:07 2026	1776940267	13	154	166	0
Thu Apr 23 16:01:07 2026	1776940267	12	154	166	0
Thu Apr 23 16:01:07 2026	1776940267	12	154	166	0
Thu Apr 23 16:01:07 2026	1776940267	12	154	166	0
Thu Apr 23 16:01:07 2026	1776940267	12	154	166	0
Thu Apr 23 16:01:07 2026	1776940267	9	158	166	0
Thu Apr 23 16:01:07 2026	1776940267	9	158	166	0
Thu Apr 23 16:01:07 2026	1776940267	9	158	166	0
Thu Apr 23 16:01:07 2026	1776940267	9	158	166	0
Thu Apr 23 16:01:07 2026	1776940267	12	154	166	0
Thu Apr 23 16:01:07 2026	1776940267	12	154	167	0
Thu Apr 23 16:01:07 2026	1776940267	12	154	167	0
Thu Apr 23 16:01:07 2026	1776940267	12	154	167	0
Thu Apr 23 16:01:07 2026	1776940267	12	154	167	0
Thu Apr 23 16:01:07 2026	1776940267	14	153	167	0
Thu Apr 23 16:01:07 2026	1776940267	12	155	167	0
Thu Apr 23 16:01:07 2026	1776940267	12	155	167	0
Thu Apr 23 16:01:07 2026	1776940267	14	153	168	0
Thu Apr 23 16:01:07 2026	1776940267	14	153	168	0
Thu Apr 23 16:01:07 2026	1776940267	14	153	168	0
Thu Apr 23 16:01:07 2026	1776940267	14	153	168	0
Thu Apr 23 16:01:07 2026	1776940267	15	153	168	0
Thu Apr 23 16:01:07 2026	1776940267	14	154	168	0
Thu Apr 23 16:01:07 2026	1776940267	14	154	168	0
Thu Apr 23 16:01:07 2026	1776940267	14	154	168	0
Thu Apr 23 16:01:07 2026	1776940267	14	154	168	0
Thu Apr 23 16:01:07 2026	1776940267	14	154	168	0
Thu Apr 23 16:01:07 2026	1776940267	10	158	168	0
Thu Apr 23 16:01:07 2026	1776940267	14	154	168	0
Thu Apr 23 16:01:07 2026	1776940267	10	158	168	0
Thu Apr 23 16:01:07 2026	1776940267	10	158	168	0
Thu Apr 23 16:01:07 2026	1776940267	10	158	168	0
Thu Apr 23 16:01:07 2026	1776940267	12	156	168	0
Thu Apr 23 16:01:07 2026	1776940267	12	156	168	0
Thu Apr 23 16:01:07 2026	1776940267	13	156	169	0
Thu Apr 23 16:01:07 2026	1776940267	13	156	169	0
Thu Apr 23 16:01:07 2026	1776940267	13	156	169	0
Thu Apr 23 16:01:07 2026	1776940267	11	158	169	0
Thu Apr 23 16:01:07 2026	1776940267	11	158	169	0
Thu Apr 23 16:01:07 2026	1776940267	11	158	169	0
Thu Apr 23 16:01:07 2026	1776940267	11	158	169	0
Thu Apr 23 16:01:07 2026	1776940267	11	158	169	0
Thu Apr 23 16:01:07 2026	1776940267	11	158	169	0
Thu Apr 23 16:01:07 2026	1776940267	12	157	169	0
Thu Apr 23 16:01:07 2026	1776940267	12	157	169	0
Thu Apr 23 16:01:07 2026	1776940267	11	158	169	0
Thu Apr 23 16:01:07 2026	1776940267	12	157	169	0
Thu Apr 23 16:01:07 2026	1776940267	8	161	169	0
Thu Apr 23 16:01:07 2026	1776940267	8	161	169	0
Thu Apr 23 16:01:07 2026	1776940267	14	156	170	0
Thu Apr 23 16:01:07 2026	1776940267	14	156	170	0
Thu Apr 23 16:01:07 2026	1776940267	14	156	170	0
Thu Apr 23 16:01:07 2026	1776940267	14	156	170	0
Thu Apr 23 16:01:07 2026	1776940267	14	156	170	0
Thu Apr 23 16:01:07 2026	1776940267	14	156	170	0
Thu Apr 23 16:01:07 2026	1776940267	8	162	170	0
Thu Apr 23 16:01:07 2026	1776940267	8	162	170	0
Thu Apr 23 16:01:07 2026	1776940267	8	162	170	0
Thu Apr 23 16:01:07 2026	1776940267	8	162	170	0
Thu Apr 23 16:01:07 2026	1776940267	8	162	170	0
Thu Apr 23 16:01:07 2026	1776940267	12	158	170	0
Thu Apr 23 16:01:07 2026	1776940267	12	158	170	0
Thu Apr 23 16:01:07 2026	1776940267	12	158	170	0
Thu Apr 23 16:01:07 2026	1776940267	12	158	170	0
Thu Apr 23 16:01:07 2026	1776940267	12	158	170	0
Thu Apr 23 16:01:07 2026	1776940267	12	158	170	0
Thu Apr 23 16:01:07 2026	1776940267	13	158	171	0
Thu Apr 23 16:01:07 2026	1776940267	13	158	171	0
Thu Apr 23 16:01:07 2026	1776940267	13	158	171	0
Thu Apr 23 16:01:07 2026	1776940267	8	163	171	0
Thu Apr 23 16:01:07 2026	1776940267	14	157	171	0
Thu Apr 23 16:01:07 2026	1776940267	14	157	171	0
Thu Apr 23 16:01:07 2026	1776940267	14	157	171	0
Thu Apr 23 16:01:07 2026	1776940267	14	157	171	0
