starttime	seconds	ctime	dtime	ttime	wait
Thu Apr 23 16:08:19 2026	1776940699	6	57541	57547	57541
Thu Apr 23 16:06:19 2026	1776940579	102	62874	62976	62874
Thu Apr 23 16:08:19 2026	1776940699	6	66756	66762	66756
Thu Apr 23 16:08:19 2026	1776940699	6	68293	68299	68293
Thu Apr 23 16:05:04 2026	1776940504	4	75271	75275	75271
Thu Apr 23 16:08:19 2026	1776940699	0	120112	120112	240131
Thu Apr 23 16:08:19 2026	1776940699	5	120108	120114	120108
Thu Apr 23 16:08:19 2026	1776940699	6	120108	120114	120108
Thu Apr 23 16:08:19 2026	1776940699	6	120109	120115	120109
Thu Apr 23 16:08:19 2026	1776940699	6	120109	120115	120109
Thu Apr 23 16:07:22 2026	1776940642	0	120117	120117	120117
Thu Apr 23 16:06:19 2026	1776940579	0	120120	120120	120120
Thu Apr 23 16:06:19 2026	1776940579	102	120018	120120	120018
Thu Apr 23 16:06:19 2026	1776940579	102	120018	120120	120018
Thu Apr 23 16:06:19 2026	1776940579	102	120018	120120	120018
Thu Apr 23 16:06:19 2026	1776940579	102	120018	120120	120018
Thu Apr 23 16:06:19 2026	1776940579	102	120019	120121	120018
Thu Apr 23 16:06:19 2026	1776940579	102	120019	120121	120018
Thu Apr 23 16:06:19 2026	1776940579	102	120019	120121	120018
Thu Apr 23 16:06:19 2026	1776940579	104	120019	120123	120019
