Percentage served,Time in ms
0,15062.242
1,15062.242
2,15062.242
3,54468.210
4,54468.210
5,54468.210
6,54468.210
7,54468.210
8,73526.047
9,73526.047
10,73526.047
11,73526.047
12,73526.047
13,74880.648
14,74880.648
15,74880.648
16,74880.648
17,74880.648
18,119912.707
19,119912.707
20,119912.707
21,119912.707
22,119912.707
23,120129.476
24,120129.476
25,120129.476
26,120129.476
27,120129.476
28,120130.988
29,120130.988
30,120130.988
31,120130.988
32,120130.988
33,120131.750
34,120131.750
35,120131.750
36,120131.750
37,120131.750
38,120131.963
39,120131.963
40,120131.963
41,120131.963
42,120131.963
43,120134.538
44,120134.538
45,120134.538
46,120134.538
47,120134.538
48,120134.756
49,120134.756
50,120134.756
51,120134.756
52,120134.756
53,120219.608
54,120219.608
55,120219.608
56,120219.608
57,120219.608
58,120321.820
59,120321.820
60,120321.820
61,120321.820
62,120321.820
63,120321.909
64,120321.909
65,120321.909
66,120321.909
67,120321.909
68,120323.064
69,120323.064
70,120323.064
71,120323.064
72,120323.064
73,120323.071
74,120323.071
75,120323.071
76,120323.071
77,120323.071
78,120323.739
79,120323.739
80,120323.739
81,120323.739
82,120323.739
83,120323.754
84,120323.754
85,120323.754
86,120323.754
87,120323.754
88,120323.799
89,120323.799
90,120323.799
91,120323.799
92,120323.799
93,120323.822
94,120323.822
95,120323.822
96,120323.822
97,120323.822
98,0.257
99,0.257
100,120323.822
