Percentage served,Time in ms
0,18.527
1,22.317
2,26.171
3,26.312
4,27.722
5,28.773
6,30.915
7,31.201
8,33.527
9,35.715
10,39.116
11,41.599
12,45.197
13,47.363
14,50.071
15,53.230
16,55.490
17,61.859
18,66.316
19,69.956
20,71.391
21,73.461
22,74.009
23,76.194
24,76.940
25,77.732
26,81.312
27,82.367
28,83.539
29,86.549
30,89.071
31,90.216
32,91.247
33,91.779
34,92.864
35,95.241
36,97.148
37,98.389
38,99.200
39,101.849
40,103.494
41,104.528
42,105.092
43,107.738
44,108.460
45,113.372
46,114.047
47,116.044
48,118.159
49,122.450
50,124.697
51,127.572
52,133.089
53,134.616
54,140.578
55,145.778
56,165.573
57,171.893
58,173.431
59,184.755
60,249.243
61,291.244
62,315.265
63,404.912
64,406.325
65,437.966
66,456.974
67,457.797
68,717.323
69,780.344
70,781.670
71,831.488
72,871.250
73,891.012
74,900.152
75,912.851
76,926.896
77,934.717
78,936.703
79,949.068
80,977.492
81,1038.531
82,1120.034
83,1122.355
84,1124.392
85,1425.989
86,3848.118
87,3855.649
88,3865.235
89,3926.590
90,3933.972
91,3944.127
92,3954.364
93,3967.869
94,3967.960
95,3969.911
96,3974.025
97,3974.850
98,36963.744
99,42291.138
100,54270.997
