starttime	seconds	ctime	dtime	ttime	wait
Wed Apr 22 17:33:04 2026	1776859384	4	14	19	0
Wed Apr 22 17:33:04 2026	1776859384	4	14	19	0
Wed Apr 22 17:33:04 2026	1776859384	4	14	19	0
Wed Apr 22 17:33:04 2026	1776859384	4	14	19	0
Wed Apr 22 17:33:04 2026	1776859384	5	14	19	0
Wed Apr 22 17:33:04 2026	1776859384	5	14	19	0
Wed Apr 22 17:33:04 2026	1776859384	4	15	19	0
Wed Apr 22 17:33:04 2026	1776859384	5	15	19	0
Wed Apr 22 17:33:05 2026	1776859385	8	12	19	0
Wed Apr 22 17:33:04 2026	1776859384	5	15	19	0
Wed Apr 22 17:33:04 2026	1776859384	5	15	20	0
Wed Apr 22 17:33:04 2026	1776859384	5	15	20	0
Wed Apr 22 17:33:04 2026	1776859384	9	12	21	0
Wed Apr 22 17:33:04 2026	1776859384	9	12	21	0
Wed Apr 22 17:33:04 2026	1776859384	9	12	21	0
Wed Apr 22 17:33:04 2026	1776859384	9	12	21	0
Wed Apr 22 17:33:05 2026	1776859385	10	12	22	0
Wed Apr 22 17:33:04 2026	1776859384	9	13	22	0
Wed Apr 22 17:33:05 2026	1776859385	8	14	22	0
Wed Apr 22 17:33:04 2026	1776859384	9	13	22	0
Wed Apr 22 17:33:05 2026	1776859385	8	14	22	0
Wed Apr 22 17:33:04 2026	1776859384	9	13	22	0
Wed Apr 22 17:33:04 2026	1776859384	9	13	22	0
Wed Apr 22 17:33:05 2026	1776859385	8	14	22	0
Wed Apr 22 17:33:05 2026	1776859385	8	14	22	0
Wed Apr 22 17:33:04 2026	1776859384	9	14	24	0
Wed Apr 22 17:33:04 2026	1776859384	10	14	24	0
Wed Apr 22 17:33:04 2026	1776859384	9	14	24	0
Wed Apr 22 17:33:04 2026	1776859384	9	14	24	0
Wed Apr 22 17:33:04 2026	1776859384	10	15	25	0
Wed Apr 22 17:33:04 2026	1776859384	10	15	25	0
Wed Apr 22 17:33:04 2026	1776859384	10	15	25	0
Wed Apr 22 17:33:04 2026	1776859384	10	15	25	0
Wed Apr 22 17:33:04 2026	1776859384	10	15	25	0
Wed Apr 22 17:33:04 2026	1776859384	10	15	25	0
Wed Apr 22 17:33:04 2026	1776859384	8	17	25	0
Wed Apr 22 17:33:05 2026	1776859385	8	17	25	0
Wed Apr 22 17:33:05 2026	1776859385	7	18	25	0
Wed Apr 22 17:33:05 2026	1776859385	15	10	25	0
Wed Apr 22 17:33:05 2026	1776859385	11	15	26	0
Wed Apr 22 17:33:05 2026	1776859385	7	19	26	0
Wed Apr 22 17:33:05 2026	1776859385	7	19	26	0
Wed Apr 22 17:33:05 2026	1776859385	10	16	26	0
Wed Apr 22 17:33:04 2026	1776859384	10	16	26	0
Wed Apr 22 17:33:05 2026	1776859385	8	19	26	0
Wed Apr 22 17:33:05 2026	1776859385	7	19	26	0
Wed Apr 22 17:33:05 2026	1776859385	10	16	26	0
Wed Apr 22 17:33:04 2026	1776859384	10	16	26	0
Wed Apr 22 17:33:05 2026	1776859385	10	17	26	0
Wed Apr 22 17:33:05 2026	1776859385	10	17	26	0
Wed Apr 22 17:33:04 2026	1776859384	13	14	26	0
Wed Apr 22 17:33:05 2026	1776859385	7	19	26	0
Wed Apr 22 17:33:04 2026	1776859384	13	14	26	0
Wed Apr 22 17:33:04 2026	1776859384	13	14	26	0
Wed Apr 22 17:33:05 2026	1776859385	10	16	26	0
Wed Apr 22 17:33:05 2026	1776859385	10	16	26	0
Wed Apr 22 17:33:04 2026	1776859384	13	13	26	0
Wed Apr 22 17:33:05 2026	1776859385	14	12	26	0
Wed Apr 22 17:33:05 2026	1776859385	15	12	26	0
Wed Apr 22 17:33:05 2026	1776859385	5	22	26	0
Wed Apr 22 17:33:05 2026	1776859385	10	16	26	0
Wed Apr 22 17:33:05 2026	1776859385	10	16	26	0
Wed Apr 22 17:33:04 2026	1776859384	9	17	26	0
Wed Apr 22 17:33:04 2026	1776859384	13	14	26	0
Wed Apr 22 17:33:04 2026	1776859384	13	13	26	0
Wed Apr 22 17:33:05 2026	1776859385	5	22	26	0
Wed Apr 22 17:33:05 2026	1776859385	14	12	26	0
Wed Apr 22 17:33:05 2026	1776859385	5	21	26	0
Wed Apr 22 17:33:04 2026	1776859384	12	14	26	0
Wed Apr 22 17:33:05 2026	1776859385	17	10	26	0
Wed Apr 22 17:33:04 2026	1776859384	13	14	27	0
Wed Apr 22 17:33:05 2026	1776859385	7	20	27	0
Wed Apr 22 17:33:05 2026	1776859385	17	10	27	0
Wed Apr 22 17:33:04 2026	1776859384	9	19	27	0
Wed Apr 22 17:33:04 2026	1776859384	10	18	27	0
Wed Apr 22 17:33:04 2026	1776859384	13	14	28	0
Wed Apr 22 17:33:05 2026	1776859385	8	20	28	0
Wed Apr 22 17:33:04 2026	1776859384	13	15	28	0
Wed Apr 22 17:33:04 2026	1776859384	15	13	28	0
Wed Apr 22 17:33:04 2026	1776859384	15	13	28	0
Wed Apr 22 17:33:04 2026	1776859384	7	21	28	0
Wed Apr 22 17:33:05 2026	1776859385	8	20	28	0
Wed Apr 22 17:33:04 2026	1776859384	7	20	28	0
