starttime	seconds	ctime	dtime	ttime	wait
Wed Apr 22 17:36:26 2026	1776859586	0	28	28	27
Wed Apr 22 17:36:26 2026	1776859586	0	34	34	34
Wed Apr 22 17:36:26 2026	1776859586	0	43	43	43
Wed Apr 22 17:36:26 2026	1776859586	0	44	44	44
Wed Apr 22 17:36:11 2026	1776859571	7	11860	11867	11860
Wed Apr 22 17:36:11 2026	1776859571	8	11954	11962	11954
Wed Apr 22 17:36:11 2026	1776859571	0	12061	12061	12060
Wed Apr 22 17:36:11 2026	1776859571	12	12071	12083	12071
Wed Apr 22 17:36:11 2026	1776859571	8	12158	12166	12158
Wed Apr 22 17:36:11 2026	1776859571	7	15017	15025	15017
Wed Apr 22 17:36:11 2026	1776859571	8	22295	22303	22295
Wed Apr 22 17:36:11 2026	1776859571	8	27012	27019	27012
Wed Apr 22 17:36:11 2026	1776859571	7	34169	34176	34169
Wed Apr 22 17:36:11 2026	1776859571	11	49914	49925	49914
Wed Apr 22 17:35:04 2026	1776859504	5	67156	67161	67154
Wed Apr 22 17:36:23 2026	1776859583	0	101669	101669	101669
Wed Apr 22 17:36:23 2026	1776859583	0	105071	105071	105071
Wed Apr 22 17:36:23 2026	1776859583	0	120012	120012	120012
Wed Apr 22 17:36:23 2026	1776859583	0	120013	120013	120012
Wed Apr 22 17:36:23 2026	1776859583	0	120043	120043	120043
