Percentage served,Time in ms
0,102.691
1,102.691
2,102.691
3,111.884
4,111.884
5,111.884
6,111.884
7,111.884
8,111.985
9,111.985
10,111.985
11,111.985
12,111.985
13,117.975
14,117.975
15,117.975
16,117.975
17,117.975
18,137.484
19,137.484
20,137.484
21,137.484
22,137.484
23,198.382
24,198.382
25,198.382
26,198.382
27,198.382
28,201.337
29,201.337
30,201.337
31,201.337
32,201.337
33,211.207
34,211.207
35,211.207
36,211.207
37,211.207
38,717.071
39,717.071
40,717.071
41,717.071
42,717.071
43,3280.920
44,3280.920
45,3280.920
46,3280.920
47,3280.920
48,3282.303
49,3282.303
50,3282.303
51,3282.303
52,3282.303
53,3380.990
54,3380.990
55,3380.990
56,3380.990
57,3380.990
58,3492.492
59,3492.492
60,3492.492
61,3492.492
62,3492.492
63,3691.665
64,3691.665
65,3691.665
66,3691.665
67,3691.665
68,3998.089
69,3998.089
70,3998.089
71,3998.089
72,3998.089
73,4397.755
74,4397.755
75,4397.755
76,4397.755
77,4397.755
78,4577.612
79,4577.612
80,4577.612
81,4577.612
82,4577.612
83,11358.249
84,11358.249
85,11358.249
86,11358.249
87,11358.249
88,27243.809
89,27243.809
90,27243.809
91,27243.809
92,27243.809
93,48078.607
94,48078.607
95,48078.607
96,48078.607
97,48078.607
98,0.257
99,0.257
100,48078.607
