source_ip,requests_completed,failed_requests,rps,mean_latency_ms,p50_ms,p95_ms,p99_ms,transfer_rate_kbps
192.168.100.10,20,2,0.12,81506.756,602,126476,126476,0.03
192.168.100.11,20,0,0.68,14740.033,203,28969,28969,0.16
192.168.100.12,20,0,0.69,14534.424,412,27944,27944,0.16
192.168.100.13,,,,,,,,
192.168.100.14,,,,,,,,
192.168.100.15,20,3,0.10,99669.050,22303,120043,120043,0.02
192.168.100.16,20,3,0.13,78594.282,36749,120032,120032,0.03
192.168.100.17,20,14,0.12,80940.039,113971,120116,120116,0.02
192.168.100.18,,,,,,,,
192.168.100.19,20,0,0.66,15255.233,191,30101,30101,0.16
192.168.100.20,20,7,0.12,82580.180,140,126530,126530,0.03
192.168.100.21,20,0,0.61,16306.004,178,32255,32255,0.15
192.168.100.22,20,18,0.10,98548.073,76779,120108,120108,0.02
192.168.100.23,20,19,0.20,50436.790,17,100835,100835,0.00
192.168.100.24,20,0,0.66,15150.293,118,29791,29791,0.16
192.168.100.25,,,,,,,,
192.168.100.26,,,,,,,,
192.168.100.27,,,,,,,,
192.168.100.28,,,,,,,,
192.168.100.29,,,,,,,,
192.168.100.30,20,9,0.11,90106.221,5318,137633,137633,0.02
192.168.100.31,20,0,0.33,30660.601,633,52814,52814,0.08
192.168.100.32,20,5,0.13,78577.198,265,120110,120110,0.03
192.168.100.33,,,,,,,,
192.168.100.34,,,,,,,,
192.168.100.35,,,,,,,,
192.168.100.36,20,0,0.24,41643.740,209,82871,82871,0.06
192.168.100.37,,,,,,,,
192.168.100.38,20,6,0.10,99718.440,15462,120109,120109,0.02
192.168.100.39,20,0,0.33,30680.145,410,59468,59468,0.08
192.168.100.40,,,,,,,,
192.168.100.41,,,,,,,,
192.168.100.42,,,,,,,,
192.168.100.43,,,,,,,,
192.168.100.44,,,,,,,,
192.168.100.45,,,,,,,,
192.168.100.46,20,0,0.27,37660.582,3282,48079,48079,0.06
192.168.100.47,20,4,0.10,104973.345,507,173462,173462,0.02
192.168.100.48,20,7,0.17,59619.938,9010,70180,70180,0.04
192.168.100.49,20,12,0.10,100124.016,73480,120116,120116,0.02
192.168.100.50,,,,,,,,
192.168.100.51,20,3,0.09,107271.614,20135,119193,119193,0.02
192.168.100.52,,,,,,,,
192.168.100.53,,,,,,,,
192.168.100.54,20,11,0.10,99701.964,27723,120124,120124,0.02
192.168.100.55,,,,,,,,
192.168.100.56,20,2,0.09,108125.640,16151,120217,120217,0.02
192.168.100.57,,,,,,,,
192.168.100.58,,,,,,,,
192.168.100.59,,,,,,,,
192.168.100.60,,,,,,,,
192.168.100.61,20,12,0.10,100968.844,105617,120038,120038,0.02
192.168.100.62,,,,,,,,
192.168.100.63,,,,,,,,
192.168.100.64,,,,,,,,
192.168.100.65,,,,,,,,
192.168.100.66,,,,,,,,
192.168.100.67,,,,,,,,
192.168.100.68,20,2,0.10,98824.339,12350,124209,124209,0.02
192.168.100.69,,,,,,,,
192.168.100.70,,,,,,,,
192.168.100.71,,,,,,,,
192.168.100.72,,,,,,,,
192.168.100.73,,,,,,,,
192.168.100.74,,,,,,,,
192.168.100.75,20,19,0.17,59604.743,12,119181,119181,0.00
192.168.100.76,,,,,,,,
192.168.100.77,,,,,,,,
192.168.100.78,,,,,,,,
192.168.100.79,20,0,0.34,29664.982,301,48077,48077,0.08
192.168.100.80,,,,,,,,
192.168.100.81,,,,,,,,
192.168.100.82,20,12,0.10,98519.177,40460,120114,120114,0.02
192.168.100.83,,,,,,,,
192.168.100.84,,,,,,,,
192.168.100.85,,,,,,,,
192.168.100.86,,,,,,,,
192.168.100.87,20,15,0.10,99961.258,68906,120110,120110,0.01
192.168.100.88,20,14,0.10,100210.921,100021,120105,120105,0.01
192.168.100.89,,,,,,,,
192.168.100.90,20,6,0.09,108800.863,614,120114,120114,0.02
192.168.100.91,,,,,,,,
192.168.100.92,,,,,,,,
192.168.100.93,,,,,,,,
192.168.100.94,,,,,,,,
192.168.100.95,20,19,0.19,53639.015,15,107245,107245,0.00
192.168.100.96,20,15,0.10,99950.810,71683,120110,120110,0.01
192.168.100.97,,,,,,,,
192.168.100.98,20,19,0.17,58599.867,14,117174,117174,0.00
192.168.100.99,20,2,0.15,68872.756,16410,99348,99348,0.03
192.168.100.100,,,,,,,,
192.168.100.101,20,0,0.23,42806.231,306,84895,84895,0.06
192.168.100.102,20,0,0.23,42774.492,494,84421,84421,0.06
192.168.100.103,20,0,0.21,48035.096,426,84401,84401,0.05
192.168.100.104,,,,,,,,
192.168.100.105,20,19,0.19,51459.867,14,102892,102892,0.00
192.168.100.106,,,,,,,,
192.168.100.107,20,0,0.23,42733.923,324,84399,84399,0.06
192.168.100.108,,,,,,,,
192.168.100.109,,,,,,,,
