starttime	seconds	ctime	dtime	ttime	wait
Thu Apr 23 12:07:09 2026	1776926229	0	6	6	0
Thu Apr 23 12:07:08 2026	1776926228	0	8	8	0
Thu Apr 23 12:07:09 2026	1776926229	0	8	8	0
Thu Apr 23 12:07:09 2026	1776926229	0	9	9	0
Thu Apr 23 12:07:09 2026	1776926229	0	9	9	0
Thu Apr 23 12:07:09 2026	1776926229	0	9	9	0
Thu Apr 23 12:07:09 2026	1776926229	0	10	10	0
Thu Apr 23 12:07:09 2026	1776926229	0	10	10	0
Thu Apr 23 12:07:09 2026	1776926229	0	10	10	0
Thu Apr 23 12:07:09 2026	1776926229	0	11	11	0
Thu Apr 23 12:07:08 2026	1776926228	0	11	11	0
Thu Apr 23 12:07:09 2026	1776926229	0	11	11	0
Thu Apr 23 12:07:09 2026	1776926229	0	13	13	0
Thu Apr 23 12:07:09 2026	1776926229	0	14	14	0
Thu Apr 23 12:07:09 2026	1776926229	0	14	14	0
Thu Apr 23 12:07:09 2026	1776926229	0	14	14	0
Thu Apr 23 12:07:08 2026	1776926228	0	15	15	0
Thu Apr 23 12:07:08 2026	1776926228	0	15	15	0
Thu Apr 23 12:07:08 2026	1776926228	0	15	15	0
Thu Apr 23 12:07:08 2026	1776926228	0	16	16	0
Thu Apr 23 12:07:08 2026	1776926228	0	16	16	0
Thu Apr 23 12:07:08 2026	1776926228	0	16	16	0
Thu Apr 23 12:07:09 2026	1776926229	0	16	16	0
Thu Apr 23 12:07:08 2026	1776926228	0	16	16	0
Thu Apr 23 12:07:08 2026	1776926228	0	16	16	0
Thu Apr 23 12:07:08 2026	1776926228	0	16	16	0
Thu Apr 23 12:07:08 2026	1776926228	0	17	17	0
Thu Apr 23 12:07:08 2026	1776926228	0	17	17	0
Thu Apr 23 12:07:08 2026	1776926228	0	17	17	0
Thu Apr 23 12:07:08 2026	1776926228	0	17	17	0
Thu Apr 23 12:07:08 2026	1776926228	0	17	17	0
Thu Apr 23 12:07:08 2026	1776926228	0	17	17	0
Thu Apr 23 12:07:08 2026	1776926228	0	17	17	0
Thu Apr 23 12:07:08 2026	1776926228	0	17	17	0
Thu Apr 23 12:07:08 2026	1776926228	0	17	17	0
Thu Apr 23 12:07:08 2026	1776926228	0	17	17	0
Thu Apr 23 12:07:08 2026	1776926228	0	17	17	0
Thu Apr 23 12:07:08 2026	1776926228	0	17	17	0
Thu Apr 23 12:07:08 2026	1776926228	0	18	18	0
Thu Apr 23 12:07:08 2026	1776926228	0	18	18	0
Thu Apr 23 12:07:09 2026	1776926229	0	18	18	0
Thu Apr 23 12:07:09 2026	1776926229	0	18	18	0
Thu Apr 23 12:07:08 2026	1776926228	0	18	18	0
Thu Apr 23 12:07:08 2026	1776926228	0	18	18	0
Thu Apr 23 12:07:08 2026	1776926228	0	18	18	0
Thu Apr 23 12:07:08 2026	1776926228	0	18	18	0
Thu Apr 23 12:07:08 2026	1776926228	0	18	18	0
Thu Apr 23 12:07:08 2026	1776926228	0	18	18	0
Thu Apr 23 12:07:08 2026	1776926228	0	18	18	0
Thu Apr 23 12:07:08 2026	1776926228	0	18	18	0
Thu Apr 23 12:07:09 2026	1776926229	0	19	19	0
Thu Apr 23 12:07:08 2026	1776926228	0	19	19	0
Thu Apr 23 12:07:09 2026	1776926229	0	19	19	0
Thu Apr 23 12:07:08 2026	1776926228	0	19	19	0
Thu Apr 23 12:07:07 2026	1776926227	0	19	19	0
Thu Apr 23 12:07:08 2026	1776926228	0	19	19	0
Thu Apr 23 12:07:08 2026	1776926228	0	19	19	0
Thu Apr 23 12:07:08 2026	1776926228	0	19	19	0
Thu Apr 23 12:07:08 2026	1776926228	0	19	19	0
Thu Apr 23 12:07:08 2026	1776926228	0	19	19	0
Thu Apr 23 12:07:08 2026	1776926228	0	20	20	0
Thu Apr 23 12:07:08 2026	1776926228	0	20	20	0
Thu Apr 23 12:07:08 2026	1776926228	0	20	20	0
Thu Apr 23 12:07:08 2026	1776926228	0	20	20	0
Thu Apr 23 12:07:08 2026	1776926228	0	20	20	0
Thu Apr 23 12:07:08 2026	1776926228	0	20	20	0
Thu Apr 23 12:07:08 2026	1776926228	0	21	21	0
Thu Apr 23 12:07:08 2026	1776926228	0	21	21	0
Thu Apr 23 12:07:08 2026	1776926228	0	21	21	0
Thu Apr 23 12:07:08 2026	1776926228	0	21	21	0
Thu Apr 23 12:07:08 2026	1776926228	0	21	21	0
Thu Apr 23 12:07:08 2026	1776926228	0	22	22	0
Thu Apr 23 12:07:08 2026	1776926228	0	22	22	0
Thu Apr 23 12:07:08 2026	1776926228	0	22	22	0
Thu Apr 23 12:07:08 2026	1776926228	0	22	22	0
Thu Apr 23 12:07:08 2026	1776926228	0	22	22	0
Thu Apr 23 12:07:08 2026	1776926228	0	23	23	0
Thu Apr 23 12:07:08 2026	1776926228	0	23	23	0
Thu Apr 23 12:07:08 2026	1776926228	0	24	24	0
Thu Apr 23 12:07:08 2026	1776926228	0	24	24	0
Thu Apr 23 12:07:08 2026	1776926228	0	24	24	0
Thu Apr 23 12:07:08 2026	1776926228	0	24	24	0
Thu Apr 23 12:07:08 2026	1776926228	0	24	24	0
Thu Apr 23 12:07:08 2026	1776926228	0	24	24	0
Thu Apr 23 12:07:08 2026	1776926228	0	24	24	0
Thu Apr 23 12:07:08 2026	1776926228	0	24	24	0
Thu Apr 23 12:07:08 2026	1776926228	0	25	25	0
Thu Apr 23 12:07:08 2026	1776926228	0	25	25	0
Thu Apr 23 12:07:08 2026	1776926228	0	26	26	0
Thu Apr 23 12:07:08 2026	1776926228	0	26	26	0
Thu Apr 23 12:07:08 2026	1776926228	0	26	26	0
Thu Apr 23 12:07:08 2026	1776926228	0	26	26	0
Thu Apr 23 12:07:08 2026	1776926228	0	27	27	0
Thu Apr 23 12:07:08 2026	1776926228	0	27	27	0
Thu Apr 23 12:07:08 2026	1776926228	0	27	27	0
Thu Apr 23 12:07:08 2026	1776926228	0	27	27	0
Thu Apr 23 12:07:08 2026	1776926228	0	28	28	0
Thu Apr 23 12:07:08 2026	1776926228	0	28	28	0
Thu Apr 23 12:07:08 2026	1776926228	0	28	28	0
Thu Apr 23 12:07:08 2026	1776926228	0	28	28	0
Thu Apr 23 12:07:09 2026	1776926229	0	29	29	0
Thu Apr 23 12:07:08 2026	1776926228	0	29	29	0
Thu Apr 23 12:07:08 2026	1776926228	0	29	29	0
Thu Apr 23 12:07:08 2026	1776926228	0	30	30	0
Thu Apr 23 12:07:08 2026	1776926228	0	30	30	0
Thu Apr 23 12:07:09 2026	1776926229	0	30	30	0
Thu Apr 23 12:07:09 2026	1776926229	0	33	33	0
Thu Apr 23 12:07:08 2026	1776926228	0	34	34	0
Thu Apr 23 12:07:08 2026	1776926228	0	35	35	0
Thu Apr 23 12:07:08 2026	1776926228	0	36	36	0
Thu Apr 23 12:07:09 2026	1776926229	0	36	36	0
Thu Apr 23 12:07:07 2026	1776926227	0	37	37	37
Thu Apr 23 12:07:08 2026	1776926228	0	37	37	0
Thu Apr 23 12:07:08 2026	1776926228	0	37	37	0
Thu Apr 23 12:07:08 2026	1776926228	0	38	38	0
Thu Apr 23 12:07:09 2026	1776926229	0	40	40	0
Thu Apr 23 12:07:09 2026	1776926229	0	42	42	0
Thu Apr 23 12:07:09 2026	1776926229	0	43	43	0
Thu Apr 23 12:07:09 2026	1776926229	0	44	44	0
Thu Apr 23 12:07:09 2026	1776926229	0	44	44	0
Thu Apr 23 12:07:09 2026	1776926229	0	46	46	0
Thu Apr 23 12:07:09 2026	1776926229	0	49	49	0
Thu Apr 23 12:07:09 2026	1776926229	0	49	49	0
Thu Apr 23 12:07:08 2026	1776926228	0	49	49	0
Thu Apr 23 12:07:08 2026	1776926228	0	49	49	0
Thu Apr 23 12:07:08 2026	1776926228	0	49	49	0
Thu Apr 23 12:07:09 2026	1776926229	0	50	50	0
Thu Apr 23 12:07:09 2026	1776926229	0	50	50	0
Thu Apr 23 12:07:07 2026	1776926227	0	51	51	51
Thu Apr 23 12:07:07 2026	1776926227	0	52	52	52
Thu Apr 23 12:07:09 2026	1776926229	0	53	53	0
Thu Apr 23 12:07:09 2026	1776926229	0	53	53	0
Thu Apr 23 12:07:09 2026	1776926229	0	54	54	0
Thu Apr 23 12:07:09 2026	1776926229	0	54	54	0
Thu Apr 23 12:07:09 2026	1776926229	0	55	55	0
Thu Apr 23 12:07:09 2026	1776926229	0	55	55	0
Thu Apr 23 12:07:09 2026	1776926229	0	56	56	0
Thu Apr 23 12:07:09 2026	1776926229	0	56	56	0
Thu Apr 23 12:07:09 2026	1776926229	0	56	56	0
Thu Apr 23 12:07:09 2026	1776926229	0	56	56	0
Thu Apr 23 12:07:07 2026	1776926227	0	56	56	56
Thu Apr 23 12:07:09 2026	1776926229	0	57	57	0
Thu Apr 23 12:07:09 2026	1776926229	0	57	57	0
Thu Apr 23 12:07:08 2026	1776926228	0	58	58	0
Thu Apr 23 12:07:09 2026	1776926229	0	58	58	0
Thu Apr 23 12:07:08 2026	1776926228	0	58	58	0
Thu Apr 23 12:07:08 2026	1776926228	0	58	58	0
Thu Apr 23 12:07:08 2026	1776926228	0	58	58	0
Thu Apr 23 12:07:09 2026	1776926229	0	58	58	0
Thu Apr 23 12:07:08 2026	1776926228	0	58	58	0
Thu Apr 23 12:07:09 2026	1776926229	0	58	58	0
Thu Apr 23 12:07:08 2026	1776926228	0	59	59	0
Thu Apr 23 12:07:08 2026	1776926228	0	59	59	0
Thu Apr 23 12:07:08 2026	1776926228	0	59	59	0
Thu Apr 23 12:07:08 2026	1776926228	0	59	59	0
Thu Apr 23 12:07:09 2026	1776926229	0	59	59	0
Thu Apr 23 12:07:09 2026	1776926229	0	63	63	0
Thu Apr 23 12:07:09 2026	1776926229	0	66	66	0
Thu Apr 23 12:07:09 2026	1776926229	0	68	68	0
Thu Apr 23 12:07:09 2026	1776926229	0	71	71	0
Thu Apr 23 12:07:07 2026	1776926227	0	83	83	82
Thu Apr 23 12:07:07 2026	1776926227	0	88	88	88
Thu Apr 23 12:07:07 2026	1776926227	0	88	88	88
Thu Apr 23 12:07:07 2026	1776926227	0	88	88	88
Thu Apr 23 12:07:07 2026	1776926227	0	95	95	95
Thu Apr 23 12:07:07 2026	1776926227	0	96	96	96
Thu Apr 23 12:07:08 2026	1776926228	5	94	99	0
Thu Apr 23 12:07:08 2026	1776926228	5	95	100	0
Thu Apr 23 12:07:08 2026	1776926228	5	97	102	0
Thu Apr 23 12:07:08 2026	1776926228	3	98	102	0
Thu Apr 23 12:07:08 2026	1776926228	3	99	102	0
Thu Apr 23 12:07:08 2026	1776926228	3	99	102	0
Thu Apr 23 12:07:08 2026	1776926228	3	99	102	0
Thu Apr 23 12:07:08 2026	1776926228	3	99	102	0
Thu Apr 23 12:07:08 2026	1776926228	4	98	102	0
Thu Apr 23 12:07:08 2026	1776926228	3	99	103	0
Thu Apr 23 12:07:08 2026	1776926228	5	98	103	0
Thu Apr 23 12:07:08 2026	1776926228	6	97	103	0
Thu Apr 23 12:07:08 2026	1776926228	3	100	103	0
Thu Apr 23 12:07:08 2026	1776926228	3	100	103	0
Thu Apr 23 12:07:08 2026	1776926228	4	99	103	0
Thu Apr 23 12:07:08 2026	1776926228	4	100	103	0
Thu Apr 23 12:07:08 2026	1776926228	4	99	104	0
Thu Apr 23 12:07:08 2026	1776926228	6	99	104	0
Thu Apr 23 12:07:08 2026	1776926228	3	103	105	0
Thu Apr 23 12:07:08 2026	1776926228	5	101	105	0
Thu Apr 23 12:07:08 2026	1776926228	5	101	106	0
Thu Apr 23 12:07:08 2026	1776926228	5	101	106	0
Thu Apr 23 12:07:08 2026	1776926228	4	102	106	0
Thu Apr 23 12:07:08 2026	1776926228	4	102	106	0
Thu Apr 23 12:07:08 2026	1776926228	4	102	106	0
Thu Apr 23 12:07:08 2026	1776926228	4	102	106	0
Thu Apr 23 12:07:08 2026	1776926228	4	103	107	0
Thu Apr 23 12:07:08 2026	1776926228	4	103	107	0
Thu Apr 23 12:07:08 2026	1776926228	5	103	107	0
Thu Apr 23 12:07:08 2026	1776926228	4	103	107	0
Thu Apr 23 12:07:08 2026	1776926228	5	103	107	0
Thu Apr 23 12:07:08 2026	1776926228	4	104	108	0
Thu Apr 23 12:07:08 2026	1776926228	3	105	108	0
Thu Apr 23 12:07:08 2026	1776926228	3	105	108	0
Thu Apr 23 12:07:08 2026	1776926228	5	104	108	0
Thu Apr 23 12:07:08 2026	1776926228	3	105	108	0
Thu Apr 23 12:07:08 2026	1776926228	3	105	109	0
Thu Apr 23 12:07:08 2026	1776926228	5	104	109	0
Thu Apr 23 12:07:08 2026	1776926228	3	107	110	0
Thu Apr 23 12:07:08 2026	1776926228	4	107	111	0
Thu Apr 23 12:07:08 2026	1776926228	4	107	111	0
Thu Apr 23 12:07:08 2026	1776926228	3	109	112	0
Thu Apr 23 12:07:07 2026	1776926227	0	114	114	114
Thu Apr 23 12:07:07 2026	1776926227	0	114	114	114
Thu Apr 23 12:07:07 2026	1776926227	0	115	115	115
Thu Apr 23 12:07:08 2026	1776926228	4	111	115	0
Thu Apr 23 12:07:08 2026	1776926228	6	112	117	0
Thu Apr 23 12:07:08 2026	1776926228	4	113	117	0
Thu Apr 23 12:07:08 2026	1776926228	4	113	117	0
Thu Apr 23 12:07:09 2026	1776926229	5	116	120	0
Thu Apr 23 12:07:09 2026	1776926229	4	120	124	0
Thu Apr 23 12:07:09 2026	1776926229	5	119	124	0
Thu Apr 23 12:07:09 2026	1776926229	4	120	124	0
Thu Apr 23 12:07:09 2026	1776926229	5	119	124	0
Thu Apr 23 12:07:09 2026	1776926229	5	119	124	0
Thu Apr 23 12:07:09 2026	1776926229	4	121	124	0
Thu Apr 23 12:07:09 2026	1776926229	4	121	125	0
Thu Apr 23 12:07:08 2026	1776926228	6	119	125	0
Thu Apr 23 12:07:09 2026	1776926229	4	122	125	0
Thu Apr 23 12:07:09 2026	1776926229	4	122	125	0
Thu Apr 23 12:07:09 2026	1776926229	4	122	126	0
Thu Apr 23 12:07:09 2026	1776926229	4	122	126	0
Thu Apr 23 12:07:08 2026	1776926228	4	123	126	0
Thu Apr 23 12:07:09 2026	1776926229	7	120	126	0
Thu Apr 23 12:07:09 2026	1776926229	3	123	127	0
Thu Apr 23 12:07:08 2026	1776926228	4	123	127	0
Thu Apr 23 12:07:09 2026	1776926229	3	124	127	0
Thu Apr 23 12:07:09 2026	1776926229	5	122	128	0
Thu Apr 23 12:07:08 2026	1776926228	3	125	128	0
Thu Apr 23 12:07:09 2026	1776926229	6	122	128	0
Thu Apr 23 12:07:09 2026	1776926229	6	122	128	0
Thu Apr 23 12:07:09 2026	1776926229	6	122	129	0
Thu Apr 23 12:07:09 2026	1776926229	6	122	129	0
Thu Apr 23 12:07:09 2026	1776926229	4	125	129	0
Thu Apr 23 12:07:09 2026	1776926229	3	126	130	0
Thu Apr 23 12:07:09 2026	1776926229	3	131	133	0
Thu Apr 23 12:07:09 2026	1776926229	3	131	134	0
Thu Apr 23 12:07:09 2026	1776926229	5	129	134	0
Thu Apr 23 12:07:07 2026	1776926227	0	135	135	0
Thu Apr 23 12:07:09 2026	1776926229	3	139	142	0
Thu Apr 23 12:07:09 2026	1776926229	3	139	142	0
Thu Apr 23 12:07:09 2026	1776926229	3	139	142	0
Thu Apr 23 12:07:09 2026	1776926229	3	142	145	0
Thu Apr 23 12:07:09 2026	1776926229	3	142	145	0
Thu Apr 23 12:07:09 2026	1776926229	3	142	145	0
Thu Apr 23 12:07:09 2026	1776926229	3	142	145	0
Thu Apr 23 12:07:09 2026	1776926229	3	142	145	0
Thu Apr 23 12:07:09 2026	1776926229	5	142	147	0
Thu Apr 23 12:07:09 2026	1776926229	5	143	148	0
Thu Apr 23 12:07:09 2026	1776926229	4	145	149	0
Thu Apr 23 12:07:09 2026	1776926229	3	146	149	0
Thu Apr 23 12:07:09 2026	1776926229	4	145	150	0
Thu Apr 23 12:07:08 2026	1776926228	3	147	150	0
Thu Apr 23 12:07:08 2026	1776926228	5	146	150	0
Thu Apr 23 12:07:08 2026	1776926228	3	148	151	0
Thu Apr 23 12:07:08 2026	1776926228	4	147	151	0
Thu Apr 23 12:07:08 2026	1776926228	3	147	151	0
Thu Apr 23 12:07:08 2026	1776926228	3	147	151	0
Thu Apr 23 12:07:08 2026	1776926228	3	148	151	0
Thu Apr 23 12:07:08 2026	1776926228	5	146	151	0
Thu Apr 23 12:07:08 2026	1776926228	5	146	151	0
Thu Apr 23 12:07:08 2026	1776926228	4	147	151	0
Thu Apr 23 12:07:08 2026	1776926228	5	146	151	0
Thu Apr 23 12:07:08 2026	1776926228	3	148	151	0
Thu Apr 23 12:07:08 2026	1776926228	3	148	151	0
Thu Apr 23 12:07:08 2026	1776926228	3	148	151	0
Thu Apr 23 12:07:08 2026	1776926228	3	148	151	0
Thu Apr 23 12:07:08 2026	1776926228	5	146	151	0
Thu Apr 23 12:07:08 2026	1776926228	6	145	152	0
Thu Apr 23 12:07:08 2026	1776926228	4	148	152	0
Thu Apr 23 12:07:08 2026	1776926228	4	147	152	0
Thu Apr 23 12:07:09 2026	1776926229	2	149	152	0
Thu Apr 23 12:07:09 2026	1776926229	2	149	152	0
Thu Apr 23 12:07:08 2026	1776926228	4	147	152	0
Thu Apr 23 12:07:08 2026	1776926228	4	147	152	0
Thu Apr 23 12:07:08 2026	1776926228	4	147	152	0
Thu Apr 23 12:07:08 2026	1776926228	4	147	152	0
Thu Apr 23 12:07:08 2026	1776926228	3	150	152	0
Thu Apr 23 12:07:08 2026	1776926228	6	146	152	0
Thu Apr 23 12:07:08 2026	1776926228	6	146	152	0
Thu Apr 23 12:07:08 2026	1776926228	3	149	152	0
Thu Apr 23 12:07:08 2026	1776926228	6	146	152	0
Thu Apr 23 12:07:08 2026	1776926228	3	150	153	0
Thu Apr 23 12:07:08 2026	1776926228	5	148	153	0
Thu Apr 23 12:07:08 2026	1776926228	5	148	154	0
Thu Apr 23 12:07:08 2026	1776926228	4	149	154	0
Thu Apr 23 12:07:08 2026	1776926228	2	152	154	0
Thu Apr 23 12:07:08 2026	1776926228	4	151	154	0
Thu Apr 23 12:07:08 2026	1776926228	2	153	155	0
Thu Apr 23 12:07:08 2026	1776926228	5	151	155	0
Thu Apr 23 12:07:09 2026	1776926229	3	152	155	0
Thu Apr 23 12:07:08 2026	1776926228	3	152	155	0
Thu Apr 23 12:07:09 2026	1776926229	3	153	155	0
Thu Apr 23 12:07:08 2026	1776926228	3	152	155	0
Thu Apr 23 12:07:09 2026	1776926229	3	153	155	0
Thu Apr 23 12:07:08 2026	1776926228	4	151	156	0
Thu Apr 23 12:07:08 2026	1776926228	3	153	156	0
Thu Apr 23 12:07:08 2026	1776926228	3	153	156	0
