Percentage served,Time in ms
0,2.503
1,5.916
2,6.376
3,6.624
4,6.776
5,6.916
6,7.083
7,7.253
8,7.363
9,7.457
10,7.602
11,7.676
12,7.764
13,7.816
14,7.904
15,7.982
16,8.073
17,8.174
18,8.268
19,8.376
20,8.468
21,8.561
22,8.617
23,8.682
24,8.789
25,8.868
26,8.982
27,9.054
28,9.162
29,9.292
30,9.418
31,9.508
32,9.588
33,9.700
34,9.825
35,9.900
36,10.034
37,10.147
38,10.322
39,10.472
40,10.583
41,10.716
42,10.981
43,11.181
44,11.547
45,11.833
46,12.229
47,12.583
48,13.240
49,14.200
50,16.164
51,18.292
52,22.609
53,32.394
54,38.637
55,49.211
56,54.586
57,68.939
58,83.908
59,100.400
60,102.473
61,104.789
62,120.066
63,142.048
64,166.225
65,185.897
66,206.715
67,251.381
68,280.811
69,306.321
70,325.646
71,350.117
72,371.128
73,386.223
74,401.783
75,411.131
76,430.895
77,450.496
78,464.548
79,502.084
80,512.058
81,539.247
82,601.016
83,682.313
84,733.853
85,784.584
86,913.642
87,1012.241
88,1113.091
89,1343.979
90,1628.940
91,2529.745
92,3273.436
93,3379.598
94,6600.449
95,10765.510
96,17226.667
97,21959.078
98,22273.013
99,33504.585
100,40956.120
