starttime	seconds	ctime	dtime	ttime	wait
Thu Apr 23 12:02:17 2026	1776925937	3	3	6	0
Thu Apr 23 12:02:17 2026	1776925937	4	4	7	0
Thu Apr 23 12:02:17 2026	1776925937	0	11	11	0
Thu Apr 23 12:02:17 2026	1776925937	5	6	11	0
Thu Apr 23 12:02:09 2026	1776925929	3	456	459	456
Thu Apr 23 12:02:09 2026	1776925929	3	457	460	457
Thu Apr 23 12:02:10 2026	1776925930	0	961	961	0
Thu Apr 23 12:02:09 2026	1776925929	3	1422	1425	1422
Thu Apr 23 12:02:11 2026	1776925931	0	2128	2128	0
Thu Apr 23 12:02:13 2026	1776925933	5	3871	3876	3871
Thu Apr 23 12:02:04 2026	1776925924	18	5741	5759	5740
Thu Apr 23 12:02:11 2026	1776925931	4	44113	44117	44113
Thu Apr 23 12:02:10 2026	1776925930	0	126586	126586	126586
Thu Apr 23 12:02:09 2026	1776925929	0	126842	126842	126842
Thu Apr 23 12:02:09 2026	1776925929	3	131242	131246	131242
Thu Apr 23 12:02:09 2026	1776925929	3	131243	131246	131242
Thu Apr 23 12:02:09 2026	1776925929	3	131244	131247	131242
Thu Apr 23 12:02:09 2026	1776925929	2	131245	131247	131243
Thu Apr 23 12:02:09 2026	1776925929	3	131244	131248	131242
Thu Apr 23 12:02:09 2026	1776925929	3	131245	131248	131242
