Percentage served,Time in ms
0,30.439
1,30.439
2,30.439
3,118.245
4,118.245
5,118.245
6,118.245
7,118.245
8,122.906
9,122.906
10,122.906
11,122.906
12,122.906
13,124.070
14,124.070
15,124.070
16,124.070
17,124.070
18,126.590
19,126.590
20,126.590
21,126.590
22,126.590
23,127.957
24,127.957
25,127.957
26,127.957
27,127.957
28,276.399
29,276.399
30,276.399
31,276.399
32,276.399
33,293.579
34,293.579
35,293.579
36,293.579
37,293.579
38,329.039
39,329.039
40,329.039
41,329.039
42,329.039
43,344.390
44,344.390
45,344.390
46,344.390
47,344.390
48,365.207
49,365.207
50,365.207
51,365.207
52,365.207
53,381.257
54,381.257
55,381.257
56,381.257
57,381.257
58,423.413
59,423.413
60,423.413
61,423.413
62,423.413
63,440.615
64,440.615
65,440.615
66,440.615
67,440.615
68,472.652
69,472.652
70,472.652
71,472.652
72,472.652
73,506.570
74,506.570
75,506.570
76,506.570
77,506.570
78,6483.666
79,6483.666
80,6483.666
81,6483.666
82,6483.666
83,6536.162
84,6536.162
85,6536.162
86,6536.162
87,6536.162
88,7374.402
89,7374.402
90,7374.402
91,7374.402
92,7374.402
93,22470.417
94,22470.417
95,22470.417
96,22470.417
97,22470.417
98,0.257
99,0.257
100,22470.417
