Percentage served,Time in ms
0,11.047
1,13.927
2,14.880
3,15.431
4,16.005
5,16.765
6,17.573
7,17.979
8,18.490
9,19.139
10,19.866
11,20.706
12,21.123
13,21.884
14,22.619
15,23.230
16,23.665
17,24.117
18,24.421
19,24.928
20,25.277
21,25.612
22,25.975
23,26.236
24,26.523
25,26.917
26,27.249
27,27.730
28,28.273
29,28.423
30,28.848
31,29.243
32,29.599
33,30.385
34,30.667
35,31.379
36,31.944
37,32.318
38,32.752
39,33.402
40,34.196
41,35.072
42,35.678
43,37.072
44,37.810
45,39.186
46,40.062
47,41.077
48,42.326
49,47.126
50,1418.106
51,1421.659
52,52738.313
53,65101.164
54,81948.511
55,97370.454
56,110675.861
57,120210.745
58,120210.839
59,120219.924
60,120241.904
61,120316.286
62,120351.548
63,120403.008
64,120469.040
65,120479.386
66,120523.685
67,120571.693
68,120610.290
69,120645.956
70,120690.743
71,120723.621
72,120757.016
73,120800.384
74,120829.337
75,120890.568
76,120905.923
77,120916.269
78,120945.856
79,120958.500
80,120967.168
81,120973.432
82,120990.397
83,120999.977
84,121010.174
85,121016.485
86,121055.282
87,121060.482
88,121067.511
89,121161.271
90,121163.206
91,121183.854
92,121187.462
93,121228.282
94,121832.132
95,121838.302
96,121840.192
97,121847.948
98,121903.151
99,121944.858
100,121974.375
