starttime	seconds	ctime	dtime	ttime	wait
Wed Apr 22 17:00:11 2026	1776857411	0	8	8	0
Wed Apr 22 17:00:11 2026	1776857411	0	10	10	0
Wed Apr 22 17:00:11 2026	1776857411	0	10	10	0
Wed Apr 22 17:00:11 2026	1776857411	0	10	10	0
Wed Apr 22 17:00:11 2026	1776857411	0	10	10	0
Wed Apr 22 17:00:11 2026	1776857411	0	10	10	0
Wed Apr 22 17:00:11 2026	1776857411	0	10	10	0
Wed Apr 22 17:00:11 2026	1776857411	0	11	11	0
Wed Apr 22 17:00:11 2026	1776857411	0	11	11	0
Wed Apr 22 17:00:11 2026	1776857411	0	11	11	0
Wed Apr 22 17:00:11 2026	1776857411	0	11	11	0
Wed Apr 22 17:00:11 2026	1776857411	0	12	12	0
Wed Apr 22 17:00:11 2026	1776857411	0	13	13	0
Wed Apr 22 17:00:11 2026	1776857411	0	13	13	0
Wed Apr 22 17:00:11 2026	1776857411	0	13	13	0
Wed Apr 22 17:00:11 2026	1776857411	0	13	13	0
Wed Apr 22 17:00:11 2026	1776857411	0	15	15	0
Wed Apr 22 17:00:11 2026	1776857411	0	16	16	0
Wed Apr 22 17:00:11 2026	1776857411	0	16	16	0
Wed Apr 22 17:00:11 2026	1776857411	0	17	17	0
Wed Apr 22 17:00:10 2026	1776857410	0	17	17	0
Wed Apr 22 17:00:10 2026	1776857410	0	17	17	0
Wed Apr 22 17:00:11 2026	1776857411	0	17	17	0
Wed Apr 22 17:00:10 2026	1776857410	0	17	17	0
Wed Apr 22 17:00:11 2026	1776857411	0	17	17	0
Wed Apr 22 17:00:11 2026	1776857411	0	18	18	0
Wed Apr 22 17:00:11 2026	1776857411	0	18	18	0
Wed Apr 22 17:00:10 2026	1776857410	0	19	19	0
Wed Apr 22 17:00:11 2026	1776857411	0	19	19	0
Wed Apr 22 17:00:11 2026	1776857411	0	19	19	0
Wed Apr 22 17:00:11 2026	1776857411	0	19	19	0
Wed Apr 22 17:00:11 2026	1776857411	0	20	20	0
Wed Apr 22 17:00:11 2026	1776857411	0	20	20	0
Wed Apr 22 17:00:11 2026	1776857411	0	21	21	0
Wed Apr 22 17:00:11 2026	1776857411	0	21	21	0
Wed Apr 22 17:00:10 2026	1776857410	0	21	21	0
Wed Apr 22 17:00:11 2026	1776857411	0	24	24	0
Wed Apr 22 17:00:11 2026	1776857411	0	24	24	0
Wed Apr 22 17:00:11 2026	1776857411	0	24	24	0
Wed Apr 22 17:00:11 2026	1776857411	0	29	29	0
Wed Apr 22 17:00:10 2026	1776857410	0	30	30	0
Wed Apr 22 17:00:10 2026	1776857410	0	31	31	0
Wed Apr 22 17:00:10 2026	1776857410	0	33	33	0
Wed Apr 22 17:00:10 2026	1776857410	0	33	33	0
Wed Apr 22 17:00:10 2026	1776857410	0	33	33	0
Wed Apr 22 17:00:09 2026	1776857409	0	33	33	0
Wed Apr 22 17:00:09 2026	1776857409	0	33	33	0
Wed Apr 22 17:00:09 2026	1776857409	0	36	36	0
Wed Apr 22 17:00:10 2026	1776857410	0	41	41	0
Wed Apr 22 17:00:10 2026	1776857410	0	41	41	0
Wed Apr 22 17:00:09 2026	1776857409	0	42	42	0
Wed Apr 22 17:00:10 2026	1776857410	0	42	42	0
Wed Apr 22 17:00:09 2026	1776857409	0	43	43	0
Wed Apr 22 17:00:10 2026	1776857410	0	44	44	0
Wed Apr 22 17:00:09 2026	1776857409	0	44	44	0
Wed Apr 22 17:00:10 2026	1776857410	0	45	45	0
Wed Apr 22 17:00:10 2026	1776857410	0	51	51	0
Wed Apr 22 17:00:10 2026	1776857410	0	53	53	0
Wed Apr 22 17:00:10 2026	1776857410	0	53	53	0
Wed Apr 22 17:00:10 2026	1776857410	0	53	53	0
Wed Apr 22 17:00:10 2026	1776857410	0	54	54	0
Wed Apr 22 17:00:10 2026	1776857410	0	57	57	0
Wed Apr 22 17:00:10 2026	1776857410	0	58	58	0
Wed Apr 22 17:00:10 2026	1776857410	0	58	58	0
Wed Apr 22 17:00:10 2026	1776857410	0	60	60	0
Wed Apr 22 17:00:09 2026	1776857409	0	60	60	0
Wed Apr 22 17:00:10 2026	1776857410	0	62	62	0
Wed Apr 22 17:00:10 2026	1776857410	0	63	63	0
Wed Apr 22 17:00:10 2026	1776857410	0	64	64	0
Wed Apr 22 17:00:10 2026	1776857410	0	66	66	0
Wed Apr 22 17:00:10 2026	1776857410	0	67	67	0
Wed Apr 22 17:00:10 2026	1776857410	0	67	67	0
Wed Apr 22 17:00:10 2026	1776857410	0	68	68	0
Wed Apr 22 17:00:10 2026	1776857410	0	69	69	0
Wed Apr 22 17:00:10 2026	1776857410	0	69	69	0
Wed Apr 22 17:00:10 2026	1776857410	0	73	73	0
Wed Apr 22 17:00:10 2026	1776857410	0	73	73	0
Wed Apr 22 17:00:10 2026	1776857410	0	73	73	0
Wed Apr 22 17:00:10 2026	1776857410	0	73	73	0
Wed Apr 22 17:00:10 2026	1776857410	0	74	74	0
Wed Apr 22 17:00:10 2026	1776857410	0	74	74	0
Wed Apr 22 17:00:10 2026	1776857410	0	75	75	0
Wed Apr 22 17:00:10 2026	1776857410	0	76	76	0
Wed Apr 22 17:00:10 2026	1776857410	0	76	76	0
Wed Apr 22 17:00:10 2026	1776857410	0	76	76	0
Wed Apr 22 17:00:10 2026	1776857410	0	76	76	0
Wed Apr 22 17:00:10 2026	1776857410	0	76	76	0
Wed Apr 22 17:00:10 2026	1776857410	0	77	77	0
Wed Apr 22 17:00:10 2026	1776857410	0	77	77	0
Wed Apr 22 17:00:10 2026	1776857410	0	77	77	0
Wed Apr 22 17:00:10 2026	1776857410	0	77	77	0
Wed Apr 22 17:00:10 2026	1776857410	0	77	77	0
Wed Apr 22 17:00:10 2026	1776857410	0	77	77	0
Wed Apr 22 17:00:10 2026	1776857410	0	78	78	0
Wed Apr 22 17:00:10 2026	1776857410	0	78	78	0
Wed Apr 22 17:00:10 2026	1776857410	0	78	78	0
Wed Apr 22 17:00:10 2026	1776857410	0	79	79	0
Wed Apr 22 17:00:10 2026	1776857410	0	79	79	0
Wed Apr 22 17:00:10 2026	1776857410	0	79	79	0
Wed Apr 22 17:00:10 2026	1776857410	0	79	79	0
Wed Apr 22 17:00:10 2026	1776857410	0	79	79	0
Wed Apr 22 17:00:10 2026	1776857410	0	79	79	0
Wed Apr 22 17:00:10 2026	1776857410	0	79	79	0
Wed Apr 22 17:00:10 2026	1776857410	0	79	79	0
Wed Apr 22 17:00:10 2026	1776857410	0	79	79	0
Wed Apr 22 17:00:10 2026	1776857410	0	79	79	0
Wed Apr 22 17:00:10 2026	1776857410	0	80	80	0
Wed Apr 22 17:00:10 2026	1776857410	0	80	80	0
Wed Apr 22 17:00:10 2026	1776857410	0	80	80	0
Wed Apr 22 17:00:10 2026	1776857410	0	81	81	0
Wed Apr 22 17:00:10 2026	1776857410	0	81	81	0
Wed Apr 22 17:00:10 2026	1776857410	0	81	81	0
Wed Apr 22 17:00:10 2026	1776857410	0	81	81	0
Wed Apr 22 17:00:10 2026	1776857410	0	81	81	0
Wed Apr 22 17:00:10 2026	1776857410	0	81	81	0
Wed Apr 22 17:00:10 2026	1776857410	0	81	81	0
Wed Apr 22 17:00:10 2026	1776857410	0	81	81	0
Wed Apr 22 17:00:10 2026	1776857410	0	81	81	0
Wed Apr 22 17:00:10 2026	1776857410	0	82	82	0
Wed Apr 22 17:00:10 2026	1776857410	0	82	82	0
Wed Apr 22 17:00:10 2026	1776857410	0	82	82	0
Wed Apr 22 17:00:10 2026	1776857410	0	82	82	0
Wed Apr 22 17:00:10 2026	1776857410	0	82	82	0
Wed Apr 22 17:00:10 2026	1776857410	0	83	83	0
Wed Apr 22 17:00:10 2026	1776857410	0	83	83	0
Wed Apr 22 17:00:10 2026	1776857410	0	83	83	0
Wed Apr 22 17:00:10 2026	1776857410	0	83	83	0
Wed Apr 22 17:00:10 2026	1776857410	0	83	83	0
Wed Apr 22 17:00:10 2026	1776857410	0	83	83	0
Wed Apr 22 17:00:10 2026	1776857410	0	84	84	0
Wed Apr 22 17:00:10 2026	1776857410	0	84	84	0
Wed Apr 22 17:00:10 2026	1776857410	0	84	84	0
Wed Apr 22 17:00:10 2026	1776857410	0	85	85	0
Wed Apr 22 17:00:10 2026	1776857410	0	85	85	0
Wed Apr 22 17:00:10 2026	1776857410	0	85	85	0
Wed Apr 22 17:00:10 2026	1776857410	0	85	85	0
Wed Apr 22 17:00:10 2026	1776857410	0	85	85	0
Wed Apr 22 17:00:10 2026	1776857410	0	85	85	0
Wed Apr 22 17:00:10 2026	1776857410	0	86	86	0
Wed Apr 22 17:00:10 2026	1776857410	0	87	87	0
Wed Apr 22 17:00:10 2026	1776857410	0	87	87	0
Wed Apr 22 17:00:10 2026	1776857410	0	87	87	0
Wed Apr 22 17:00:10 2026	1776857410	0	87	87	0
Wed Apr 22 17:00:10 2026	1776857410	0	87	87	0
Wed Apr 22 17:00:10 2026	1776857410	0	87	87	0
