starttime	seconds	ctime	dtime	ttime	wait
Wed Apr 22 17:18:31 2026	1776858511	0	5	5	0
Wed Apr 22 17:18:31 2026	1776858511	4	5	8	0
Wed Apr 22 17:18:31 2026	1776858511	4	5	9	0
Wed Apr 22 17:18:31 2026	1776858511	3	6	10	0
Wed Apr 22 17:18:31 2026	1776858511	4	6	10	0
Wed Apr 22 17:18:31 2026	1776858511	6	6	12	0
Wed Apr 22 17:18:31 2026	1776858511	4	9	12	0
Wed Apr 22 17:18:31 2026	1776858511	4	9	12	0
Wed Apr 22 17:18:31 2026	1776858511	6	7	13	0
Wed Apr 22 17:18:31 2026	1776858511	6	7	13	0
Wed Apr 22 17:18:31 2026	1776858511	5	8	13	0
Wed Apr 22 17:18:31 2026	1776858511	5	8	13	0
Wed Apr 22 17:18:31 2026	1776858511	6	7	13	0
Wed Apr 22 17:18:31 2026	1776858511	3	10	14	0
Wed Apr 22 17:18:31 2026	1776858511	3	10	14	0
Wed Apr 22 17:18:31 2026	1776858511	5	8	14	0
Wed Apr 22 17:18:31 2026	1776858511	4	10	14	0
Wed Apr 22 17:18:31 2026	1776858511	6	8	14	0
Wed Apr 22 17:18:31 2026	1776858511	6	8	14	0
Wed Apr 22 17:17:04 2026	1776858424	1043	86166	87209	86165
