Percentage served,Time in ms
0,18.664
1,18.664
2,18.664
3,61.455
4,61.455
5,61.455
6,61.455
7,61.455
8,63.426
9,63.426
10,63.426
11,63.426
12,63.426
13,76.949
14,76.949
15,76.949
16,76.949
17,76.949
18,83.754
19,83.754
20,83.754
21,83.754
22,83.754
23,84.811
24,84.811
25,84.811
26,84.811
27,84.811
28,89.292
29,89.292
30,89.292
31,89.292
32,89.292
33,169.636
34,169.636
35,169.636
36,169.636
37,169.636
38,204.928
39,204.928
40,204.928
41,204.928
42,204.928
43,14132.036
44,14132.036
45,14132.036
46,14132.036
47,14132.036
48,16787.111
49,16787.111
50,16787.111
51,16787.111
52,16787.111
53,17033.549
54,17033.549
55,17033.549
56,17033.549
57,17033.549
58,25225.873
59,25225.873
60,25225.873
61,25225.873
62,25225.873
63,25290.879
64,25290.879
65,25290.879
66,25290.879
67,25290.879
68,31758.477
69,31758.477
70,31758.477
71,31758.477
72,31758.477
73,54396.466
74,54396.466
75,54396.466
76,54396.466
77,54396.466
78,87507.505
79,87507.505
80,87507.505
81,87507.505
82,87507.505
83,93779.216
84,93779.216
85,93779.216
86,93779.216
87,93779.216
88,93780.700
89,93780.700
90,93780.700
91,93780.700
92,93780.700
93,97886.082
94,97886.082
95,97886.082
96,97886.082
97,97886.082
98,0.257
99,0.257
100,97886.082
