source_ip,requests_completed,failed_requests,rps,mean_latency_ms,p50_ms,p95_ms,p99_ms,transfer_rate_kbps
192.168.100.10,20,19,0.23,42635.871,13,85241,85241,0.00
192.168.100.11,20,19,0.17,58988.626,22,117932,117932,0.00
192.168.100.12,20,19,0.22,46245.332,12,92467,92467,0.00
192.168.100.13,20,19,0.18,56462.429,52,112814,112814,0.00
192.168.100.14,20,19,0.23,43880.803,11,87738,87738,0.00
192.168.100.15,20,19,0.25,39809.948,11,79599,79599,0.00
192.168.100.16,20,19,0.17,57186.081,16,114340,114340,0.00
192.168.100.17,20,19,0.20,49154.576,14,98280,98280,0.00
192.168.100.18,20,19,0.22,46438.867,13,92851,92851,0.00
192.168.100.19,20,19,0.20,49945.239,12,99867,99867,0.00
192.168.100.20,20,19,0.21,48238.798,15,96441,96441,0.00
192.168.100.21,20,19,0.21,48259.684,13,96490,96490,0.00
192.168.100.22,20,19,0.26,38138.270,12,76252,76252,0.00
192.168.100.23,20,19,0.20,50806.896,12,101588,101588,0.00
192.168.100.24,20,19,0.20,48833.122,14,97641,97641,0.00
192.168.100.25,20,19,0.22,45310.265,18,90583,90583,0.00
192.168.100.26,20,19,0.19,52284.234,16,104533,104533,0.00
192.168.100.27,20,19,0.19,51928.815,12,103831,103831,0.00
192.168.100.28,20,19,0.23,44420.492,13,88817,88817,0.00
192.168.100.29,20,19,0.17,59491.641,15,118951,118951,0.00
192.168.100.30,20,19,0.19,51558.906,22,103078,103078,0.00
192.168.100.31,20,7,0.28,36222.170,326,71822,71822,0.04
192.168.100.32,20,19,0.27,37627.352,10,75232,75232,0.00
192.168.100.33,20,7,0.28,36286.088,340,71809,71809,0.04
192.168.100.34,20,19,0.24,41987.117,383,83246,83246,0.00
192.168.100.35,20,19,0.24,41546.143,306,82756,82756,0.00
192.168.100.36,20,0,0.66,15185.086,421,28886,28886,0.16
192.168.100.37,20,19,0.20,50782.336,13,101538,101538,0.00
192.168.100.38,20,19,0.20,49000.223,16,97966,97966,0.00
192.168.100.39,20,19,0.22,46469.515,11,92914,92914,0.00
192.168.100.40,20,19,0.18,56460.966,62,112806,112806,0.00
192.168.100.41,20,19,0.27,37586.733,13,75147,75147,0.00
192.168.100.42,20,19,0.20,49101.474,22,98157,98157,0.00
192.168.100.43,20,0,0.65,15340.495,361,29406,29406,0.16
192.168.100.44,20,3,0.25,39430.944,11002,62251,62251,0.05
192.168.100.45,20,19,0.22,44900.096,21,89760,89760,0.00
192.168.100.46,20,0,0.65,15455.322,478,29389,29389,0.15
192.168.100.47,20,0,0.69,14544.047,204,28667,28667,0.16
192.168.100.48,20,19,0.17,57920.078,12,115810,115810,0.00
192.168.100.49,20,0,0.17,57935.719,31510,84299,84299,0.04
192.168.100.50,20,19,0.19,52634.092,13,105239,105239,0.00
192.168.100.51,20,0,0.44,22877.828,215,34308,34308,0.10
192.168.100.52,20,0,0.57,17453.912,262,34397,34397,0.14
