Percentage served,Time in ms
0,102.164
1,117.405
2,134.868
3,141.399
4,152.229
5,167.938
6,180.916
7,225.168
8,236.677
9,247.017
10,254.162
11,264.057
12,275.998
13,305.518
14,331.630
15,381.995
16,613.522
17,620.800
18,689.590
19,708.775
20,718.372
21,731.230
22,738.547
23,742.874
24,878.287
25,892.169
26,898.333
27,903.792
28,1067.274
29,1085.824
30,1108.572
31,1204.309
32,1282.798
33,1295.945
34,1333.529
35,1355.450
36,1371.367
37,1384.633
38,1394.525
39,1399.296
40,1413.870
41,1432.639
42,1443.185
43,1460.801
44,1468.650
45,1481.200
46,1487.135
47,1492.965
48,1507.357
49,1518.134
50,1556.826
51,1561.693
52,1565.305
53,1567.841
54,1569.019
55,1571.905
56,1578.560
57,1584.834
58,1595.256
59,1599.438
60,1601.218
61,1604.342
62,1606.426
63,1616.090
64,1639.804
65,1691.614
66,1697.681
67,1734.773
68,1757.412
69,1800.913
70,1834.213
71,1843.035
72,1870.160
73,1881.502
74,1933.811
75,1948.178
76,2085.143
77,2367.057
78,2580.017
79,2842.724
80,3151.138
81,3245.175
82,3256.055
83,3266.498
84,3276.448
85,3286.839
86,3291.962
87,3298.192
88,3308.300
89,3314.368
90,3323.869
91,3332.945
92,3337.486
93,3347.534
94,3353.948
95,3363.971
96,3371.708
97,3379.955
98,3387.279
99,3396.251
100,26908.064
