starttime	seconds	ctime	dtime	ttime	wait
Thu Apr 23 14:57:06 2026	1776936426	0	102	102	0
Thu Apr 23 14:57:06 2026	1776936426	0	102	102	0
Thu Apr 23 14:57:06 2026	1776936426	0	108	108	0
Thu Apr 23 14:57:06 2026	1776936426	0	108	108	0
Thu Apr 23 14:57:06 2026	1776936426	0	108	108	0
Thu Apr 23 14:57:06 2026	1776936426	0	109	109	0
Thu Apr 23 14:57:06 2026	1776936426	0	109	109	0
Thu Apr 23 14:57:06 2026	1776936426	0	110	110	0
Thu Apr 23 14:57:06 2026	1776936426	0	110	110	0
Thu Apr 23 14:57:06 2026	1776936426	0	110	110	0
Thu Apr 23 14:57:06 2026	1776936426	0	111	111	0
Thu Apr 23 14:57:06 2026	1776936426	0	111	111	0
Thu Apr 23 14:57:06 2026	1776936426	0	111	111	0
Thu Apr 23 14:57:06 2026	1776936426	0	111	111	0
Thu Apr 23 14:57:06 2026	1776936426	0	113	113	0
Thu Apr 23 14:57:06 2026	1776936426	0	113	113	0
Thu Apr 23 14:57:06 2026	1776936426	0	115	115	0
Thu Apr 23 14:57:06 2026	1776936426	0	115	115	0
Thu Apr 23 14:57:06 2026	1776936426	0	117	117	0
Thu Apr 23 14:57:06 2026	1776936426	0	117	117	0
Thu Apr 23 14:57:06 2026	1776936426	0	117	117	0
Thu Apr 23 14:57:06 2026	1776936426	0	117	117	0
Thu Apr 23 14:57:06 2026	1776936426	0	118	118	0
Thu Apr 23 14:57:06 2026	1776936426	0	118	118	0
Thu Apr 23 14:57:06 2026	1776936426	0	118	118	0
Thu Apr 23 14:57:06 2026	1776936426	0	119	119	0
Thu Apr 23 14:57:06 2026	1776936426	0	119	119	0
Thu Apr 23 14:57:06 2026	1776936426	0	120	120	0
Thu Apr 23 14:57:06 2026	1776936426	0	121	121	0
Thu Apr 23 14:57:06 2026	1776936426	0	122	122	0
Thu Apr 23 14:57:06 2026	1776936426	0	122	122	0
Thu Apr 23 14:57:06 2026	1776936426	0	125	125	0
Thu Apr 23 14:57:06 2026	1776936426	0	125	125	0
Thu Apr 23 14:57:07 2026	1776936427	0	131	131	0
Thu Apr 23 14:57:07 2026	1776936427	0	131	131	0
Thu Apr 23 14:57:06 2026	1776936426	0	133	133	0
Thu Apr 23 14:57:06 2026	1776936426	0	133	133	0
Thu Apr 23 14:57:07 2026	1776936427	0	133	133	0
Thu Apr 23 14:57:06 2026	1776936426	0	134	134	0
Thu Apr 23 14:57:07 2026	1776936427	0	134	134	0
Thu Apr 23 14:57:07 2026	1776936427	0	135	135	0
Thu Apr 23 14:57:07 2026	1776936427	0	135	135	0
Thu Apr 23 14:57:07 2026	1776936427	0	135	135	0
Thu Apr 23 14:57:07 2026	1776936427	0	135	135	0
Thu Apr 23 14:57:07 2026	1776936427	0	135	135	0
Thu Apr 23 14:57:07 2026	1776936427	0	135	135	0
Thu Apr 23 14:57:06 2026	1776936426	0	136	136	0
Thu Apr 23 14:57:07 2026	1776936427	0	136	136	0
Thu Apr 23 14:57:06 2026	1776936426	0	136	136	0
Thu Apr 23 14:57:06 2026	1776936426	0	136	136	0
Thu Apr 23 14:57:07 2026	1776936427	0	136	136	0
Thu Apr 23 14:57:06 2026	1776936426	0	137	137	0
Thu Apr 23 14:57:07 2026	1776936427	0	137	137	0
Thu Apr 23 14:57:07 2026	1776936427	0	137	137	0
Thu Apr 23 14:57:06 2026	1776936426	0	138	138	0
Thu Apr 23 14:57:07 2026	1776936427	0	139	139	0
Thu Apr 23 14:57:06 2026	1776936426	0	140	140	0
Thu Apr 23 14:57:07 2026	1776936427	0	141	141	0
Thu Apr 23 14:57:07 2026	1776936427	0	141	141	0
Thu Apr 23 14:57:07 2026	1776936427	0	141	141	0
Thu Apr 23 14:57:07 2026	1776936427	0	141	141	0
Thu Apr 23 14:57:07 2026	1776936427	0	141	141	0
Thu Apr 23 14:57:07 2026	1776936427	0	142	142	0
Thu Apr 23 14:57:06 2026	1776936426	0	142	142	0
Thu Apr 23 14:57:07 2026	1776936427	0	142	142	0
Thu Apr 23 14:57:07 2026	1776936427	0	142	142	0
Thu Apr 23 14:57:07 2026	1776936427	0	144	144	0
Thu Apr 23 14:57:06 2026	1776936426	0	144	144	0
Thu Apr 23 14:57:06 2026	1776936426	0	144	144	0
Thu Apr 23 14:57:07 2026	1776936427	0	145	145	0
Thu Apr 23 14:57:07 2026	1776936427	0	145	145	0
Thu Apr 23 14:57:07 2026	1776936427	0	146	146	0
Thu Apr 23 14:57:07 2026	1776936427	0	146	146	0
Thu Apr 23 14:57:06 2026	1776936426	0	149	149	0
Thu Apr 23 14:57:07 2026	1776936427	0	150	150	0
Thu Apr 23 14:57:07 2026	1776936427	0	151	151	0
Thu Apr 23 14:57:07 2026	1776936427	0	151	151	0
Thu Apr 23 14:57:07 2026	1776936427	0	152	152	0
Thu Apr 23 14:57:07 2026	1776936427	0	152	152	0
Thu Apr 23 14:57:07 2026	1776936427	0	152	152	0
Thu Apr 23 14:57:07 2026	1776936427	0	152	152	0
Thu Apr 23 14:57:07 2026	1776936427	0	154	154	0
Thu Apr 23 14:57:07 2026	1776936427	0	154	154	0
Thu Apr 23 14:57:07 2026	1776936427	0	154	154	0
Thu Apr 23 14:57:07 2026	1776936427	0	155	155	0
Thu Apr 23 14:57:07 2026	1776936427	0	155	155	0
Thu Apr 23 14:57:07 2026	1776936427	0	155	155	0
Thu Apr 23 14:57:07 2026	1776936427	0	156	156	0
Thu Apr 23 14:57:07 2026	1776936427	0	159	159	0
Thu Apr 23 14:57:07 2026	1776936427	0	159	159	0
Thu Apr 23 14:57:07 2026	1776936427	0	159	159	0
Thu Apr 23 14:57:07 2026	1776936427	0	159	159	0
Thu Apr 23 14:57:07 2026	1776936427	0	164	164	0
Thu Apr 23 14:57:07 2026	1776936427	0	164	164	0
Thu Apr 23 14:57:07 2026	1776936427	0	165	165	0
Thu Apr 23 14:57:06 2026	1776936426	0	166	166	0
Thu Apr 23 14:57:06 2026	1776936426	0	166	166	0
Thu Apr 23 14:57:06 2026	1776936426	0	166	166	0
Thu Apr 23 14:57:06 2026	1776936426	0	166	166	0
Thu Apr 23 14:57:07 2026	1776936427	0	168	168	0
Thu Apr 23 14:57:07 2026	1776936427	0	168	168	0
Thu Apr 23 14:57:07 2026	1776936427	0	168	168	0
Thu Apr 23 14:57:07 2026	1776936427	0	168	168	0
Thu Apr 23 14:57:07 2026	1776936427	0	168	168	0
Thu Apr 23 14:57:07 2026	1776936427	0	169	169	0
Thu Apr 23 14:57:07 2026	1776936427	0	169	169	0
Thu Apr 23 14:57:07 2026	1776936427	0	169	169	0
Thu Apr 23 14:57:07 2026	1776936427	0	169	169	0
Thu Apr 23 14:57:07 2026	1776936427	0	170	170	0
