starttime	seconds	ctime	dtime	ttime	wait
Thu Apr 23 15:02:08 2026	1776936728	0	819	819	0
Thu Apr 23 15:02:06 2026	1776936726	6	2334	2340	2334
Thu Apr 23 15:02:06 2026	1776936726	6	2334	2340	2334
Thu Apr 23 15:02:06 2026	1776936726	4	2336	2340	2336
Thu Apr 23 15:02:06 2026	1776936726	6	2335	2341	2335
Thu Apr 23 15:02:06 2026	1776936726	6	2335	2341	2335
Thu Apr 23 15:02:06 2026	1776936726	6	2436	2442	2436
Thu Apr 23 15:02:06 2026	1776936726	0	3258	3258	2643
Thu Apr 23 15:02:06 2026	1776936726	6	3255	3261	3255
Thu Apr 23 15:02:06 2026	1776936726	8	4277	4285	4276
Thu Apr 23 15:02:09 2026	1776936729	0	4304	4304	4304
Thu Apr 23 15:02:09 2026	1776936729	0	4307	4307	4307
Thu Apr 23 15:02:09 2026	1776936729	7	4301	4307	4300
Thu Apr 23 15:02:08 2026	1776936728	0	5225	5225	5224
Thu Apr 23 15:02:08 2026	1776936728	0	5227	5227	5227
Thu Apr 23 15:02:08 2026	1776936728	0	5228	5228	5228
Thu Apr 23 15:02:08 2026	1776936728	0	5228	5228	5228
Thu Apr 23 15:02:08 2026	1776936728	0	5228	5228	5228
Thu Apr 23 15:02:06 2026	1776936726	19	7543	7561	7542
Thu Apr 23 15:01:04 2026	1776936664	1113	61297	62410	61293
