Percentage served,Time in ms
0,1124.721
1,1124.721
2,1124.721
3,1124.974
4,1124.974
5,1124.974
6,1124.974
7,1124.974
8,1125.088
9,1125.088
10,1125.088
11,1125.088
12,1125.088
13,1125.095
14,1125.095
15,1125.095
16,1125.095
17,1125.095
18,1125.184
19,1125.184
20,1125.184
21,1125.184
22,1125.184
23,1125.316
24,1125.316
25,1125.316
26,1125.316
27,1125.316
28,1125.399
29,1125.399
30,1125.399
31,1125.399
32,1125.399
33,1126.001
34,1126.001
35,1126.001
36,1126.001
37,1126.001
38,1126.353
39,1126.353
40,1126.353
41,1126.353
42,1126.353
43,1126.477
44,1126.477
45,1126.477
46,1126.477
47,1126.477
48,1126.888
49,1126.888
50,1126.888
51,1126.888
52,1126.888
53,1127.699
54,1127.699
55,1127.699
56,1127.699
57,1127.699
58,1127.704
59,1127.704
60,1127.704
61,1127.704
62,1127.704
63,1127.735
64,1127.735
65,1127.735
66,1127.735
67,1127.735
68,1127.745
69,1127.745
70,1127.745
71,1127.745
72,1127.745
73,1127.779
74,1127.779
75,1127.779
76,1127.779
77,1127.779
78,1127.817
79,1127.817
80,1127.817
81,1127.817
82,1127.817
83,1128.011
84,1128.011
85,1128.011
86,1128.011
87,1128.011
88,1128.079
89,1128.079
90,1128.079
91,1128.079
92,1128.079
93,87488.985
94,87488.985
95,87488.985
96,87488.985
97,87488.985
98,0.257
99,0.257
100,87488.985
