source_ip,requests_completed,failed_requests,rps,mean_latency_ms,p50_ms,p95_ms,p99_ms,transfer_rate_kbps
192.168.100.10,,,,,,,,
192.168.100.11,20,9,0.33,29887.525,962,57928,57928,0.07
192.168.100.12,,,,,,,,
192.168.100.13,,,,,,,,
192.168.100.14,,,,,,,,
192.168.100.15,,,,,,,,
192.168.100.16,,,,,,,,
192.168.100.17,,,,,,,,
192.168.100.18,,,,,,,,
192.168.100.19,,,,,,,,
192.168.100.20,,,,,,,,
192.168.100.21,20,9,0.33,29890.283,891,57913,57913,0.07
192.168.100.22,,,,,,,,
192.168.100.23,20,14,0.29,34987.471,4304,62410,62410,0.06
192.168.100.24,,,,,,,,
192.168.100.25,,,,,,,,
192.168.100.26,20,13,0.29,34995.897,4285,62426,62426,0.06
192.168.100.27,,,,,,,,
192.168.100.28,,,,,,,,
192.168.100.29,20,9,0.34,29834.074,1333,57342,57342,0.07
192.168.100.30,,,,,,,,
192.168.100.31,20,14,2.33,4293.359,660,7003,7003,0.48
192.168.100.32,20,10,0.11,94973.848,7564,127535,127535,0.02
192.168.100.33,20,13,0.29,34984.214,4284,62400,62400,0.06
192.168.100.34,,,,,,,,
192.168.100.35,,,,,,,,
192.168.100.36,,,,,,,,
192.168.100.37,,,,,,,,
192.168.100.38,,,,,,,,
192.168.100.39,,,,,,,,
192.168.100.40,,,,,,,,
192.168.100.41,,,,,,,,
192.168.100.42,,,,,,,,
192.168.100.43,,,,,,,,
192.168.100.44,,,,,,,,
192.168.100.45,,,,,,,,
192.168.100.46,,,,,,,,
192.168.100.47,20,19,0.21,47397.799,9218,84449,84449,0.04
192.168.100.48,20,15,0.11,94459.102,4286,126512,126512,0.02
192.168.100.49,,,,,,,,
192.168.100.50,,,,,,,,
192.168.100.51,,,,,,,,
192.168.100.52,,,,,,,,
192.168.100.53,,,,,,,,
192.168.100.54,,,,,,,,
192.168.100.55,,,,,,,,
192.168.100.56,,,,,,,,
192.168.100.57,,,,,,,,
192.168.100.58,,,,,,,,
192.168.100.59,,,,,,,,
192.168.100.60,,,,,,,,
192.168.100.61,,,,,,,,
192.168.100.62,,,,,,,,
192.168.100.63,,,,,,,,
192.168.100.64,,,,,,,,
192.168.100.65,,,,,,,,
192.168.100.66,,,,,,,,
192.168.100.67,20,1,0.15,65525.501,55369,129116,129116,0.04
192.168.100.68,,,,,,,,
192.168.100.69,,,,,,,,
192.168.100.70,,,,,,,,
192.168.100.71,,,,,,,,
192.168.100.72,,,,,,,,
192.168.100.73,20,19,0.10,104505.467,12086,127438,127438,0.02
192.168.100.74,20,19,0.19,51968.385,17,103901,103901,0.00
192.168.100.75,,,,,,,,
192.168.100.76,,,,,,,,
192.168.100.77,,,,,,,,
192.168.100.78,20,1,0.15,65525.918,55369,129115,129115,0.04
192.168.100.79,,,,,,,,
192.168.100.80,,,,,,,,
192.168.100.81,,,,,,,,
192.168.100.82,20,20,0.15,65583.393,4962,126602,126602,0.03
192.168.100.83,,,,,,,,
192.168.100.84,,,,,,,,
192.168.100.85,20,19,0.17,58462.080,210,116701,116701,0.00
192.168.100.86,,,,,,,,
192.168.100.87,,,,,,,,
192.168.100.88,,,,,,,,
192.168.100.89,,,,,,,,
192.168.100.90,,,,,,,,
192.168.100.91,20,19,0.22,44870.800,1127,87489,87489,0.05
192.168.100.92,20,19,0.19,51329.228,2048,99789,99789,0.04
192.168.100.93,,,,,,,,
192.168.100.94,,,,,,,,
192.168.100.95,,,,,,,,
192.168.100.96,20,19,0.19,51321.738,1333,99264,99264,0.04
192.168.100.97,,,,,,,,
192.168.100.98,,,,,,,,
192.168.100.99,,,,,,,,
192.168.100.100,20,19,0.19,53890.699,12,107755,107755,0.00
192.168.100.101,,,,,,,,
192.168.100.102,20,19,0.18,54248.802,10,108477,108477,0.00
192.168.100.103,,,,,,,,
192.168.100.104,,,,,,,,
192.168.100.105,,,,,,,,
192.168.100.106,,,,,,,,
192.168.100.107,,,,,,,,
192.168.100.108,,,,,,,,
192.168.100.109,20,13,0.17,60479.292,81391,120521,120521,0.03
