starttime	seconds	ctime	dtime	ttime	wait
Thu Apr 23 17:03:07 2026	1776943987	0	5	5	0
Thu Apr 23 17:03:07 2026	1776943987	0	6	6	0
Thu Apr 23 17:03:06 2026	1776943986	0	6	6	0
Thu Apr 23 17:03:07 2026	1776943987	0	6	6	0
Thu Apr 23 17:03:07 2026	1776943987	0	6	6	0
Thu Apr 23 17:03:06 2026	1776943986	0	8	8	0
Thu Apr 23 17:03:07 2026	1776943987	0	9	9	0
Thu Apr 23 17:03:06 2026	1776943986	5	4	9	0
Thu Apr 23 17:03:06 2026	1776943986	0	9	9	0
Thu Apr 23 17:03:06 2026	1776943986	3	7	9	0
Thu Apr 23 17:03:07 2026	1776943987	3	6	10	0
Thu Apr 23 17:03:07 2026	1776943987	4	6	10	0
Thu Apr 23 17:03:07 2026	1776943987	4	6	10	0
Thu Apr 23 17:03:06 2026	1776943986	4	6	10	0
Thu Apr 23 17:03:07 2026	1776943987	4	6	10	0
Thu Apr 23 17:03:06 2026	1776943986	2	8	10	0
Thu Apr 23 17:03:06 2026	1776943986	4	6	10	0
Thu Apr 23 17:03:06 2026	1776943986	4	6	10	0
Thu Apr 23 17:03:07 2026	1776943987	7	4	10	0
Thu Apr 23 17:03:06 2026	1776943986	3	8	10	0
Thu Apr 23 17:03:06 2026	1776943986	3	7	11	0
Thu Apr 23 17:03:06 2026	1776943986	4	7	11	0
Thu Apr 23 17:03:06 2026	1776943986	3	7	11	0
Thu Apr 23 17:03:07 2026	1776943987	6	5	11	0
Thu Apr 23 17:03:07 2026	1776943987	3	8	11	0
Thu Apr 23 17:03:07 2026	1776943987	3	8	11	0
Thu Apr 23 17:03:06 2026	1776943986	4	8	11	0
Thu Apr 23 17:03:07 2026	1776943987	3	8	11	0
Thu Apr 23 17:03:07 2026	1776943987	3	8	11	0
Thu Apr 23 17:03:07 2026	1776943987	3	8	11	0
Thu Apr 23 17:03:07 2026	1776943987	3	8	11	0
Thu Apr 23 17:03:07 2026	1776943987	6	5	11	0
Thu Apr 23 17:03:07 2026	1776943987	6	5	11	0
Thu Apr 23 17:03:06 2026	1776943986	3	8	11	0
Thu Apr 23 17:03:07 2026	1776943987	7	5	11	0
Thu Apr 23 17:03:07 2026	1776943987	7	5	11	0
Thu Apr 23 17:03:06 2026	1776943986	3	9	11	0
Thu Apr 23 17:03:06 2026	1776943986	3	9	11	0
Thu Apr 23 17:03:06 2026	1776943986	4	7	12	0
Thu Apr 23 17:03:06 2026	1776943986	4	7	12	0
Thu Apr 23 17:03:06 2026	1776943986	4	7	12	0
Thu Apr 23 17:03:06 2026	1776943986	5	7	12	0
Thu Apr 23 17:03:07 2026	1776943987	3	8	12	0
Thu Apr 23 17:03:06 2026	1776943986	3	9	12	0
Thu Apr 23 17:03:06 2026	1776943986	3	9	12	0
Thu Apr 23 17:03:07 2026	1776943987	6	6	12	0
Thu Apr 23 17:03:07 2026	1776943987	0	12	12	0
Thu Apr 23 17:03:06 2026	1776943986	3	9	12	0
Thu Apr 23 17:03:06 2026	1776943986	5	7	12	0
Thu Apr 23 17:03:06 2026	1776943986	3	9	12	0
Thu Apr 23 17:03:06 2026	1776943986	5	7	12	0
Thu Apr 23 17:03:06 2026	1776943986	3	9	12	0
Thu Apr 23 17:03:06 2026	1776943986	3	9	12	0
Thu Apr 23 17:03:06 2026	1776943986	3	9	12	0
Thu Apr 23 17:03:07 2026	1776943987	5	7	12	0
Thu Apr 23 17:03:06 2026	1776943986	3	9	12	0
