Percentage served,Time in ms
0,3.049
1,5.589
2,6.397
3,6.693
4,7.128
5,7.369
6,7.558
7,7.727
8,7.860
9,8.006
10,8.079
11,8.193
12,8.308
13,8.481
14,8.620
15,8.756
16,8.836
17,8.927
18,9.088
19,9.199
20,9.321
21,9.408
22,9.519
23,9.626
24,9.745
25,9.863
26,9.974
27,10.098
28,10.359
29,10.492
30,10.698
31,10.906
32,11.112
33,11.411
34,11.633
35,12.244
36,12.681
37,13.057
38,13.402
39,13.796
40,14.351
41,14.771
42,15.432
43,15.938
44,16.366
45,16.863
46,17.279
47,17.776
48,18.604
49,19.645
50,20.350
51,22.291
52,100.455
53,102.542
54,103.791
55,203.561
56,204.759
57,205.702
58,307.126
59,409.311
60,583.337
61,623.723
62,721.597
63,820.737
64,921.507
65,935.844
66,1028.615
67,1126.610
68,1228.371
69,1299.007
70,1331.435
71,1433.303
72,1533.099
73,1621.301
74,1639.296
75,1740.587
76,1842.751
77,1944.541
78,2047.659
79,2150.237
80,2254.251
81,2457.077
82,2656.164
83,2866.830
84,3072.474
85,3476.073
86,3789.337
87,4097.873
88,4413.438
89,4898.882
90,5221.620
91,5528.465
92,5869.763
93,6349.841
94,6963.121
95,7574.370
96,9010.923
97,10761.378
98,15564.689
99,19454.433
100,23339.290
