starttime	seconds	ctime	dtime	ttime	wait
Thu Apr 23 17:05:39 2026	1776944139	0	2	2	0
Thu Apr 23 17:05:39 2026	1776944139	2	2	4	0
Thu Apr 23 17:05:40 2026	1776944140	2	2	4	0
Thu Apr 23 17:05:40 2026	1776944140	2	2	4	0
Thu Apr 23 17:05:40 2026	1776944140	2	2	4	0
Thu Apr 23 17:05:40 2026	1776944140	2	2	4	0
Thu Apr 23 17:05:39 2026	1776944139	2	2	4	0
Thu Apr 23 17:05:39 2026	1776944139	2	2	4	0
Thu Apr 23 17:05:39 2026	1776944139	0	41	41	41
Thu Apr 23 17:05:39 2026	1776944139	5	171	176	171
Thu Apr 23 17:05:39 2026	1776944139	0	23641	23641	23640
Thu Apr 23 17:05:39 2026	1776944139	5	24271	24276	24271
Thu Apr 23 17:05:39 2026	1776944139	5	24501	24506	24501
Thu Apr 23 17:05:39 2026	1776944139	5	24537	24542	24537
Thu Apr 23 17:05:39 2026	1776944139	5	24951	24956	24951
Thu Apr 23 17:05:39 2026	1776944139	5	24958	24962	24958
Thu Apr 23 17:05:39 2026	1776944139	5	27138	27143	27138
Thu Apr 23 17:05:39 2026	1776944139	5	27645	27650	27645
Thu Apr 23 17:05:39 2026	1776944139	4	28167	28172	28167
Thu Apr 23 17:05:04 2026	1776944104	3	35677	35680	35675
