Percentage served,Time in ms
0,284.543
1,284.543
2,284.543
3,4117.634
4,4117.634
5,4117.634
6,4117.634
7,4117.634
8,23660.800
9,23660.800
10,23660.800
11,23660.800
12,23660.800
13,24188.175
14,24188.175
15,24188.175
16,24188.175
17,24188.175
18,24235.533
19,24235.533
20,24235.533
21,24235.533
22,24235.533
23,24814.011
24,24814.011
25,24814.011
26,24814.011
27,24814.011
28,24815.145
29,24815.145
30,24815.145
31,24815.145
32,24815.145
33,24862.423
34,24862.423
35,24862.423
36,24862.423
37,24862.423
38,24875.805
39,24875.805
40,24875.805
41,24875.805
42,24875.805
43,25154.840
44,25154.840
45,25154.840
46,25154.840
47,25154.840
48,25260.161
49,25260.161
50,25260.161
51,25260.161
52,25260.161
53,25779.127
54,25779.127
55,25779.127
56,25779.127
57,25779.127
58,26541.982
59,26541.982
60,26541.982
61,26541.982
62,26541.982
63,26861.385
64,26861.385
65,26861.385
66,26861.385
67,26861.385
68,27120.144
69,27120.144
70,27120.144
71,27120.144
72,27120.144
73,27907.357
74,27907.357
75,27907.357
76,27907.357
77,27907.357
78,28484.988
79,28484.988
80,28484.988
81,28484.988
82,28484.988
83,29956.682
84,29956.682
85,29956.682
86,29956.682
87,29956.682
88,47492.022
89,47492.022
90,47492.022
91,47492.022
92,47492.022
93,51629.195
94,51629.195
95,51629.195
96,51629.195
97,51629.195
98,0.257
99,0.257
100,51629.195
