starttime	seconds	ctime	dtime	ttime	wait
Thu Apr 23 11:17:08 2026	1776923228	0	6	6	0
Thu Apr 23 11:17:07 2026	1776923227	3	3	6	0
Thu Apr 23 11:17:08 2026	1776923228	0	6	6	0
Thu Apr 23 11:17:07 2026	1776923227	3	4	7	0
Thu Apr 23 11:17:07 2026	1776923227	3	4	7	0
Thu Apr 23 11:17:07 2026	1776923227	3	4	7	0
Thu Apr 23 11:17:07 2026	1776923227	3	4	7	0
Thu Apr 23 11:17:07 2026	1776923227	3	4	7	0
Thu Apr 23 11:17:07 2026	1776923227	3	4	7	0
Thu Apr 23 11:17:07 2026	1776923227	3	4	7	0
Thu Apr 23 11:17:07 2026	1776923227	2	5	8	0
Thu Apr 23 11:17:07 2026	1776923227	3	5	8	0
Thu Apr 23 11:17:07 2026	1776923227	4	4	8	0
Thu Apr 23 11:17:07 2026	1776923227	3	5	8	0
Thu Apr 23 11:17:07 2026	1776923227	4	4	8	0
Thu Apr 23 11:17:07 2026	1776923227	4	4	8	0
Thu Apr 23 11:17:07 2026	1776923227	4	4	8	0
Thu Apr 23 11:17:07 2026	1776923227	3	5	8	0
Thu Apr 23 11:17:07 2026	1776923227	4	4	8	0
Thu Apr 23 11:17:07 2026	1776923227	3	5	8	0
Thu Apr 23 11:17:07 2026	1776923227	3	5	8	0
Thu Apr 23 11:17:07 2026	1776923227	3	5	8	0
Thu Apr 23 11:17:07 2026	1776923227	4	5	8	0
Thu Apr 23 11:17:07 2026	1776923227	4	4	8	0
Thu Apr 23 11:17:07 2026	1776923227	4	5	8	0
Thu Apr 23 11:17:07 2026	1776923227	3	5	8	0
Thu Apr 23 11:17:07 2026	1776923227	4	5	8	0
Thu Apr 23 11:17:07 2026	1776923227	3	5	8	0
Thu Apr 23 11:17:07 2026	1776923227	4	4	8	0
Thu Apr 23 11:17:07 2026	1776923227	3	5	8	0
Thu Apr 23 11:17:07 2026	1776923227	5	4	8	0
Thu Apr 23 11:17:07 2026	1776923227	3	5	8	0
Thu Apr 23 11:17:07 2026	1776923227	3	5	8	0
Thu Apr 23 11:17:07 2026	1776923227	3	5	8	0
Thu Apr 23 11:17:07 2026	1776923227	3	5	8	0
Thu Apr 23 11:17:07 2026	1776923227	4	4	8	0
Thu Apr 23 11:17:07 2026	1776923227	3	6	8	0
Thu Apr 23 11:17:07 2026	1776923227	2	6	8	0
Thu Apr 23 11:17:07 2026	1776923227	3	6	8	0
Thu Apr 23 11:17:07 2026	1776923227	4	5	8	0
Thu Apr 23 11:17:07 2026	1776923227	3	6	8	0
Thu Apr 23 11:17:07 2026	1776923227	3	6	8	0
Thu Apr 23 11:17:07 2026	1776923227	5	4	9	0
Thu Apr 23 11:17:08 2026	1776923228	5	4	9	0
