Percentage served,Time in ms
0,6.943
1,22.304
2,25.416
3,27.056
4,28.389
5,29.119
6,30.063
7,30.444
8,30.935
9,31.503
10,32.175
11,32.508
12,32.912
13,33.584
14,33.822
15,34.881
16,35.600
17,35.870
18,36.421
19,37.013
20,37.961
21,39.102
22,40.275
23,40.766
24,41.759
25,42.204
26,44.040
27,45.021
28,46.773
29,48.844
30,56.264
31,67.928
32,69.977
33,71.826
34,72.935
35,73.659
36,75.113
37,76.669
38,79.043
39,80.566
40,81.843
41,83.243
42,84.425
43,85.250
44,86.095
45,86.703
46,87.217
47,88.198
48,88.536
49,89.236
50,89.858
51,90.849
52,91.554
53,92.470
54,93.309
55,94.943
56,95.692
57,97.174
58,98.815
59,101.239
60,108.666
61,232.998
62,235.437
63,236.230
64,237.082
65,238.062
66,246.244
67,258.790
68,273.281
69,286.072
70,301.337
71,312.273
72,322.377
73,332.558
74,346.257
75,354.958
76,361.687
77,379.741
78,390.052
79,401.142
80,420.824
81,430.510
82,430.551
83,430.571
84,430.670
85,447.650
86,642.501
87,647.670
88,648.858
89,649.812
90,651.342
91,652.698
92,654.188
93,655.503
94,656.938
95,658.088
96,659.816
97,1123.984
98,1136.660
99,3624.283
100,17680.985
