starttime	seconds	ctime	dtime	ttime	wait
Thu Apr 23 11:27:57 2026	1776923877	0	368	368	367
Thu Apr 23 11:27:57 2026	1776923877	0	412	412	412
Thu Apr 23 11:27:57 2026	1776923877	0	412	412	412
Thu Apr 23 11:27:57 2026	1776923877	0	413	413	413
Thu Apr 23 11:27:57 2026	1776923877	0	468	468	467
Thu Apr 23 11:27:57 2026	1776923877	0	471	471	471
Thu Apr 23 11:27:57 2026	1776923877	0	471	471	471
Thu Apr 23 11:27:57 2026	1776923877	0	510	510	510
Thu Apr 23 11:27:57 2026	1776923877	5	505	510	505
Thu Apr 23 11:27:57 2026	1776923877	5	506	510	506
Thu Apr 23 11:27:57 2026	1776923877	4	507	511	507
Thu Apr 23 11:27:57 2026	1776923877	4	507	511	507
Thu Apr 23 11:27:57 2026	1776923877	4	508	512	508
Thu Apr 23 11:27:57 2026	1776923877	0	526	526	526
Thu Apr 23 11:27:57 2026	1776923877	0	529	529	529
Thu Apr 23 11:27:57 2026	1776923877	5	708	713	708
Thu Apr 23 11:27:57 2026	1776923877	5	708	713	708
Thu Apr 23 11:27:57 2026	1776923877	4	709	713	709
Thu Apr 23 11:27:57 2026	1776923877	5	712	717	712
Thu Apr 23 11:26:05 2026	1776923765	6	111492	111498	111490
