Percentage served,Time in ms
0,99.327
1,99.327
2,99.327
3,103.781
4,103.781
5,103.781
6,103.781
7,103.781
8,183.798
9,183.798
10,183.798
11,183.798
12,183.798
13,195.993
14,195.993
15,195.993
16,195.993
17,195.993
18,200.531
19,200.531
20,200.531
21,200.531
22,200.531
23,202.460
24,202.460
25,202.460
26,202.460
27,202.460
28,204.844
29,204.844
30,204.844
31,204.844
32,204.844
33,205.019
34,205.019
35,205.019
36,205.019
37,205.019
38,205.153
39,205.153
40,205.153
41,205.153
42,205.153
43,205.434
44,205.434
45,205.434
46,205.434
47,205.434
48,210.361
49,210.361
50,210.361
51,210.361
52,210.361
53,235.649
54,235.649
55,235.649
56,235.649
57,235.649
58,250.334
59,250.334
60,250.334
61,250.334
62,250.334
63,250.913
64,250.913
65,250.913
66,250.913
67,250.913
68,252.623
69,252.623
70,252.623
71,252.623
72,252.623
73,258.781
74,258.781
75,258.781
76,258.781
77,258.781
78,261.191
79,261.191
80,261.191
81,261.191
82,261.191
83,297.093
84,297.093
85,297.093
86,297.093
87,297.093
88,299.938
89,299.938
90,299.938
91,299.938
92,299.938
93,105417.295
94,105417.295
95,105417.295
96,105417.295
97,105417.295
98,0.257
99,0.257
100,105417.295
