starttime	seconds	ctime	dtime	ttime	wait
Thu Apr 23 10:45:05 2026	1776921305	4	9	14	0
Thu Apr 23 10:45:06 2026	1776921306	3	11	14	0
Thu Apr 23 10:45:06 2026	1776921306	0	15	15	0
Thu Apr 23 10:45:06 2026	1776921306	0	15	15	0
Thu Apr 23 10:45:05 2026	1776921305	8	8	16	0
Thu Apr 23 10:45:05 2026	1776921305	8	8	16	0
Thu Apr 23 10:45:06 2026	1776921306	4	12	16	0
Thu Apr 23 10:45:06 2026	1776921306	4	12	16	0
Thu Apr 23 10:45:06 2026	1776921306	4	12	16	0
Thu Apr 23 10:45:05 2026	1776921305	6	10	16	0
Thu Apr 23 10:45:06 2026	1776921306	4	12	16	0
Thu Apr 23 10:45:06 2026	1776921306	4	12	16	0
Thu Apr 23 10:45:06 2026	1776921306	4	12	16	0
Thu Apr 23 10:45:06 2026	1776921306	4	12	16	0
Thu Apr 23 10:45:06 2026	1776921306	4	12	16	0
Thu Apr 23 10:45:06 2026	1776921306	4	12	16	0
Thu Apr 23 10:45:06 2026	1776921306	4	12	16	0
Thu Apr 23 10:45:05 2026	1776921305	8	9	16	0
Thu Apr 23 10:45:05 2026	1776921305	8	9	16	0
Thu Apr 23 10:45:05 2026	1776921305	8	9	16	0
Thu Apr 23 10:45:05 2026	1776921305	8	9	16	0
Thu Apr 23 10:45:05 2026	1776921305	8	9	17	0
Thu Apr 23 10:45:05 2026	1776921305	8	9	17	0
Thu Apr 23 10:45:05 2026	1776921305	11	6	17	0
Thu Apr 23 10:45:05 2026	1776921305	11	6	17	0
Thu Apr 23 10:45:05 2026	1776921305	7	10	17	0
Thu Apr 23 10:45:05 2026	1776921305	11	6	17	0
Thu Apr 23 10:45:05 2026	1776921305	8	10	17	0
Thu Apr 23 10:45:06 2026	1776921306	0	18	18	0
Thu Apr 23 10:45:05 2026	1776921305	8	10	18	0
Thu Apr 23 10:45:05 2026	1776921305	3	14	18	0
Thu Apr 23 10:45:05 2026	1776921305	7	10	18	0
Thu Apr 23 10:45:05 2026	1776921305	7	10	18	0
Thu Apr 23 10:45:05 2026	1776921305	7	10	18	0
Thu Apr 23 10:45:05 2026	1776921305	12	6	18	0
Thu Apr 23 10:45:05 2026	1776921305	5	13	18	0
Thu Apr 23 10:45:05 2026	1776921305	5	13	18	0
Thu Apr 23 10:45:05 2026	1776921305	5	13	18	0
Thu Apr 23 10:45:05 2026	1776921305	7	11	18	0
Thu Apr 23 10:45:05 2026	1776921305	7	11	18	0
Thu Apr 23 10:45:05 2026	1776921305	10	8	18	0
Thu Apr 23 10:45:06 2026	1776921306	4	14	18	0
Thu Apr 23 10:45:06 2026	1776921306	5	14	18	0
Thu Apr 23 10:45:05 2026	1776921305	6	12	18	0
Thu Apr 23 10:45:05 2026	1776921305	6	12	18	0
Thu Apr 23 10:45:05 2026	1776921305	6	12	18	0
Thu Apr 23 10:45:05 2026	1776921305	6	12	18	0
Thu Apr 23 10:45:05 2026	1776921305	7	12	18	0
Thu Apr 23 10:45:05 2026	1776921305	6	13	19	0
Thu Apr 23 10:45:05 2026	1776921305	6	13	19	0
Thu Apr 23 10:45:05 2026	1776921305	6	13	19	0
Thu Apr 23 10:45:05 2026	1776921305	5	14	19	0
Thu Apr 23 10:45:05 2026	1776921305	6	13	19	0
Thu Apr 23 10:45:05 2026	1776921305	7	12	19	0
Thu Apr 23 10:45:05 2026	1776921305	7	12	19	0
Thu Apr 23 10:45:05 2026	1776921305	4	15	19	0
Thu Apr 23 10:45:05 2026	1776921305	7	12	19	0
Thu Apr 23 10:45:05 2026	1776921305	7	12	19	0
Thu Apr 23 10:45:05 2026	1776921305	5	14	19	0
Thu Apr 23 10:45:06 2026	1776921306	0	19	19	0
