Percentage served,Time in ms
0,4.857
1,10.623
2,11.273
3,11.756
4,12.028
5,12.270
6,12.439
7,12.569
8,12.821
9,12.981
10,13.293
11,13.461
12,13.639
13,13.791
14,14.013
15,14.169
16,14.343
17,14.513
18,14.797
19,14.948
20,15.064
21,15.195
22,15.415
23,15.686
24,15.914
25,16.115
26,16.376
27,16.719
28,16.903
29,17.220
30,17.470
31,17.824
32,18.201
33,18.845
34,19.059
35,19.237
36,19.630
37,20.272
38,20.730
39,21.727
40,22.551
41,22.891
42,23.394
43,23.890
44,24.410
45,24.691
46,25.151
47,25.680
48,25.886
49,26.168
50,26.420
51,26.728
52,27.217
53,27.561
54,27.877
55,28.292
56,28.601
57,28.895
58,29.056
59,29.455
60,29.786
61,30.017
62,30.313
63,30.662
64,30.975
65,31.321
66,31.569
67,31.805
68,32.036
69,32.386
70,32.781
71,33.091
72,33.412
73,33.719
74,34.027
75,34.388
76,34.784
77,35.268
78,35.512
79,35.795
80,35.995
81,36.496
82,36.785
83,37.210
84,37.594
85,38.024
86,38.558
87,39.021
88,39.388
89,40.063
90,40.944
91,41.678
92,42.920
93,44.666
94,47.566
95,52.864
96,82.868
97,100.218
98,105.229
99,982.900
100,120116.102
