starttime	seconds	ctime	dtime	ttime	wait
Thu Apr 23 11:07:17 2026	1776922637	0	233	233	233
Thu Apr 23 11:07:17 2026	1776922637	0	323	323	323
Thu Apr 23 11:07:17 2026	1776922637	0	440	440	440
Thu Apr 23 11:07:17 2026	1776922637	0	546	546	546
Thu Apr 23 11:07:16 2026	1776922636	0	629	629	629
Thu Apr 23 11:07:17 2026	1776922637	0	659	659	658
Thu Apr 23 11:07:15 2026	1776922635	5	655	659	654
Thu Apr 23 11:07:17 2026	1776922637	0	752	752	751
Thu Apr 23 11:07:16 2026	1776922636	0	959	959	959
Thu Apr 23 11:07:15 2026	1776922635	5	1100	1104	1100
Thu Apr 23 11:07:15 2026	1776922635	9	1199	1207	1198
Thu Apr 23 11:07:15 2026	1776922635	9	1211	1220	1211
Thu Apr 23 11:07:15 2026	1776922635	6	1267	1273	1267
Thu Apr 23 11:07:15 2026	1776922635	5	1323	1328	1323
Thu Apr 23 11:07:15 2026	1776922635	5	1374	1379	1374
Thu Apr 23 11:07:17 2026	1776922637	0	1430	1430	1430
Thu Apr 23 11:07:15 2026	1776922635	9	1470	1479	1470
Thu Apr 23 11:07:15 2026	1776922635	0	3235	3235	3235
Thu Apr 23 11:07:15 2026	1776922635	9	3445	3454	3445
Thu Apr 23 11:06:05 2026	1776922565	60	69836	69896	69835
