Percentage served,Time in ms
0,71.992
1,71.992
2,71.992
3,119.808
4,119.808
5,119.808
6,119.808
7,119.808
8,123.951
9,123.951
10,123.951
11,123.951
12,123.951
13,244.451
14,244.451
15,244.451
16,244.451
17,244.451
18,261.320
19,261.320
20,261.320
21,261.320
22,261.320
23,280.050
24,280.050
25,280.050
26,280.050
27,280.050
28,508.939
29,508.939
30,508.939
31,508.939
32,508.939
33,682.429
34,682.429
35,682.429
36,682.429
37,682.429
38,756.559
39,756.559
40,756.559
41,756.559
42,756.559
43,855.325
44,855.325
45,855.325
46,855.325
47,855.325
48,42247.989
49,42247.989
50,42247.989
51,42247.989
52,42247.989
53,88316.162
54,88316.162
55,88316.162
56,88316.162
57,88316.162
58,88415.568
59,88415.568
60,88415.568
61,88415.568
62,88415.568
63,89749.974
64,89749.974
65,89749.974
66,89749.974
67,89749.974
68,94360.659
69,94360.659
70,94360.659
71,94360.659
72,94360.659
73,94366.586
74,94366.586
75,94366.586
76,94366.586
77,94366.586
78,94646.523
79,94646.523
80,94646.523
81,94646.523
82,94646.523
83,94866.958
84,94866.958
85,94866.958
86,94866.958
87,94866.958
88,95687.354
89,95687.354
90,95687.354
91,95687.354
92,95687.354
93,100192.277
94,100192.277
95,100192.277
96,100192.277
97,100192.277
98,0.257
99,0.257
100,100192.277
