source_ip,requests_completed,failed_requests,rps,mean_latency_ms,p50_ms,p95_ms,p99_ms,transfer_rate_kbps
192.168.100.10,20,0,0.11,92873.060,214,119080,119080,0.03
192.168.100.11,20,19,0.44,22787.360,969,43376,43376,0.10
192.168.100.12,20,0,0.24,41531.890,247,50558,50558,0.06
192.168.100.13,20,2,0.19,52229.596,25744,69329,69329,0.04
192.168.100.14,20,0,0.13,78088.269,203,86205,86205,0.03
192.168.100.15,20,0,0.17,57376.999,53845,75535,75535,0.04
192.168.100.16,20,0,0.19,51919.568,25725,69038,69038,0.05
192.168.100.17,20,0,0.22,46500.654,378,92245,92245,0.05
192.168.100.18,20,0,0.09,115920.554,78205,190187,190187,0.02
192.168.100.19,20,0,0.13,79671.531,57650,76158,76158,0.03
192.168.100.20,20,4,0.12,80594.914,8685,126575,126575,0.03
192.168.100.21,20,0,0.16,60701.834,77664,81031,81031,0.04
192.168.100.22,20,1,0.71,14119.429,169,27865,27865,0.16
192.168.100.23,20,0,0.24,41678.115,22316,49072,49072,0.06
192.168.100.24,20,0,0.27,36874.764,789,70071,70071,0.06
192.168.100.25,20,1,0.17,57988.423,205,90199,90199,0.04
192.168.100.26,20,2,0.11,87496.736,26667,138550,138550,0.03
192.168.100.27,20,0,0.25,39259.813,207,77704,77704,0.06
192.168.100.28,20,0,0.12,81610.473,11641,94934,94934,0.03
192.168.100.29,20,0,0.17,58771.330,74036,76588,76588,0.04
192.168.100.30,20,0,0.19,53921.302,412,106990,106990,0.04
192.168.100.31,20,1,0.46,21704.201,252,29547,29547,0.11
192.168.100.32,20,1,0.12,80128.171,79287,83168,83168,0.03
192.168.100.33,20,0,0.11,92872.115,754,118184,118184,0.03
192.168.100.34,20,1,0.21,46525.051,430,92193,92193,0.05
192.168.100.35,20,0,0.10,95420.334,123,120271,120271,0.02
192.168.100.36,20,0,0.11,92352.815,533,118045,118045,0.03
192.168.100.37,,,,,,,,
192.168.100.38,,,,,,,,
192.168.100.39,20,0,0.11,93888.310,247,119518,119518,0.03
192.168.100.40,20,0,0.11,93381.905,172,116204,116204,0.03
192.168.100.41,,,,,,,,
192.168.100.42,20,0,0.65,15268.971,225,29537,29537,0.16
192.168.100.43,,,,,,,,
192.168.100.44,20,1,0.68,14736.227,162,28790,28790,0.15
192.168.100.45,,,,,,,,
192.168.100.46,,,,,,,,
