Percentage served,Time in ms
0,5.532
1,65.205
2,76.669
3,99.922
4,108.972
5,116.317
6,121.871
7,122.825
8,125.415
9,131.132
10,139.257
11,144.180
12,151.788
13,157.727
14,162.553
15,168.062
16,171.467
17,172.572
18,177.903
19,182.668
20,186.780
21,191.440
22,193.369
23,196.689
24,201.436
25,209.822
26,214.735
27,223.906
28,227.012
29,228.414
30,230.004
31,231.285
32,232.242
33,233.513
34,235.063
35,235.745
36,237.576
37,244.120
38,250.277
39,275.965
40,280.816
41,283.322
42,292.635
43,301.849
44,303.592
45,304.360
46,306.614
47,307.370
48,309.793
49,310.776
50,374.275
51,494.748
52,497.396
53,503.151
54,504.256
55,505.729
56,506.220
57,506.523
58,506.744
59,507.122
60,507.372
61,1139.782
62,1150.694
63,1162.796
64,1169.182
65,1183.771
66,1189.078
67,1196.213
68,1203.888
69,1210.269
70,1217.872
71,1229.048
72,1234.277
73,1241.147
74,1247.496
75,1256.204
76,1260.919
77,1268.227
78,1273.485
79,1278.886
80,1285.767
81,1292.420
82,1297.260
83,1303.757
84,1312.722
85,1320.407
86,1326.961
87,1332.710
88,1339.790
89,1346.347
90,1351.925
91,1360.354
92,1368.240
93,1375.367
94,1389.886
95,1393.554
96,1403.763
97,1410.623
98,1419.663
99,2756.043
100,5834.340
