starttime	seconds	ctime	dtime	ttime	wait
Thu Apr 23 16:46:05 2026	1776942965	0	6	6	0
Thu Apr 23 16:46:05 2026	1776942965	0	6	6	0
Thu Apr 23 16:46:05 2026	1776942965	0	6	6	0
Thu Apr 23 16:46:05 2026	1776942965	0	7	7	0
Thu Apr 23 16:46:05 2026	1776942965	0	8	8	0
Thu Apr 23 16:46:05 2026	1776942965	0	11	11	0
Thu Apr 23 16:46:05 2026	1776942965	0	13	13	0
Thu Apr 23 16:46:04 2026	1776942964	0	42	42	0
Thu Apr 23 16:46:04 2026	1776942964	34	28	62	0
Thu Apr 23 16:46:04 2026	1776942964	34	28	62	0
Thu Apr 23 16:46:04 2026	1776942964	32	32	64	0
Thu Apr 23 16:46:04 2026	1776942964	32	32	64	0
Thu Apr 23 16:46:04 2026	1776942964	31	33	64	0
Thu Apr 23 16:46:04 2026	1776942964	31	33	64	0
Thu Apr 23 16:46:04 2026	1776942964	32	32	64	0
Thu Apr 23 16:46:04 2026	1776942964	32	33	64	0
Thu Apr 23 16:46:04 2026	1776942964	32	33	64	0
Thu Apr 23 16:46:04 2026	1776942964	32	33	64	0
Thu Apr 23 16:46:04 2026	1776942964	32	33	64	0
Thu Apr 23 16:46:04 2026	1776942964	33	32	65	0
Thu Apr 23 16:46:04 2026	1776942964	33	32	65	0
Thu Apr 23 16:46:04 2026	1776942964	33	32	65	0
Thu Apr 23 16:46:04 2026	1776942964	33	32	65	0
Thu Apr 23 16:46:04 2026	1776942964	34	32	66	0
Thu Apr 23 16:46:04 2026	1776942964	34	32	66	0
Thu Apr 23 16:46:04 2026	1776942964	34	32	66	0
Thu Apr 23 16:46:04 2026	1776942964	34	32	66	0
Thu Apr 23 16:46:04 2026	1776942964	31	38	70	0
Thu Apr 23 16:46:04 2026	1776942964	31	41	72	0
Thu Apr 23 16:46:04 2026	1776942964	32	41	72	0
Thu Apr 23 16:46:04 2026	1776942964	32	41	72	0
Thu Apr 23 16:46:04 2026	1776942964	31	42	72	0
