starttime	seconds	ctime	dtime	ttime	wait
Thu Apr 23 16:49:18 2026	1776943158	0	186	186	0
Thu Apr 23 16:50:34 2026	1776943234	0	205	205	205
Thu Apr 23 16:49:18 2026	1776943158	4	1007	1010	1007
Thu Apr 23 16:49:18 2026	1776943158	4	1007	1010	1007
Thu Apr 23 16:49:18 2026	1776943158	4	1007	1010	1007
Thu Apr 23 16:49:18 2026	1776943158	4	1007	1011	1007
Thu Apr 23 16:49:04 2026	1776943144	4	13711	13715	13710
Thu Apr 23 16:49:18 2026	1776943158	3	31028	31032	31028
Thu Apr 23 16:49:18 2026	1776943158	3	31718	31721	31717
Thu Apr 23 16:49:18 2026	1776943158	4	32127	32131	32127
Thu Apr 23 16:49:50 2026	1776943190	0	46592	46592	46592
Thu Apr 23 16:49:49 2026	1776943189	0	65433	65433	65433
Thu Apr 23 16:49:49 2026	1776943189	0	67147	67147	67146
Thu Apr 23 16:49:19 2026	1776943159	0	75663	75663	75663
Thu Apr 23 16:49:18 2026	1776943158	3	75973	75975	75972
Thu Apr 23 16:49:19 2026	1776943159	0	76176	76176	76176
Thu Apr 23 16:49:18 2026	1776943158	4	87422	87426	87422
Thu Apr 23 16:49:18 2026	1776943158	4	88446	88450	88446
Thu Apr 23 16:49:19 2026	1776943159	0	93583	93583	93583
Thu Apr 23 16:49:19 2026	1776943159	0	93583	93583	93583
