Percentage served,Time in ms
0,16.544
1,16.544
2,16.544
3,31.282
4,31.282
5,31.282
6,31.282
7,31.282
8,36.083
9,36.083
10,36.083
11,36.083
12,36.083
13,40.536
14,40.536
15,40.536
16,40.536
17,40.536
18,63.734
19,63.734
20,63.734
21,63.734
22,63.734
23,124.820
24,124.820
25,124.820
26,124.820
27,124.820
28,198.065
29,198.065
30,198.065
31,198.065
32,198.065
33,229.644
34,229.644
35,229.644
36,229.644
37,229.644
38,334.347
39,334.347
40,334.347
41,334.347
42,334.347
43,643.104
44,643.104
45,643.104
46,643.104
47,643.104
48,714.048
49,714.048
50,714.048
51,714.048
52,714.048
53,747.976
54,747.976
55,747.976
56,747.976
57,747.976
58,748.339
59,748.339
60,748.339
61,748.339
62,748.339
63,748.897
64,748.897
65,748.897
66,748.897
67,748.897
68,800.823
69,800.823
70,800.823
71,800.823
72,800.823
73,800.957
74,800.957
75,800.957
76,800.957
77,800.957
78,6113.798
79,6113.798
80,6113.798
81,6113.798
82,6113.798
83,26977.329
84,26977.329
85,26977.329
86,26977.329
87,26977.329
88,28693.183
89,28693.183
90,28693.183
91,28693.183
92,28693.183
93,69336.317
94,69336.317
95,69336.317
96,69336.317
97,69336.317
98,0.257
99,0.257
100,69336.317
