source_ip,requests_completed,failed_requests,rps,mean_latency_ms,p50_ms,p95_ms,p99_ms,transfer_rate_kbps
192.168.100.10,20,2,0.35,28232.921,1552,52658,52658,0.07
192.168.100.11,20,13,0.16,62616.003,4053,120026,120026,0.03
192.168.100.12,,,,,,,,
192.168.100.13,,,,,,,,
192.168.100.14,,,,,,,,
192.168.100.15,,,,,,,,
192.168.100.16,20,7,0.11,89616.461,1524,172660,172660,0.02
192.168.100.17,,,,,,,,
192.168.100.18,20,6,0.34,29266.479,1496,55023,55023,0.06
192.168.100.19,,,,,,,,
192.168.100.20,,,,,,,,
192.168.100.21,,,,,,,,
192.168.100.22,20,1,0.10,102399.867,86011,114693,114693,0.02
192.168.100.23,,,,,,,,
192.168.100.24,,,,,,,,
192.168.100.25,,,,,,,,
192.168.100.26,,,,,,,,
192.168.100.27,20,1,0.10,100352.921,81917,114689,114689,0.02
192.168.100.28,,,,,,,,
192.168.100.29,,,,,,,,
192.168.100.30,20,0,0.10,100368.323,81920,114718,114718,0.02
192.168.100.31,,,,,,,,
192.168.100.32,,,,,,,,
192.168.100.33,20,0,0.10,100358.271,81917,114700,114700,0.02
192.168.100.34,,,,,,,,
192.168.100.35,20,1,0.10,100352.554,81920,114685,114685,0.02
192.168.100.36,,,,,,,,
192.168.100.37,,,,,,,,
192.168.100.38,,,,,,,,
192.168.100.39,,,,,,,,
192.168.100.40,,,,,,,,
192.168.100.41,,,,,,,,
192.168.100.42,,,,,,,,
192.168.100.43,,,,,,,,
192.168.100.44,20,9,0.16,62152.184,1405,120025,120025,0.03
192.168.100.45,,,,,,,,
192.168.100.46,,,,,,,,
192.168.100.47,20,3,0.34,29654.612,1590,55280,55280,0.06
192.168.100.48,20,10,0.13,77014.542,1190,120006,120006,0.02
192.168.100.49,,,,,,,,
192.168.100.50,,,,,,,,
192.168.100.51,,,,,,,,
192.168.100.52,,,,,,,,
192.168.100.53,,,,,,,,
192.168.100.54,20,4,0.16,60743.272,3278,114691,114691,0.03
192.168.100.55,20,3,0.10,100361.689,81917,114710,114710,0.02
192.168.100.56,,,,,,,,
192.168.100.57,20,16,0.51,19547.838,145,32006,32006,0.08
192.168.100.58,,,,,,,,
192.168.100.59,20,18,0.34,29794.305,1234,55558,55558,0.06
192.168.100.60,20,17,0.60,16635.924,140,27576,27576,0.10
192.168.100.61,20,16,0.35,28960.266,1086,48780,48780,0.06
192.168.100.62,20,16,0.26,39108.666,13848,64937,64937,0.05
192.168.100.63,20,16,0.27,37724.739,714,69336,69336,0.04
192.168.100.64,20,15,0.42,23904.243,1278,39255,39255,0.07
192.168.100.65,,,,,,,,
192.168.100.66,20,4,0.34,29785.487,1134,57963,57963,0.06
192.168.100.67,,,,,,,,
192.168.100.68,20,12,0.40,25037.252,1591,37450,37450,0.08
192.168.100.69,,,,,,,,
192.168.100.70,,,,,,,,
192.168.100.71,20,2,0.46,21642.430,1040,42903,42903,0.09
192.168.100.72,20,4,0.45,22362.585,1173,43077,43077,0.09
192.168.100.73,20,17,0.28,35360.296,293,65501,65501,0.05
192.168.100.74,,,,,,,,
192.168.100.75,20,15,0.29,34692.881,354,63089,63089,0.05
192.168.100.76,20,15,0.56,18008.818,325,29695,29695,0.11
192.168.100.77,20,5,0.18,54656.296,41180,92820,92820,0.04
192.168.100.78,20,6,0.54,18410.432,974,28149,28149,0.09
192.168.100.79,20,6,0.47,21124.804,416,34871,34871,0.09
192.168.100.80,,,,,,,,
192.168.100.81,20,5,0.49,20302.209,913,33022,33022,0.08
192.168.100.82,20,6,0.47,21122.416,451,34573,34573,0.08
192.168.100.83,20,6,3.26,3070.638,211,5472,5472,0.44
192.168.100.84,20,16,0.11,89937.935,1074,164812,164812,0.01
192.168.100.85,20,7,0.11,89936.189,41445,160938,160938,0.02
192.168.100.86,20,4,0.25,40024.311,41213,58500,58500,0.05
192.168.100.87,20,3,0.19,53887.338,41396,82957,82957,0.04
192.168.100.88,20,5,0.40,24851.389,840,41381,41381,0.07
192.168.100.89,20,1,1.98,5062.445,1072,7700,7700,0.36
192.168.100.90,,,,,,,,
192.168.100.91,,,,,,,,
192.168.100.92,,,,,,,,
192.168.100.93,,,,,,,,
192.168.100.94,,,,,,,,
192.168.100.95,20,5,0.18,55946.332,46592,93583,93583,0.04
192.168.100.96,20,1,0.25,39505.893,40270,53964,53964,0.06
192.168.100.97,,,,,,,,
192.168.100.98,20,4,0.12,85474.522,41460,106596,106596,0.02
192.168.100.99,,,,,,,,
192.168.100.100,20,9,0.20,49787.898,864,92066,92066,0.04
192.168.100.101,20,5,0.27,36372.472,408,65324,65324,0.05
192.168.100.102,20,15,0.12,82552.701,965,113356,113356,0.02
192.168.100.103,,,,,,,,
192.168.100.104,,,,,,,,
192.168.100.105,,,,,,,,
192.168.100.106,20,3,0.37,27229.540,1377,52329,52329,0.07
192.168.100.107,,,,,,,,
192.168.100.108,,,,,,,,
192.168.100.109,20,18,0.43,23339.612,906,36805,36805,0.06
