Percentage served,Time in ms
0,3.033
1,14.122
2,27.878
3,93.269
4,101.854
5,102.243
6,102.666
7,103.134
8,103.730
9,113.354
10,185.529
11,204.005
12,204.729
13,205.055
14,205.729
15,300.968
16,307.658
17,387.921
18,409.262
19,413.877
20,500.278
21,511.126
22,511.909
23,512.638
24,520.041
25,612.783
26,614.289
27,615.036
28,615.864
29,656.316
30,713.322
31,716.170
32,716.715
33,717.044
34,718.408
35,730.592
36,817.205
37,818.763
38,819.325
39,820.166
40,824.657
41,905.699
42,920.269
43,921.215
44,921.571
45,922.113
46,923.544
47,949.200
48,1021.628
49,1023.293
50,1023.981
51,1025.038
52,1116.425
53,1125.916
54,1126.787
55,1136.501
56,1225.586
57,1229.056
58,1231.630
59,1320.584
60,1330.527
61,1331.369
62,1426.596
63,1433.497
64,1446.346
65,1534.846
66,1536.501
67,1609.618
68,1661.455
69,1740.890
70,1830.812
71,1845.229
72,1947.307
73,2047.852
74,2150.980
75,2264.614
76,2457.867
77,2662.346
78,2895.764
79,3257.564
80,3581.787
81,4025.227
82,4607.025
83,5220.403
84,6760.389
85,9116.096
86,12492.822
87,15103.393
88,16281.679
89,16896.503
90,17920.466
91,18739.403
92,19145.724
93,19556.652
94,20062.007
95,20675.609
96,21199.958
97,21813.285
98,23142.026
99,24576.757
100,27136.801
