starttime	seconds	ctime	dtime	ttime	wait
Thu Apr 23 17:11:40 2026	1776944500	0	3	3	0
Thu Apr 23 17:13:36 2026	1776944616	0	5	5	0
Thu Apr 23 17:11:39 2026	1776944499	0	5	5	0
Thu Apr 23 17:13:33 2026	1776944613	0	5	5	0
Thu Apr 23 17:11:55 2026	1776944515	0	5	5	0
Thu Apr 23 17:12:36 2026	1776944556	0	7	7	0
Thu Apr 23 17:13:12 2026	1776944592	0	8	8	0
Thu Apr 23 17:11:07 2026	1776944467	0	10	10	0
Thu Apr 23 17:13:16 2026	1776944596	0	10	10	0
Thu Apr 23 17:13:05 2026	1776944585	0	11	11	0
Thu Apr 23 17:11:50 2026	1776944510	0	11	11	0
Thu Apr 23 17:11:55 2026	1776944515	0	11	11	0
Thu Apr 23 17:11:50 2026	1776944510	0	11	11	0
Thu Apr 23 17:12:48 2026	1776944568	0	11	11	0
Thu Apr 23 17:11:58 2026	1776944518	0	12	12	0
Thu Apr 23 17:12:17 2026	1776944537	0	12	12	0
Thu Apr 23 17:11:59 2026	1776944519	0	13	13	0
Thu Apr 23 17:13:36 2026	1776944616	0	13	13	0
Thu Apr 23 17:13:28 2026	1776944608	0	14	14	0
Thu Apr 23 17:12:43 2026	1776944563	0	14	14	0
Thu Apr 23 17:11:41 2026	1776944501	0	14	14	0
Thu Apr 23 17:13:12 2026	1776944592	0	14	14	0
Thu Apr 23 17:12:08 2026	1776944528	0	14	14	0
Thu Apr 23 17:11:48 2026	1776944508	0	15	15	0
Thu Apr 23 17:13:21 2026	1776944601	0	16	16	0
Thu Apr 23 17:11:32 2026	1776944492	0	17	17	0
Thu Apr 23 17:11:16 2026	1776944476	0	17	17	0
Thu Apr 23 17:12:21 2026	1776944541	0	17	17	0
Thu Apr 23 17:12:14 2026	1776944534	0	17	17	0
Thu Apr 23 17:11:06 2026	1776944466	0	18	18	0
Thu Apr 23 17:13:17 2026	1776944597	0	18	18	0
Thu Apr 23 17:11:45 2026	1776944505	0	18	18	0
Thu Apr 23 17:11:50 2026	1776944510	0	19	19	0
Thu Apr 23 17:11:35 2026	1776944495	0	20	20	0
Thu Apr 23 17:12:22 2026	1776944542	0	21	21	0
Thu Apr 23 17:12:10 2026	1776944530	0	22	22	0
Thu Apr 23 17:13:01 2026	1776944581	0	23	23	0
Thu Apr 23 17:12:00 2026	1776944520	0	24	24	0
Thu Apr 23 17:12:22 2026	1776944542	0	24	24	0
Thu Apr 23 17:13:01 2026	1776944581	0	25	25	0
Thu Apr 23 17:11:48 2026	1776944508	0	28	28	0
Thu Apr 23 17:12:02 2026	1776944522	0	29	29	0
Thu Apr 23 17:11:14 2026	1776944474	0	31	31	0
Thu Apr 23 17:11:07 2026	1776944467	0	37	37	0
Thu Apr 23 17:11:59 2026	1776944519	0	37	37	0
Thu Apr 23 17:12:52 2026	1776944572	0	41	41	0
Thu Apr 23 17:13:13 2026	1776944593	0	53	53	0
Thu Apr 23 17:12:58 2026	1776944578	0	61	61	0
Thu Apr 23 17:13:35 2026	1776944615	0	75	75	0
Thu Apr 23 17:11:50 2026	1776944510	0	77	77	0
Thu Apr 23 17:11:23 2026	1776944483	0	79	79	0
Thu Apr 23 17:13:23 2026	1776944603	0	87	87	0
Thu Apr 23 17:12:32 2026	1776944552	0	87	87	0
Thu Apr 23 17:13:17 2026	1776944597	0	88	88	0
Thu Apr 23 17:11:29 2026	1776944489	0	89	89	0
Thu Apr 23 17:11:23 2026	1776944483	0	90	90	0
Thu Apr 23 17:11:59 2026	1776944519	0	90	90	0
Thu Apr 23 17:11:32 2026	1776944492	0	91	91	0
Thu Apr 23 17:12:19 2026	1776944539	0	92	92	0
Thu Apr 23 17:12:22 2026	1776944542	0	92	92	0
Thu Apr 23 17:13:36 2026	1776944616	0	93	93	0
Thu Apr 23 17:13:00 2026	1776944580	0	94	94	0
Thu Apr 23 17:13:14 2026	1776944594	0	94	94	0
Thu Apr 23 17:11:28 2026	1776944488	0	94	94	0
Thu Apr 23 17:11:49 2026	1776944509	0	95	95	0
Thu Apr 23 17:13:17 2026	1776944597	0	96	96	0
Thu Apr 23 17:12:38 2026	1776944558	0	101	101	0
Thu Apr 23 17:11:21 2026	1776944481	0	101	101	0
Thu Apr 23 17:12:11 2026	1776944531	0	101	101	0
Thu Apr 23 17:12:20 2026	1776944540	0	101	101	0
Thu Apr 23 17:11:32 2026	1776944492	0	101	101	0
Thu Apr 23 17:12:48 2026	1776944568	0	102	102	0
Thu Apr 23 17:12:20 2026	1776944540	0	102	102	0
Thu Apr 23 17:12:45 2026	1776944565	0	102	102	0
Thu Apr 23 17:11:09 2026	1776944469	0	102	102	0
Thu Apr 23 17:11:16 2026	1776944476	0	102	102	0
Thu Apr 23 17:12:38 2026	1776944558	0	102	102	0
Thu Apr 23 17:11:27 2026	1776944487	0	102	102	0
Thu Apr 23 17:13:11 2026	1776944591	0	102	102	0
Thu Apr 23 17:11:22 2026	1776944482	0	102	102	0
Thu Apr 23 17:11:39 2026	1776944499	0	102	102	0
Thu Apr 23 17:11:24 2026	1776944484	0	102	102	0
Thu Apr 23 17:12:04 2026	1776944524	0	102	102	0
