starttime	seconds	ctime	dtime	ttime	wait
Thu Apr 23 17:28:29 2026	1776945509	0	7	7	0
Thu Apr 23 17:28:26 2026	1776945506	0	36	36	0
Thu Apr 23 17:28:25 2026	1776945505	0	132	132	0
Thu Apr 23 17:28:27 2026	1776945507	0	146	146	0
Thu Apr 23 17:28:04 2026	1776945484	9	8056	8064	8055
Thu Apr 23 17:28:12 2026	1776945492	0	13412	13412	13412
Thu Apr 23 17:28:12 2026	1776945492	2	14573	14576	14573
Thu Apr 23 17:28:12 2026	1776945492	2	15079	15082	15079
Thu Apr 23 17:28:12 2026	1776945492	2	15492	15494	15492
Thu Apr 23 17:28:12 2026	1776945492	2	17266	17268	17266
Thu Apr 23 17:28:12 2026	1776945492	3	17306	17309	17306
Thu Apr 23 17:28:12 2026	1776945492	3	17771	17774	17771
Thu Apr 23 17:28:12 2026	1776945492	2	18644	18646	18644
Thu Apr 23 17:28:27 2026	1776945507	3	19498	19501	19498
Thu Apr 23 17:28:29 2026	1776945509	2	22339	22341	22339
Thu Apr 23 17:28:12 2026	1776945492	3	23861	23864	23861
Thu Apr 23 17:28:12 2026	1776945492	3	24029	24032	24029
Thu Apr 23 17:28:25 2026	1776945505	3	24328	24330	24328
Thu Apr 23 17:28:27 2026	1776945507	0	26526	26526	26526
Thu Apr 23 17:28:26 2026	1776945506	3	64324	64326	64324
