Percentage served,Time in ms
0,77.233
1,77.233
2,77.233
3,176.660
4,176.660
5,176.660
6,176.660
7,176.660
8,319.582
9,319.582
10,319.582
11,319.582
12,319.582
13,7012.656
14,7012.656
15,7012.656
16,7012.656
17,7012.656
18,11570.899
19,11570.899
20,11570.899
21,11570.899
22,11570.899
23,13153.762
24,13153.762
25,13153.762
26,13153.762
27,13153.762
28,15825.759
29,15825.759
30,15825.759
31,15825.759
32,15825.759
33,16317.901
34,16317.901
35,16317.901
36,16317.901
37,16317.901
38,17526.650
39,17526.650
40,17526.650
41,17526.650
42,17526.650
43,17716.718
44,17716.718
45,17716.718
46,17716.718
47,17716.718
48,18201.044
49,18201.044
50,18201.044
51,18201.044
52,18201.044
53,18285.258
54,18285.258
55,18285.258
56,18285.258
57,18285.258
58,18364.999
59,18364.999
60,18364.999
61,18364.999
62,18364.999
63,22528.667
64,22528.667
65,22528.667
66,22528.667
67,22528.667
68,25263.965
69,25263.965
70,25263.965
71,25263.965
72,25263.965
73,46302.279
74,46302.279
75,46302.279
76,46302.279
77,46302.279
78,46403.768
79,46403.768
80,46403.768
81,46403.768
82,46403.768
83,46609.165
84,46609.165
85,46609.165
86,46609.165
87,46609.165
88,46710.756
89,46710.756
90,46710.756
91,46710.756
92,46710.756
93,47018.044
94,47018.044
95,47018.044
96,47018.044
97,47018.044
98,0.257
99,0.257
100,47018.044
