Percentage served,Time in ms
0,19.910
1,165.448
2,210.963
3,309.112
4,610.752
5,815.345
6,1021.819
7,2765.102
8,3994.483
9,4924.923
10,5732.300
11,6246.942
12,6758.625
13,7268.968
14,7878.080
15,8280.328
16,8904.411
17,9225.253
18,9713.130
19,10061.566
20,10453.662
21,10964.994
22,11457.894
23,11878.194
24,12182.139
25,12695.928
26,12997.004
27,13420.651
28,13915.461
29,14236.617
30,14555.390
31,15051.952
32,15564.300
33,16172.788
34,16727.059
35,17320.484
36,17830.436
37,18227.424
38,18531.159
39,19044.332
40,19659.976
41,20014.680
42,20883.731
43,21519.852
44,22214.990
45,22833.941
46,23179.845
47,23969.984
48,24769.388
49,25488.352
50,25948.364
51,26926.242
52,27960.837
53,28768.258
54,29424.571
55,30408.548
56,31638.833
57,32358.361
58,33272.866
59,33869.918
60,34900.565
61,35628.807
62,36668.981
63,37556.940
64,38612.043
65,39519.914
66,41063.004
67,41792.248
68,42902.231
69,44041.076
70,44952.258
71,46908.684
72,48332.602
73,50052.773
74,51574.345
75,53244.723
76,55090.943
77,57041.067
78,59287.054
79,61757.700
80,64609.868
81,66840.046
82,70344.851
83,74947.652
84,80071.458
85,86725.775
86,92657.279
87,102017.753
88,111708.248
89,119289.497
90,120090.033
91,120109.556
92,120118.273
93,120124.227
94,120156.848
95,120209.591
96,120215.403
97,120231.774
98,120345.139
99,120438.287
100,128269.466
