starttime	seconds	ctime	dtime	ttime	wait
Wed Apr 22 15:53:01 2026	1776853381	0	6	6	0
Wed Apr 22 15:53:01 2026	1776853381	0	10	10	10
Wed Apr 22 15:52:09 2026	1776853329	0	10	10	10
Wed Apr 22 15:52:34 2026	1776853354	0	11	11	10
Wed Apr 22 15:52:54 2026	1776853374	0	11	11	10
Wed Apr 22 15:52:54 2026	1776853374	0	11	11	11
Wed Apr 22 15:52:34 2026	1776853354	0	11	11	11
Wed Apr 22 15:53:01 2026	1776853381	0	11	11	11
Wed Apr 22 15:52:55 2026	1776853375	0	11	11	11
Wed Apr 22 15:53:00 2026	1776853380	0	11	11	11
Wed Apr 22 15:53:00 2026	1776853380	0	12	12	11
Wed Apr 22 15:52:34 2026	1776853354	0	12	12	12
Wed Apr 22 15:52:59 2026	1776853379	0	12	12	0
Wed Apr 22 15:52:52 2026	1776853372	0	12	12	11
Wed Apr 22 15:53:01 2026	1776853381	0	12	12	12
Wed Apr 22 15:52:51 2026	1776853371	0	12	12	12
Wed Apr 22 15:53:01 2026	1776853381	0	13	13	13
Wed Apr 22 15:53:03 2026	1776853383	0	13	13	13
Wed Apr 22 15:53:03 2026	1776853383	0	14	14	14
Wed Apr 22 15:52:54 2026	1776853374	0	14	14	14
Wed Apr 22 15:52:54 2026	1776853374	0	15	15	0
Wed Apr 22 15:53:01 2026	1776853381	0	15	15	15
Wed Apr 22 15:52:55 2026	1776853375	0	16	16	16
Wed Apr 22 15:52:52 2026	1776853372	0	16	16	16
Wed Apr 22 15:53:01 2026	1776853381	3	13	16	13
Wed Apr 22 15:52:54 2026	1776853374	0	17	17	17
Wed Apr 22 15:53:01 2026	1776853381	0	18	18	18
Wed Apr 22 15:52:57 2026	1776853377	0	18	18	18
Wed Apr 22 15:52:07 2026	1776853327	0	20	20	0
Wed Apr 22 15:52:58 2026	1776853378	0	22	22	22
Wed Apr 22 15:52:35 2026	1776853355	0	23	23	22
Wed Apr 22 15:52:57 2026	1776853377	0	23	23	23
Wed Apr 22 15:52:58 2026	1776853378	0	25	25	25
Wed Apr 22 15:52:57 2026	1776853377	0	26	26	26
Wed Apr 22 15:53:00 2026	1776853380	0	26	26	26
Wed Apr 22 15:52:57 2026	1776853377	0	26	26	26
Wed Apr 22 15:52:58 2026	1776853378	0	27	27	26
Wed Apr 22 15:52:58 2026	1776853378	0	28	28	28
Wed Apr 22 15:52:57 2026	1776853377	0	29	29	29
Wed Apr 22 15:52:34 2026	1776853354	0	29	29	29
Wed Apr 22 15:52:34 2026	1776853354	0	29	29	29
Wed Apr 22 15:52:53 2026	1776853373	0	30	30	30
Wed Apr 22 15:52:57 2026	1776853377	0	30	30	30
Wed Apr 22 15:52:34 2026	1776853354	0	30	30	30
Wed Apr 22 15:52:57 2026	1776853377	0	31	31	30
Wed Apr 22 15:52:34 2026	1776853354	0	31	31	31
Wed Apr 22 15:53:00 2026	1776853380	0	32	32	32
Wed Apr 22 15:52:59 2026	1776853379	0	32	32	32
Wed Apr 22 15:53:02 2026	1776853382	0	32	32	32
Wed Apr 22 15:52:33 2026	1776853353	0	34	34	33
Wed Apr 22 15:52:33 2026	1776853353	0	34	34	34
Wed Apr 22 15:52:58 2026	1776853378	0	34	34	34
Wed Apr 22 15:52:57 2026	1776853377	0	34	34	34
Wed Apr 22 15:52:58 2026	1776853378	0	34	34	34
Wed Apr 22 15:52:34 2026	1776853354	0	36	36	36
Wed Apr 22 15:52:58 2026	1776853378	0	37	37	37
Wed Apr 22 15:52:33 2026	1776853353	0	37	37	37
Wed Apr 22 15:52:58 2026	1776853378	0	38	38	37
Wed Apr 22 15:52:34 2026	1776853354	0	38	38	37
Wed Apr 22 15:52:58 2026	1776853378	0	38	38	38
Wed Apr 22 15:52:52 2026	1776853372	0	38	38	38
Wed Apr 22 15:52:34 2026	1776853354	0	38	38	38
Wed Apr 22 15:52:52 2026	1776853372	0	39	39	39
Wed Apr 22 15:52:59 2026	1776853379	0	39	39	39
Wed Apr 22 15:53:00 2026	1776853380	0	39	39	39
Wed Apr 22 15:52:35 2026	1776853355	0	39	39	39
Wed Apr 22 15:52:33 2026	1776853353	0	40	40	40
Wed Apr 22 15:52:33 2026	1776853353	0	40	40	40
Wed Apr 22 15:52:58 2026	1776853378	0	40	40	40
Wed Apr 22 15:52:59 2026	1776853379	0	41	41	41
Wed Apr 22 15:52:52 2026	1776853372	0	42	42	41
Wed Apr 22 15:52:57 2026	1776853377	0	42	42	42
Wed Apr 22 15:53:00 2026	1776853380	0	42	42	42
Wed Apr 22 15:52:58 2026	1776853378	0	43	43	43
Wed Apr 22 15:52:57 2026	1776853377	0	43	43	43
Wed Apr 22 15:52:58 2026	1776853378	0	44	44	43
Wed Apr 22 15:52:58 2026	1776853378	0	44	44	44
Wed Apr 22 15:52:34 2026	1776853354	0	44	44	44
Wed Apr 22 15:53:00 2026	1776853380	0	44	44	44
Wed Apr 22 15:52:34 2026	1776853354	0	45	45	44
Wed Apr 22 15:52:57 2026	1776853377	0	45	45	45
Wed Apr 22 15:52:57 2026	1776853377	0	45	45	45
Wed Apr 22 15:52:58 2026	1776853378	0	45	45	45
Wed Apr 22 15:52:58 2026	1776853378	0	46	46	45
Wed Apr 22 15:53:02 2026	1776853382	0	46	46	46
Wed Apr 22 15:52:59 2026	1776853379	0	46	46	46
Wed Apr 22 15:52:34 2026	1776853354	0	46	46	46
Wed Apr 22 15:52:58 2026	1776853378	0	46	46	46
Wed Apr 22 15:52:33 2026	1776853353	0	46	46	46
Wed Apr 22 15:53:00 2026	1776853380	0	47	47	47
Wed Apr 22 15:52:58 2026	1776853378	0	47	47	47
Wed Apr 22 15:52:36 2026	1776853356	0	47	47	47
Wed Apr 22 15:52:58 2026	1776853378	0	47	47	47
Wed Apr 22 15:52:58 2026	1776853378	0	47	47	47
Wed Apr 22 15:52:52 2026	1776853372	0	48	48	48
Wed Apr 22 15:52:34 2026	1776853354	0	49	49	49
Wed Apr 22 15:53:02 2026	1776853382	0	49	49	49
Wed Apr 22 15:53:00 2026	1776853380	0	49	49	49
Wed Apr 22 15:52:59 2026	1776853379	0	49	49	49
Wed Apr 22 15:52:52 2026	1776853372	0	49	49	49
Wed Apr 22 15:53:00 2026	1776853380	0	50	50	49
Wed Apr 22 15:52:58 2026	1776853378	0	50	50	50
Wed Apr 22 15:53:00 2026	1776853380	0	50	50	50
Wed Apr 22 15:52:57 2026	1776853377	0	51	51	50
Wed Apr 22 15:52:35 2026	1776853355	0	51	51	51
Wed Apr 22 15:52:58 2026	1776853378	0	52	52	51
Wed Apr 22 15:52:59 2026	1776853379	0	52	52	52
Wed Apr 22 15:52:58 2026	1776853378	0	52	52	52
Wed Apr 22 15:53:00 2026	1776853380	0	52	52	52
Wed Apr 22 15:52:52 2026	1776853372	0	53	53	52
Wed Apr 22 15:53:00 2026	1776853380	0	53	53	53
Wed Apr 22 15:52:52 2026	1776853372	0	54	54	54
Wed Apr 22 15:52:59 2026	1776853379	0	54	54	54
Wed Apr 22 15:52:34 2026	1776853354	0	55	55	54
Wed Apr 22 15:52:54 2026	1776853374	0	55	55	55
Wed Apr 22 15:52:34 2026	1776853354	0	55	55	55
Wed Apr 22 15:52:33 2026	1776853353	0	55	55	55
Wed Apr 22 15:52:58 2026	1776853378	0	55	55	55
Wed Apr 22 15:53:02 2026	1776853382	0	55	55	55
Wed Apr 22 15:52:52 2026	1776853372	0	55	55	55
Wed Apr 22 15:52:56 2026	1776853376	0	56	56	55
Wed Apr 22 15:52:33 2026	1776853353	0	56	56	56
Wed Apr 22 15:53:01 2026	1776853381	0	56	56	56
Wed Apr 22 15:52:58 2026	1776853378	0	57	57	57
Wed Apr 22 15:52:51 2026	1776853371	0	57	57	57
Wed Apr 22 15:52:53 2026	1776853373	0	58	58	58
Wed Apr 22 15:52:34 2026	1776853354	0	58	58	58
Wed Apr 22 15:52:52 2026	1776853372	0	59	59	58
Wed Apr 22 15:52:57 2026	1776853377	0	59	59	58
Wed Apr 22 15:53:01 2026	1776853381	0	59	59	59
Wed Apr 22 15:52:34 2026	1776853354	0	59	59	59
Wed Apr 22 15:53:01 2026	1776853381	0	59	59	59
Wed Apr 22 15:52:58 2026	1776853378	0	59	59	59
Wed Apr 22 15:52:33 2026	1776853353	0	59	59	59
Wed Apr 22 15:52:51 2026	1776853371	0	59	59	59
Wed Apr 22 15:52:55 2026	1776853375	0	59	59	59
Wed Apr 22 15:52:51 2026	1776853371	0	59	59	59
Wed Apr 22 15:52:53 2026	1776853373	0	60	60	60
Wed Apr 22 15:52:58 2026	1776853378	0	60	60	60
Wed Apr 22 15:52:59 2026	1776853379	0	60	60	60
Wed Apr 22 15:52:34 2026	1776853354	0	60	60	60
Wed Apr 22 15:52:51 2026	1776853371	0	60	60	60
Wed Apr 22 15:52:59 2026	1776853379	0	60	60	60
Wed Apr 22 15:53:00 2026	1776853380	0	61	61	61
Wed Apr 22 15:53:00 2026	1776853380	0	61	61	61
Wed Apr 22 15:52:58 2026	1776853378	0	61	61	61
Wed Apr 22 15:52:52 2026	1776853372	0	61	61	61
Wed Apr 22 15:52:33 2026	1776853353	0	62	62	62
Wed Apr 22 15:52:51 2026	1776853371	0	62	62	61
Wed Apr 22 15:52:52 2026	1776853372	0	62	62	61
Wed Apr 22 15:53:00 2026	1776853380	0	62	62	62
Wed Apr 22 15:53:00 2026	1776853380	0	62	62	62
Wed Apr 22 15:52:58 2026	1776853378	0	62	62	62
Wed Apr 22 15:52:36 2026	1776853356	0	62	62	61
Wed Apr 22 15:52:54 2026	1776853374	0	62	62	62
Wed Apr 22 15:52:58 2026	1776853378	0	63	63	62
Wed Apr 22 15:53:00 2026	1776853380	0	63	63	63
Wed Apr 22 15:52:52 2026	1776853372	0	63	63	62
Wed Apr 22 15:52:53 2026	1776853373	0	63	63	62
Wed Apr 22 15:52:57 2026	1776853377	0	63	63	63
Wed Apr 22 15:52:33 2026	1776853353	0	63	63	63
Wed Apr 22 15:52:52 2026	1776853372	0	63	63	63
Wed Apr 22 15:52:59 2026	1776853379	0	63	63	63
Wed Apr 22 15:52:58 2026	1776853378	0	63	63	63
Wed Apr 22 15:52:58 2026	1776853378	0	63	63	63
Wed Apr 22 15:53:00 2026	1776853380	0	63	63	63
Wed Apr 22 15:52:33 2026	1776853353	0	63	63	63
Wed Apr 22 15:52:34 2026	1776853354	0	63	63	63
Wed Apr 22 15:53:02 2026	1776853382	0	64	64	64
Wed Apr 22 15:53:00 2026	1776853380	0	64	64	64
Wed Apr 22 15:53:02 2026	1776853382	0	64	64	64
Wed Apr 22 15:52:59 2026	1776853379	0	64	64	64
Wed Apr 22 15:52:35 2026	1776853355	0	64	64	64
Wed Apr 22 15:52:52 2026	1776853372	0	65	65	64
Wed Apr 22 15:52:52 2026	1776853372	0	65	65	64
Wed Apr 22 15:52:33 2026	1776853353	0	65	65	65
Wed Apr 22 15:52:57 2026	1776853377	0	65	65	65
Wed Apr 22 15:52:51 2026	1776853371	0	65	65	65
Wed Apr 22 15:52:56 2026	1776853376	0	65	65	65
Wed Apr 22 15:53:02 2026	1776853382	0	65	65	65
Wed Apr 22 15:52:58 2026	1776853378	0	65	65	65
Wed Apr 22 15:52:54 2026	1776853374	0	65	65	65
Wed Apr 22 15:52:34 2026	1776853354	0	66	66	65
Wed Apr 22 15:53:01 2026	1776853381	0	66	66	66
Wed Apr 22 15:52:53 2026	1776853373	0	66	66	66
Wed Apr 22 15:53:00 2026	1776853380	0	66	66	66
Wed Apr 22 15:52:34 2026	1776853354	0	66	66	66
Wed Apr 22 15:52:55 2026	1776853375	0	67	67	67
Wed Apr 22 15:52:33 2026	1776853353	0	67	67	67
Wed Apr 22 15:52:35 2026	1776853355	0	67	67	67
Wed Apr 22 15:53:00 2026	1776853380	0	67	67	67
Wed Apr 22 15:52:52 2026	1776853372	0	67	67	67
Wed Apr 22 15:52:52 2026	1776853372	0	68	68	67
Wed Apr 22 15:52:59 2026	1776853379	0	68	68	68
Wed Apr 22 15:53:01 2026	1776853381	0	68	68	68
Wed Apr 22 15:53:01 2026	1776853381	0	68	68	68
