starttime	seconds	ctime	dtime	ttime	wait
Wed Apr 22 16:24:04 2026	1776855244	0	80	80	80
Wed Apr 22 16:24:04 2026	1776855244	0	107	107	107
Wed Apr 22 16:24:04 2026	1776855244	0	145	145	145
Wed Apr 22 16:24:04 2026	1776855244	9	139	148	139
Wed Apr 22 16:24:04 2026	1776855244	0	177	177	177
Wed Apr 22 16:24:04 2026	1776855244	0	183	183	183
Wed Apr 22 16:24:04 2026	1776855244	10	228	237	227
Wed Apr 22 16:24:04 2026	1776855244	0	300	300	300
Wed Apr 22 16:24:04 2026	1776855244	0	307	307	307
Wed Apr 22 16:24:04 2026	1776855244	9	335	344	335
Wed Apr 22 16:24:04 2026	1776855244	0	371	371	371
Wed Apr 22 16:24:04 2026	1776855244	0	402	402	402
Wed Apr 22 16:24:04 2026	1776855244	9	453	462	453
Wed Apr 22 16:24:04 2026	1776855244	0	525	525	525
Wed Apr 22 16:24:04 2026	1776855244	9	542	551	542
Wed Apr 22 16:24:04 2026	1776855244	9	553	562	553
Wed Apr 22 16:24:04 2026	1776855244	9	619	628	619
Wed Apr 22 16:24:04 2026	1776855244	9	683	692	683
Wed Apr 22 16:24:04 2026	1776855244	9	749	758	749
Wed Apr 22 16:23:21 2026	1776855201	173	42770	42944	42769
