Percentage served,Time in ms
0,259.876
1,259.876
2,259.876
3,335.996
4,335.996
5,335.996
6,335.996
7,335.996
8,369.184
9,369.184
10,369.184
11,369.184
12,369.184
13,588.806
14,588.806
15,588.806
16,588.806
17,588.806
18,1060.600
19,1060.600
20,1060.600
21,1060.600
22,1060.600
23,1251.174
24,1251.174
25,1251.174
26,1251.174
27,1251.174
28,1252.625
29,1252.625
30,1252.625
31,1252.625
32,1252.625
33,1481.647
34,1481.647
35,1481.647
36,1481.647
37,1481.647
38,1578.280
39,1578.280
40,1578.280
41,1578.280
42,1578.280
43,2292.694
44,2292.694
45,2292.694
46,2292.694
47,2292.694
48,70265.997
49,70265.997
50,70265.997
51,70265.997
52,70265.997
53,119993.559
54,119993.559
55,119993.559
56,119993.559
57,119993.559
58,119995.204
59,119995.204
60,119995.204
61,119995.204
62,119995.204
63,120000.388
64,120000.388
65,120000.388
66,120000.388
67,120000.388
68,120054.089
69,120054.089
70,120054.089
71,120054.089
72,120054.089
73,120206.440
74,120206.440
75,120206.440
76,120206.440
77,120206.440
78,120227.157
79,120227.157
80,120227.157
81,120227.157
82,120227.157
83,120232.129
84,120232.129
85,120232.129
86,120232.129
87,120232.129
88,120235.943
89,120235.943
90,120235.943
91,120235.943
92,120235.943
93,120236.249
94,120236.249
95,120236.249
96,120236.249
97,120236.249
98,0.257
99,0.257
100,120236.249
