source_ip,requests_completed,failed_requests,rps,mean_latency_ms,p50_ms,p95_ms,p99_ms,transfer_rate_kbps
192.168.100.10,20,7,0.20,51169.719,623,87904,87904,0.04
192.168.100.11,,,,,,,,
192.168.100.12,,,,,,,,
192.168.100.13,,,,,,,,
192.168.100.14,20,0,0.49,20290.006,140,40217,40217,0.12
192.168.100.15,20,5,0.10,98124.473,61611,120034,120034,0.02
192.168.100.16,20,0,0.49,20566.820,262,40531,40531,0.12
192.168.100.17,,,,,,,,
192.168.100.18,20,18,0.11,89672.951,2022,177862,177862,0.02
192.168.100.19,20,0,0.20,50496.791,741,99845,99845,0.05
192.168.100.20,,,,,,,,
192.168.100.21,20,8,0.19,53613.746,818,104951,104951,0.04
192.168.100.22,20,0,0.17,57152.184,717,111848,111848,0.04
192.168.100.23,20,10,0.16,61229.791,695,120055,120055,0.04
192.168.100.24,20,5,0.42,23608.625,509,45791,45791,0.10
192.168.100.25,20,3,0.16,62481.771,918,118883,118883,0.04
192.168.100.26,,,,,,,,
192.168.100.27,20,14,0.11,89403.449,1459,175480,175480,0.02
192.168.100.28,20,1,0.13,77687.507,5351,83185,83185,0.03
192.168.100.29,20,14,0.16,62251.295,922,118881,118881,0.04
192.168.100.30,20,17,0.16,62417.545,70266,120236,120236,0.03
192.168.100.31,20,9,0.35,28517.109,383,55834,55834,0.08
192.168.100.32,20,0,0.13,77666.777,512,79154,79154,0.03
192.168.100.33,20,13,0.21,46597.687,715,90924,90924,0.04
192.168.100.34,20,7,0.16,60859.195,407,120013,120013,0.04
192.168.100.35,,,,,,,,
192.168.100.36,,,,,,,,
192.168.100.37,20,0,0.32,31652.655,101,62991,62991,0.08
192.168.100.38,20,13,4.17,2397.194,712,2500,2500,0.87
192.168.100.39,,,,,,,,
192.168.100.40,,,,,,,,
192.168.100.41,20,12,0.11,89147.310,1458,175458,175458,0.02
192.168.100.42,,,,,,,,
192.168.100.43,,,,,,,,
192.168.100.44,20,7,0.16,60796.129,363,120020,120020,0.04
192.168.100.45,20,0,0.49,20501.069,204,40466,40466,0.12
192.168.100.46,20,0,0.31,31905.200,102,63428,63428,0.07
192.168.100.47,,,,,,,,
192.168.100.48,20,0,0.20,50494.832,1659,98926,98926,0.05
192.168.100.49,20,0,0.29,34806.943,297,68620,68620,0.07
192.168.100.50,,,,,,,,
192.168.100.51,20,15,4.94,2023.546,381,2470,2470,1.01
192.168.100.52,,,,,,,,
192.168.100.53,20,12,0.16,61145.397,717,120041,120041,0.03
192.168.100.54,20,0,0.13,77661.105,6581,80981,80981,0.03
