starttime	seconds	ctime	dtime	ttime	wait
Thu Apr 23 15:28:05 2026	1776938285	0	10	10	0
Thu Apr 23 15:28:05 2026	1776938285	0	14	14	0
Thu Apr 23 15:28:05 2026	1776938285	0	14	14	0
Thu Apr 23 15:28:04 2026	1776938284	0	17	17	0
Thu Apr 23 15:28:05 2026	1776938285	0	17	17	0
Thu Apr 23 15:28:05 2026	1776938285	0	18	18	0
Thu Apr 23 15:28:05 2026	1776938285	0	18	18	0
Thu Apr 23 15:28:05 2026	1776938285	0	18	18	0
Thu Apr 23 15:28:04 2026	1776938284	0	18	18	0
Thu Apr 23 15:28:04 2026	1776938284	0	20	20	0
Thu Apr 23 15:28:04 2026	1776938284	0	20	20	0
Thu Apr 23 15:28:04 2026	1776938284	0	20	20	0
Thu Apr 23 15:28:04 2026	1776938284	0	20	20	0
Thu Apr 23 15:28:04 2026	1776938284	0	21	21	0
Thu Apr 23 15:28:04 2026	1776938284	0	21	21	0
Thu Apr 23 15:28:04 2026	1776938284	0	22	22	0
Thu Apr 23 15:28:04 2026	1776938284	0	22	22	0
Thu Apr 23 15:28:04 2026	1776938284	0	22	22	0
Thu Apr 23 15:28:04 2026	1776938284	0	22	22	0
Thu Apr 23 15:28:04 2026	1776938284	0	22	22	0
Thu Apr 23 15:28:04 2026	1776938284	0	22	22	0
Thu Apr 23 15:28:04 2026	1776938284	0	24	24	0
Thu Apr 23 15:28:04 2026	1776938284	0	24	24	0
Thu Apr 23 15:28:04 2026	1776938284	0	24	24	0
Thu Apr 23 15:28:04 2026	1776938284	0	24	24	0
Thu Apr 23 15:28:04 2026	1776938284	0	25	25	0
Thu Apr 23 15:28:04 2026	1776938284	0	29	29	0
Thu Apr 23 15:28:04 2026	1776938284	0	31	31	0
Thu Apr 23 15:28:04 2026	1776938284	0	31	31	0
Thu Apr 23 15:28:04 2026	1776938284	0	38	38	0
Thu Apr 23 15:28:04 2026	1776938284	0	38	38	0
Thu Apr 23 15:28:04 2026	1776938284	0	38	38	0
Thu Apr 23 15:28:04 2026	1776938284	0	38	38	0
Thu Apr 23 15:28:04 2026	1776938284	0	42	42	0
Thu Apr 23 15:28:04 2026	1776938284	0	43	43	0
Thu Apr 23 15:28:04 2026	1776938284	0	43	43	0
Thu Apr 23 15:28:04 2026	1776938284	0	43	43	0
Thu Apr 23 15:28:04 2026	1776938284	0	46	46	0
Thu Apr 23 15:28:04 2026	1776938284	0	46	46	0
Thu Apr 23 15:28:05 2026	1776938285	46	67	113	0
Thu Apr 23 15:28:05 2026	1776938285	46	67	113	0
Thu Apr 23 15:28:05 2026	1776938285	46	67	113	0
Thu Apr 23 15:28:05 2026	1776938285	38	75	114	0
Thu Apr 23 15:28:05 2026	1776938285	38	75	114	0
Thu Apr 23 15:28:05 2026	1776938285	38	75	114	0
Thu Apr 23 15:28:05 2026	1776938285	38	75	114	0
Thu Apr 23 15:28:05 2026	1776938285	39	75	114	0
Thu Apr 23 15:28:05 2026	1776938285	46	68	115	0
Thu Apr 23 15:28:05 2026	1776938285	46	68	115	0
Thu Apr 23 15:28:05 2026	1776938285	46	69	115	0
Thu Apr 23 15:28:05 2026	1776938285	46	69	115	0
Thu Apr 23 15:28:05 2026	1776938285	46	69	115	0
Thu Apr 23 15:28:05 2026	1776938285	46	69	115	0
Thu Apr 23 15:28:05 2026	1776938285	46	70	116	0
Thu Apr 23 15:28:05 2026	1776938285	46	71	117	0
Thu Apr 23 15:28:05 2026	1776938285	46	71	117	0
Thu Apr 23 15:28:05 2026	1776938285	46	71	117	0
