Percentage served,Time in ms
0,15.256
1,16.740
2,17.515
3,17.826
4,18.078
5,18.391
6,18.655
7,18.945
8,19.102
9,19.196
10,19.467
11,19.733
12,19.795
13,20.001
14,20.132
15,20.409
16,20.574
17,20.669
18,20.838
19,20.950
20,21.136
21,21.294
22,21.362
23,21.531
24,21.713
25,21.954
26,22.129
27,22.274
28,22.483
29,22.740
30,22.915
31,23.099
32,23.343
33,23.519
34,23.773
35,23.943
36,24.052
37,24.179
38,24.412
39,24.495
40,24.694
41,24.954
42,25.138
43,25.345
44,25.496
45,25.655
46,25.816
47,25.917
48,26.060
49,26.320
50,26.504
51,26.625
52,26.736
53,26.857
54,26.946
55,27.158
56,27.253
57,27.529
58,27.949
59,28.536
60,29.204
61,29.726
62,30.062
63,30.200
64,30.814
65,31.053
66,32.263
67,33.331
68,34.078
69,35.043
70,36.080
71,37.972
72,39.429
73,40.525
74,42.877
75,45.458
76,46.679
77,48.480
78,49.246
79,50.016
80,50.787
81,51.321
82,52.120
83,52.820
84,53.564
85,54.582
86,55.354
87,57.096
88,59.566
89,61.363
90,63.701
91,64.972
92,66.927
93,69.757
94,73.407
95,223.378
96,240.933
97,246.832
98,1231.372
99,1237.122
100,120406.642
