starttime	seconds	ctime	dtime	ttime	wait
Thu Apr 23 15:39:04 2026	1776938944	2078	7161	9239	7160
Thu Apr 23 15:39:13 2026	1776938953	0	10962	10962	10962
Thu Apr 23 15:39:13 2026	1776938953	4	10959	10963	10959
Thu Apr 23 15:39:13 2026	1776938953	4	10961	10965	10961
Thu Apr 23 15:39:13 2026	1776938953	4	10964	10968	10964
Thu Apr 23 15:39:13 2026	1776938953	4	10964	10968	10964
Thu Apr 23 15:39:13 2026	1776938953	4	10967	10971	10967
Thu Apr 23 15:39:13 2026	1776938953	4	10970	10974	10970
Thu Apr 23 15:39:13 2026	1776938953	4	10972	10976	10972
Thu Apr 23 15:39:13 2026	1776938953	4	10972	10976	10972
Thu Apr 23 15:39:13 2026	1776938953	4	10974	10978	10974
Thu Apr 23 15:39:24 2026	1776938964	0	14906	14906	14906
Thu Apr 23 15:39:24 2026	1776938964	0	14908	14908	14908
Thu Apr 23 15:39:24 2026	1776938964	0	14915	14915	14915
Thu Apr 23 15:39:24 2026	1776938964	0	14915	14915	14915
Thu Apr 23 15:39:24 2026	1776938964	0	14920	14920	14920
Thu Apr 23 15:39:24 2026	1776938964	0	14921	14921	14921
Thu Apr 23 15:39:24 2026	1776938964	0	14935	14935	14935
Thu Apr 23 15:39:24 2026	1776938964	0	14936	14936	14936
Thu Apr 23 15:39:24 2026	1776938964	0	126672	126672	10974
