Percentage served,Time in ms
0,408.856
1,408.856
2,408.856
3,408.992
4,408.992
5,408.992
6,408.992
7,408.992
8,409.181
9,409.181
10,409.181
11,409.181
12,409.181
13,409.333
14,409.333
15,409.333
16,409.333
17,409.333
18,409.700
19,409.700
20,409.700
21,409.700
22,409.700
23,409.844
24,409.844
25,409.844
26,409.844
27,409.844
28,410.043
29,410.043
30,410.043
31,410.043
32,410.043
33,1130.639
34,1130.639
35,1130.639
36,1130.639
37,1130.639
38,14066.351
39,14066.351
40,14066.351
41,14066.351
42,14066.351
43,15048.272
44,15048.272
45,15048.272
46,15048.272
47,15048.272
48,120017.512
49,120017.512
50,120017.512
51,120017.512
52,120017.512
53,126658.823
54,126658.823
55,126658.823
56,126658.823
57,126658.823
58,126659.377
59,126659.377
60,126659.377
61,126659.377
62,126659.377
63,126659.405
64,126659.405
65,126659.405
66,126659.405
67,126659.405
68,126659.621
69,126659.621
70,126659.621
71,126659.621
72,126659.621
73,126660.013
74,126660.013
75,126660.013
76,126660.013
77,126660.013
78,126660.216
79,126660.216
80,126660.216
81,126660.216
82,126660.216
83,126660.370
84,126660.370
85,126660.370
86,126660.370
87,126660.370
88,126660.583
89,126660.583
90,126660.583
91,126660.583
92,126660.583
93,126661.219
94,126661.219
95,126661.219
96,126661.219
97,126661.219
98,0.257
99,0.257
100,126661.219
