Percentage served,Time in ms
0,4.926
1,7.496
2,8.698
3,9.938
4,11.143
5,12.986
6,14.541
7,16.427
8,17.721
9,19.739
10,21.624
11,24.525
12,27.092
13,32.230
14,39.837
15,52.109
16,62.601
17,70.640
18,75.477
19,84.583
20,89.090
21,98.890
22,102.152
23,104.416
24,109.444
25,116.723
26,122.029
27,126.956
28,131.403
29,136.186
30,142.901
31,150.277
32,155.401
33,161.070
34,164.655
35,169.302
36,172.896
37,175.955
38,180.184
39,182.985
40,185.169
41,189.343
42,192.023
43,194.610
44,197.797
45,200.418
46,202.782
47,203.904
48,204.639
49,205.228
50,206.283
51,208.426
52,210.849
53,212.952
54,216.113
55,220.929
56,224.317
57,227.724
58,231.313
59,235.478
60,240.370
61,244.691
62,248.982
63,254.452
64,260.313
65,264.713
66,268.316
67,272.276
68,276.105
69,281.656
70,286.313
71,291.573
72,296.912
73,303.543
74,306.870
75,313.891
76,324.369
77,335.942
78,347.292
79,360.276
80,399.769
81,415.144
82,516.673
83,622.536
84,657.540
85,716.701
86,745.534
87,797.987
88,808.435
89,855.800
90,927.616
91,1022.186
92,1476.742
93,1866.871
94,2846.888
95,6871.687
96,14024.771
97,22744.834
98,32082.292
99,39207.859
100,58055.083
