starttime	seconds	ctime	dtime	ttime	wait
Thu Apr 23 12:12:28 2026	1776926548	0	5	5	5
Thu Apr 23 12:12:32 2026	1776926552	0	5	5	5
Thu Apr 23 12:12:32 2026	1776926552	0	5	5	5
Thu Apr 23 12:12:03 2026	1776926523	0	6	6	5
Thu Apr 23 12:12:07 2026	1776926527	0	6	6	0
Thu Apr 23 12:12:06 2026	1776926526	0	6	6	0
Thu Apr 23 12:12:32 2026	1776926552	0	6	6	6
Thu Apr 23 12:12:07 2026	1776926527	0	6	6	0
Thu Apr 23 12:12:04 2026	1776926524	0	6	6	6
Thu Apr 23 12:12:04 2026	1776926524	0	6	6	6
Thu Apr 23 12:12:32 2026	1776926552	0	6	6	6
Thu Apr 23 12:12:31 2026	1776926551	0	6	6	0
Thu Apr 23 12:12:04 2026	1776926524	0	6	6	6
Thu Apr 23 12:12:32 2026	1776926552	0	6	6	6
Thu Apr 23 12:12:32 2026	1776926552	0	7	7	7
Thu Apr 23 12:12:03 2026	1776926523	0	7	7	7
Thu Apr 23 12:12:04 2026	1776926524	0	7	7	7
Thu Apr 23 12:12:04 2026	1776926524	0	7	7	7
Thu Apr 23 12:12:32 2026	1776926552	0	7	7	0
Thu Apr 23 12:12:03 2026	1776926523	0	7	7	7
Thu Apr 23 12:12:03 2026	1776926523	0	7	7	7
Thu Apr 23 12:12:51 2026	1776926571	0	8	8	7
Thu Apr 23 12:12:04 2026	1776926524	0	8	8	7
Thu Apr 23 12:12:04 2026	1776926524	0	8	8	8
Thu Apr 23 12:12:03 2026	1776926523	0	8	8	8
Thu Apr 23 12:12:03 2026	1776926523	0	8	8	8
Thu Apr 23 12:12:28 2026	1776926548	0	8	8	8
Thu Apr 23 12:12:04 2026	1776926524	0	8	8	8
Thu Apr 23 12:12:04 2026	1776926524	0	8	8	8
Thu Apr 23 12:12:04 2026	1776926524	0	8	8	8
Thu Apr 23 12:12:04 2026	1776926524	0	8	8	8
Thu Apr 23 12:12:03 2026	1776926523	0	8	8	8
Thu Apr 23 12:12:32 2026	1776926552	0	8	8	8
Thu Apr 23 12:12:03 2026	1776926523	0	8	8	8
Thu Apr 23 12:12:31 2026	1776926551	0	8	8	0
Thu Apr 23 12:12:03 2026	1776926523	0	8	8	8
Thu Apr 23 12:12:51 2026	1776926571	0	9	9	8
Thu Apr 23 12:12:32 2026	1776926552	0	9	9	8
Thu Apr 23 12:12:03 2026	1776926523	0	9	9	8
Thu Apr 23 12:12:04 2026	1776926524	0	9	9	8
Thu Apr 23 12:12:32 2026	1776926552	0	9	9	8
Thu Apr 23 12:12:04 2026	1776926524	0	9	9	9
Thu Apr 23 12:12:08 2026	1776926528	0	9	9	9
Thu Apr 23 12:12:51 2026	1776926571	0	9	9	8
Thu Apr 23 12:12:07 2026	1776926527	0	9	9	0
Thu Apr 23 12:12:03 2026	1776926523	0	9	9	9
Thu Apr 23 12:12:04 2026	1776926524	0	9	9	9
Thu Apr 23 12:12:04 2026	1776926524	0	9	9	9
Thu Apr 23 12:12:04 2026	1776926524	0	9	9	9
Thu Apr 23 12:12:04 2026	1776926524	0	9	9	8
Thu Apr 23 12:12:32 2026	1776926552	0	9	9	9
Thu Apr 23 12:12:08 2026	1776926528	0	9	9	9
Thu Apr 23 12:12:03 2026	1776926523	0	9	9	9
Thu Apr 23 12:12:09 2026	1776926529	0	9	9	9
Thu Apr 23 12:12:04 2026	1776926524	0	9	9	9
Thu Apr 23 12:12:04 2026	1776926524	0	10	10	10
Thu Apr 23 12:12:04 2026	1776926524	0	10	10	10
Thu Apr 23 12:12:32 2026	1776926552	0	10	10	10
Thu Apr 23 12:12:04 2026	1776926524	0	10	10	10
Thu Apr 23 12:12:04 2026	1776926524	0	10	10	10
Thu Apr 23 12:12:32 2026	1776926552	0	10	10	10
Thu Apr 23 12:12:04 2026	1776926524	0	10	10	10
Thu Apr 23 12:12:03 2026	1776926523	0	10	10	10
Thu Apr 23 12:12:04 2026	1776926524	0	10	10	10
Thu Apr 23 12:12:09 2026	1776926529	0	10	10	10
Thu Apr 23 12:12:03 2026	1776926523	0	10	10	10
Thu Apr 23 12:12:04 2026	1776926524	0	10	10	9
Thu Apr 23 12:12:04 2026	1776926524	0	10	10	10
Thu Apr 23 12:12:04 2026	1776926524	0	10	10	10
Thu Apr 23 12:12:09 2026	1776926529	0	10	10	9
Thu Apr 23 12:12:04 2026	1776926524	0	10	10	10
Thu Apr 23 12:12:04 2026	1776926524	0	10	10	10
Thu Apr 23 12:12:09 2026	1776926529	0	10	10	10
Thu Apr 23 12:12:04 2026	1776926524	0	10	10	10
Thu Apr 23 12:12:08 2026	1776926528	0	10	10	10
Thu Apr 23 12:12:04 2026	1776926524	0	11	11	11
Thu Apr 23 12:12:04 2026	1776926524	0	11	11	11
Thu Apr 23 12:12:32 2026	1776926552	0	11	11	11
Thu Apr 23 12:12:04 2026	1776926524	0	11	11	11
Thu Apr 23 12:12:09 2026	1776926529	0	11	11	11
Thu Apr 23 12:12:08 2026	1776926528	0	11	11	11
